FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
5460,5564,(7#)26,5462,98.584,5460,343.927,5557,2.672675,5460,9.32881563,5512,150.251349,4.046621354,5519,1.675163
5565,5669,(7#)53/2,5569,100.023,5565,326.110,5669,2.672584,5565,8.71866885,5617,152.579637,4.050181733,5569,1.681112
5670,5774,(7#)27,5674,101.502,5670,324.517,5749,2.672520,5670,8.55083198,5722,154.500327,4.043180167,5674,1.694003
5775,5879,(11#)5/2,5779,102.904,5775,365.624,5869,2.672426,5775,9.50066085,5827,156.921341,4.049533053,5779,1.705211
5880,5984,(7#)28,5881,104.295,5880,333.707,5981,2.672341,5880,8.55043108,5932,159.039145,4.048108033,5881,1.716361
5985,6089,(7#)57/2,5987,105.737,5985,358.108,6089,2.672261,5985,9.05299834,6037,161.033264,4.043880544,5987,1.727634
6090,6194,(7#)29,6091,107.147,6090,355.523,6173,2.672201,6090,8.86656215,6142,163.377273,4.048584918,6091,1.738353
6195,6299,(7#)59/2,6197,108.577,6195,353.400,6277,2.672127,6195,8.69967669,6247,165.426968,4.046157281,6197,1.748947
6300,6404,(7#)30,6301,109.977,6300,351.889,6397,2.672043,6300,8.54953297,6352,167.712410,4.049603777,6301,1.759058
6405,6509,(7#)61/2,6406,111.421,6405,362.375,6481,2.671986,6405,8.69408726,6457,169.532644,4.042107526,6406,1.769552
6510,6614,(7#)31,6514,112.865,6510,373.331,6581,2.671919,6510,8.84383873,6562,172.039764,4.051082555,6514,1.779461
6615,6719,(7#)63/2,6619,114.230,6615,365.311,6709,2.671836,6615,8.54884450,6667,173.845429,4.043688446,6619,1.788292
6720,6824,(7#)32,6722,115.633,6720,369.835,6793,2.671782,6720,8.54870747,6772,175.979492,4.044183031,6722,1.797774
6825,6929,(7#)65/2,6827,116.990,6825,408.247,6917,2.671705,6825,9.32551214,6877,178.166395,4.046027878,6827,1.806137
6930,7034,(11#)3,6934,118.438,6930,420.803,7013,2.671646,6930,9.49806184,6982,180.491075,4.050988307,6934,1.815467
7035,7139,(7#)67/2,7039,119.786,7035,388.988,7129,2.671576,7035,8.67957981,7087,182.481822,4.048565823,7039,1.823392
7140,7244,(7#)34,7142,121.173,7140,413.401,7237,2.671513,7140,9.11780756,7192,184.350270,4.043680125,7142,1.831949
7245,7349,(7#)69/2,7247,122.514,7245,410.567,7349,2.671448,7245,8.95467647,7297,186.598570,4.047293432,7247,1.839477
7350,7454,(7#)35,7351,123.872,7350,396.349,7433,2.671401,7350,8.54752499,7402,188.585192,4.045290499,7351,1.847226
7455,7559,(7#)71/2,7457,125.252,7455,406.478,7549,2.671336,7455,8.67122810,7507,190.574401,4.043566933,7457,1.854921
7560,7664,(7#)36,7561,126.603,7560,405.092,7649,2.671281,7560,8.54723619,7612,192.890941,4.048805925,7561,1.862303
7665,7769,(7#)73/2,7666,127.997,7665,415.152,7757,2.671223,7665,8.66733674,7717,194.755743,4.044693636,7669,1.869786
7770,7874,(7#)37,7778,129.444,7770,425.605,7873,2.671162,7770,8.79104041,7822,196.832738,4.045130220,7778,1.877615
7875,7979,(7#)75/2,7877,130.685,7875,418.059,7949,2.671123,7875,8.54668473,7927,198.693479,4.041312322,7877,1.883701
7980,8084,(7#)38,7993,132.176,7980,447.283,8081,2.671056,7980,9.04931533,8032,200.895067,4.044515589,7993,1.891191
8085,8189,(11#)7/2,8087,133.382,8085,474.093,8161,2.671015,8085,9.49590434,8137,203.209808,4.049981028,8087,1.897136
8190,8294,(7#)39,8191,134.712,8190,470.221,8192,2.670706,8190,9.32313730,8242,205.146649,4.047954251,8192,1.903404
8295,8399,(7#)79/2,8297,136.063,8295,440.923,8389,2.670904,8295,8.65704701,8347,207.116560,4.046735535,8297,1.909962
8400,8504,(7#)40,8402,137.433,8400,439.601,8501,2.670851,8400,8.54595722,8452,208.975324,4.043486645,8402,1.916593
8505,8609,(7#)81/2,8506,138.753,8580,451.422,8609,2.670800,8580,8.63202420,8557,210.858801,4.040906590,8513,1.922598
8610,8714,(7#)41,8612,140.129,8610,459.611,8713,2.670752,8610,8.76473129,8662,213.211828,4.047351447,8623,1.928834
8715,8819,(7#)83/2,8719,141.415,8715,457.899,8819,2.670719,8715,8.65097173,8767,215.122982,4.045443673,8719,1.934156
8820,8924,(7#)42,8821,142.700,8820,456.606,8893,2.670671,8820,8.54537642,8872,216.944947,4.041996933,8821,1.939691
8925,9029,(7#)85/2,8926,144.054,8925,491.494,9029,2.670611,8925,9.11482045,8977,219.358273,4.049615200,8929,1.945445
