FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
241395,242549,(11#)209/2,241412,2091.531,241395,7873.372,242533,2.661766,241395,10.02075845,241971,3174.751839,4.032554699,241421,2.517440
242550,243704,(11#)105,242551,2099.762,242550,7465.796,243701,2.661757,242550,9.46401808,243126,3186.725678,4.031629440,242551,2.517551
243705,244859,(11#)211/2,243707,2108.146,243705,7531.410,244841,2.661748,243705,9.50926768,244281,3199.819588,4.032134914,243709,2.517663
244860,246014,(11#)106,244861,2116.508,244860,7672.895,245989,2.661739,244860,9.64952474,245436,3212.667053,4.032336414,244861,2.517773
246015,247169,(11#)213/2,246017,2124.880,246015,7664.542,247141,2.661731,246015,9.60108302,246591,3224.713107,4.031546662,246017,2.517881
247170,248324,(11#)107,247183,2133.319,247170,7657.035,248317,2.661722,247170,9.55402614,247746,3237.457715,4.031644773,247183,2.517990
248325,249479,(11#)215/2,248342,2141.718,248325,7800.186,249449,2.661713,248325,9.69468780,248901,3250.229668,4.031786404,248351,2.518096
249480,250634,(11#)108,249497,2150.048,249480,7644.180,250619,2.661705,249480,9.46383403,250056,3263.088353,4.032043687,249497,2.518199
250635,251789,(11#)217/2,250636,2158.309,250635,7938.422,251789,2.661696,250635,9.79014047,251211,3276.073790,4.032464196,250643,2.518300
251790,252944,(11#)109,251791,2166.610,252525,7798.518,252937,2.661688,252525,9.55716036,252366,3287.607443,4.031113381,251791,2.518400
252945,254099,(11#)219/2,252946,2174.958,253890,7878.906,254053,2.661680,253890,9.61205199,253521,3301.167101,4.032258365,252949,2.518499
254100,255254,(11#)110,254102,2183.290,254100,7762.699,255253,2.661671,254100,9.46371374,254676,3312.959564,4.031253868,254119,2.518599
255255,270269,(17#)/2,255259,2191.607,255255,9067.343,270269,2.661566,255255,11.01228549,262655,3401.383556,4.031736473,255259,2.518694
270270,285284,(13#)9,270271,2299.250,270270,8918.277,285281,2.661467,270270,10.32361191,277676,3563.812958,4.031588170,270271,2.519817
285285,300299,(13#)19/2,285287,2406.057,285285,9881.465,300277,2.661375,285285,10.93047954,292696,3725.010629,4.031487856,285289,2.520728
300300,315314,(13#)10,300301,2512.038,314160,9895.596,315313,2.661287,300300,10.32287578,307715,3884.924518,4.031295321,300301,2.521456
315315,330329,(13#)21/2,315334,2617.408,329175,10216.452,330329,2.661205,315315,10.32253771,322735,4043.811659,4.031207935,315349,2.522025
330330,345344,(13#)11,330331,2721.775,330330,10557.160,345329,2.661127,330330,10.32221901,337754,4201.565912,4.031051249,330331,2.522451
345345,360359,(13#)23/2,345346,2825.622,345345,11481.765,360337,2.661052,345345,10.81343573,352772,4358.373805,4.030953335,345379,2.522754
360360,375374,(13#)12,360362,2928.817,373065,12109.761,375373,2.660982,373065,10.68568120,367790,4514.202953,4.030832909,360391,2.522945
375375,390389,(13#)25/2,375391,3031.474,375375,11757.992,390389,2.660914,375375,10.32135632,382808,4669.143244,4.030729815,375413,2.523036
390390,405404,(13#)13,390391,3133.369,390390,12153.648,405401,2.660849,390390,10.32109529,397826,4823.259491,4.030660256,405401,2.522957
405405,420419,(13#)27/2,405407,3234.819,405405,12547.092,420397,2.660788,405405,10.32084497,412844,4976.495090,4.030544044,420419,2.522804
420420,435434,(13#)14,420421,3335.726,431970,12944.116,435401,2.660728,420420,10.32060766,427861,5128.927616,4.030419022,435427,2.522582
435435,450449,(13#)29/2,435437,3436.140,435435,13821.604,450421,2.660671,435435,10.70261389,442878,5280.716559,4.030381398,450431,2.522298
450450,465464,(13#)15,450451,3536.055,451605,14079.829,465433,2.660617,451605,10.57131821,457895,5431.716174,4.030292557,465463,2.521957
465465,480479,(13#)31/2,465469,3635.531,465465,14587.571,480461,2.660564,465465,10.67580521,472912,5581.987483,4.030181328,480461,2.521563
480480,495494,(13#)16,480484,3734.570,480480,14485.383,495461,2.660513,480480,10.31974251,487929,5731.671972,4.030129941,495491,2.521119
495495,510509,(13#)33/2,495511,3833.195,504735,15356.025,510481,2.660464,504735,10.49286336,502946,5880.638343,4.030026978,510481,2.520630
510510,525524,(17#),510518,3931.319,510510,16265.057,524288,2.660416,510510,11.00731236,517963,6029.083475,4.029992343,525517,2.520096
525525,540539,(13#)35/2,525529,4029.039,533715,15924.335,540517,2.660371,533715,10.37804058,532979,6176.810542,4.029878848,540539,2.519523
540540,555554,(13#)18,540541,4126.394,540540,16005.383,555521,2.660326,540540,10.31899511,547996,6324.087190,4.029849723,555521,2.518913
555555,570569,(13#)37/2,555557,4223.401,569415,16961.704,570569,2.660283,555555,10.61364624,563012,6470.697513,4.029752803,570569,2.518265
570570,585584,(13#)19,570574,4320.068,570570,17742.144,585581,2.660241,570570,10.92563601,578028,6616.880133,4.029727078,585581,2.517584
585585,600599,(13#)39/2,585587,4416.329,596505,17371.473,600577,2.660201,585585,10.31849424,593044,6762.446186,4.029645250,600577,2.516872
600600,615614,(13#)20,600601,4512.271,608685,17905.426,615577,2.660162,608685,10.43685569,608061,6907.518723,4.029573917,615607,2.516128
615615,630629,(13#)41/2,615617,4607.898,615615,18331.262,630613,2.660123,615615,10.58275477,623077,7052.117813,4.029515133,630613,2.515356
630630,645644,(13#)21,630659,4703.369,636405,18504.640,645641,2.660086,636405,10.38541938,638093,7196.286813,4.029484079,645641,2.514554
645645,660659,(13#)43/2,645647,4798.188,645645,19065.003,660617,2.660050,645645,10.56954943,653109,7339.911457,4.029409216,660659,2.513726
660660,675674,(13#)22,660661,4892.869,672945,19192.319,675629,2.660015,660660,10.31775440,668125,7483.090844,4.029339922,667013,2.483660
675675,690689,(13#)45/2,675706,4987.467,680295,19535.852,690689,2.659980,680295,10.35943250,683141,7625.853204,4.029284234,675713,2.485365
690690,705704,(13#)23,690692,5081.409,690690,20648.092,705689,2.659947,690690,10.80879328,698157,7768.294302,4.029284471,690719,2.488216
705705,720719,(13#)47/2,705706,5175.218,705705,20519.538,720697,2.659914,705705,10.54662894,713172,7910.160710,4.029203178,705713,2.490955
720720,735734,(13#)24,720724,5268.810,726495,20693.235,735733,2.659882,726495,10.37613585,728188,8051.681269,4.029154375,720743,2.493596
735735,750749,(13#)49/2,735739,5362.076,746130,21791.074,750749,2.659851,746130,10.68115126,743204,8192.797420,4.029102433,735739,2.496134
750750,765764,(13#)25,750769,5455.205,750750,21159.128,765749,2.659821,750750,10.31698430,758220,8333.526686,4.029051383,750769,2.498584
765765,780779,(17#)3/2,765767,5547.885,765765,22953.592,780733,2.659791,765765,11.00465714,773236,8473.913876,4.029018011,765767,2.500943
780780,795794,(13#)26,780782,5640.439,780780,21877.963,795793,2.659762,780780,10.31675173,788251,8613.858222,4.028950360,780799,2.503224
795795,810809,(13#)53/2,795797,5732.723,795795,22671.941,810809,2.659733,795795,10.51892573,803267,8753.546434,4.028932060,795797,2.505422
810810,825824,(13#)27,810814,5824.814,823515,22744.130,825821,2.659705,810810,10.31652848,818283,8892.843010,4.028895518,810814,2.507553
825825,840839,(13#)55/2,825827,5916.623,825825,22949.248,840821,2.659678,825825,10.31642025,833298,9031.804378,4.028863428,825827,2.509605
840840,855854,(13#)28,840841,6008.226,844305,23424.490,855821,2.659651,844305,10.33306505,848314,9170.298410,4.028774695,840841,2.511595
855855,870869,(13#)57/2,855857,6099.623,855855,25050.780,870853,2.659625,855855,10.92304757,863329,9308.610164,4.028752086,855857,2.513521
870870,885884,(13#)29,870871,6190.793,870870,24902.109,885881,2.659599,870870,10.69818836,878345,9446.558204,4.028712038,870871,2.515387
885885,900899,(13#)59/2,885889,6281.775,885885,24793.019,900869,2.659574,885885,10.49699313,893360,9584.323986,4.028728555,885889,2.517195
900900,915914,(13#)30,900902,6372.536,903210,25374.612,915881,2.659550,903210,10.56697337,908376,9721.504611,4.028630062,900917,2.518950
915915,930929,(13#)61/2,915917,6463.078,915915,25493.730,930889,2.659525,915915,10.49066223,923391,9858.600063,4.028623356,915917,2.520650
930930,945944,(13#)31,930931,6553.430,930930,26295.870,945941,2.659502,930930,10.67143869,938407,9995.230894,4.028549190,930931,2.522301
945945,960959,(13#)63/2,945949,6643.611,945945,25769.037,960941,2.659478,945945,10.31563169,953422,10131.703001,4.028529753,945949,2.523906
960960,975974,(13#)32,960961,6733.566,960960,26118.051,975941,2.659455,960960,10.31554199,968438,10267.939273,4.028529979,960961,2.525464
975975,990989,(13#)65/2,975977,6823.357,975975,26466.282,990989,2.659433,975975,10.31545292,983453,10403.733332,4.028467422,975977,2.526978
990990,1006004,(13#)33,991009,6913.060,990990,26813.854,1005989,2.659411,990990,10.31536572,998469,10539.280957,4.028417708,991009,2.528453
1006005,1021019,(13#)67/2,1006007,7002.380,1009470,27698.469,1021001,2.659389,1009470,10.48862621,1013484,10674.587326,4.028380290,1006007,2.529885
