START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(11#)51/2,59074,2.411060,60041,1.709850,3.436608e-01,0.357334,1.962338e+00
(13#)2,61058,2.418361,61211,1.710253,3.464487e-01,0.355359,1.992655e+00
(11#)53/2,61444,2.421746,62351,1.710505,3.477001e-01,0.353505,2.011969e+00
(11#)27,63421,2.436905,63521,1.710626,3.538694e-01,0.351705,2.065023e+00
(11#)55/2,64198,2.443219,64679,1.710489,3.565371e-01,0.348353,2.103412e+00
(11#)28,65336,2.468498,65536,1.710243,3.669744e-01,0.346771,2.186616e+00
(11#)57/2,66602,2.429966,66977,1.709888,3.514494e-01,0.345259,2.085617e+00
(11#)29,67904,2.413565,68141,1.709418,3.449519e-01,0.343783,2.048231e+00
(11#)59/2,69239,2.447118,69263,1.708864,3.590822e-01,0.342416,2.156015e+00
(11#)30,69911,2.449157,70451,1.708176,3.603177e-01,0.341024,2.172812e+00
(11#)61/2,70544,2.431070,71597,1.707418,3.533492e-01,0.339734,2.130055e+00
(11#)31,71633,2.358847,72763,1.706552,3.236980e-01,0.338471,1.927181e+00
(11#)63/2,73016,2.438849,73907,1.705615,3.576005e-01,0.337280,2.173962e+00
(11#)32,74716,2.474061,75041,1.704605,3.725275e-01,0.336144,2.289067e+00
(13#)5/2,75968,2.467098,76213,1.703477,3.703711e-01,0.335014,2.279370e+00
(11#)33,77144,2.383605,77383,1.702268,3.366526e-01,0.333930,2.040359e+00
(11#)67/2,78427,2.494035,78539,1.700997,3.826873e-01,0.332899,2.382218e+00
(11#)34,79312,2.406904,79693,1.699656,3.479154e-01,0.331909,2.130849e+00
(11#)69/2,79784,2.452666,80849,1.698239,3.675838e-01,0.330955,2.279546e+00
(11#)35,81749,2.460417,82003,1.696755,3.716132e-01,0.330039,2.313854e+00
(11#)71/2,82252,2.460452,83137,1.695233,3.725249e-01,0.329172,2.324678e+00
(11#)36,84046,2.459958,84313,1.693587,3.732955e-01,0.328307,2.334312e+00
(11#)73/2,84562,2.471941,85469,1.691905,3.791486e-01,0.327490,2.381862e+00
(11#)37,86248,2.426071,86599,1.690200,3.614262e-01,0.326721,2.252292e+00
(11#)75/2,87316,2.472748,87767,1.688379,3.815612e-01,0.325956,2.406365e+00
(11#)38,88498,2.433762,88919,1.686524,3.667686e-01,0.325231,2.297561e+00
(11#)77/2,89459,2.383150,90089,1.684585,3.469039e-01,0.324523,2.152590e+00
(13#)3,90526,2.492321,91243,1.682614,3.928659e-01,0.323852,2.500238e+00
(11#)79/2,92357,2.434532,92399,1.680588,3.706108e-01,0.323206,2.332704e+00
(11#)40,92656,2.473194,93553,1.678514,3.876016e-01,0.322586,2.463467e+00
(11#)81/2,94228,2.450231,94709,1.676385,3.795426e-01,0.321990,2.403323e+00
(11#)41,95467,2.446013,95857,1.674221,3.791114e-01,0.321421,2.401187e+00
(11#)83/2,96361,2.470995,97007,1.672005,3.905974e-01,0.320874,2.490043e+00
(11#)42,97684,2.508166,98143,1.669760,4.068719e-01,0.320345,2.617197e+00
(11#)85/2,98764,2.453349,99317,1.667415,3.861795e-01,0.319840,2.457272e+00
(11#)43,99581,2.468655,100483,1.665027,3.938321e-01,0.319351,2.516441e+00
(11#)87/2,101467,2.483060,101627,1.662642,4.010838e-01,0.318891,2.572722e+00
(11#)44,102352,2.491281,102793,1.660168,4.058782e-01,0.318441,2.609943e+00
(11#)89/2,103214,2.468903,103919,1.657704,3.983404e-01,0.318015,2.550820e+00
(11#)45,104056,2.467765,105097,1.655152,3.994200e-01,0.317610,2.558525e+00
(13#)7/2,105883,2.452749,106243,1.652587,3.948675e-01,0.317218,2.522436e+00
(11#)46,106298,2.480088,107377,1.650005,4.075157e-01,0.316851,2.619790e+00
(11#)93/2,107684,2.498534,108557,1.647317,4.165563e-01,0.316495,2.689512e+00
(11#)47,109717,2.499467,109721,1.644603,4.185785e-01,0.316154,2.703948e+00
(11#)95/2,110281,2.415536,110879,1.641864,3.860890e-01,0.315831,2.449639e+00
