FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
4144140,4159154,(13#)138,4154263,23310,4144140,96308,4154263,2.606322,4144140,10.79117189,4151640,35947.870529,4.021579950
4159155,4174169,(13#)277/2,4161457,23352,4159155,92398,4161457,2.607097,4159155,10.32058642,4166655,36061.476124,4.021655998
4174170,4189184,(13#)139,4178182,23446,4174170,93244,4186967,2.607727,4174170,10.38252337,4181670,36177.497303,4.022005792
4189185,4204199,(13#)279/2,4197376,23402,4189185,96260,4197376,2.593242,4189185,10.68496585,4196685,36302.473793,4.023350912
4204200,4219214,(13#)140,4208627,23644,4204200,93160,4208627,2.613973,4204200,10.30876436,4211700,36416.726873,4.023509256
4219215,4234229,(13#)281/2,4222718,23650,4221525,93622,4222718,2.607053,4219215,10.32718690,4226715,36530.492174,4.023617649
4234230,4249244,(13#)141,4237082,23752,4234230,95924,4242659,2.608260,4234230,10.54917717,4241730,36638.720879,4.023122790
4249245,4264259,(13#)283/2,4254164,23806,4260795,95314,4254164,2.607386,4260795,10.42528304,4256745,36742.504829,4.022150162
4264260,4279274,(13#)142,4270639,23852,4264260,95500,4270639,2.603665,4264260,10.43824882,4271760,36852.409457,4.021855956
4279275,4294289,(13#)285/2,4280083,23930,4279275,100412,4280083,2.607170,4279275,10.94166570,4286775,36961.868132,4.021520777
4294290,4309304,(13#)143,4298422,24040,4294290,94824,4298422,2.609440,4294290,10.30134765,4301790,37071.234898,4.021182097
4309305,4324319,(13#)287/2,4315589,24148,4309305,97566,4323628,2.609173,4309305,10.56712859,4316805,37180.600999,4.020851456
4324320,4339334,(13#)144,4325491,24196,4324320,95068,4333132,2.610882,4324320,10.26549522,4331820,37292.052481,4.020751812
4339335,4354349,(17#)17/2,4342687,24232,4339335,101888,4342687,2.606964,4339335,10.96883103,4346836,37407.532201,4.021091658
4354350,4369364,(13#)145,4354381,24358,4354350,99660,4354381,2.614402,4354350,10.69680869,4361851,37519.093839,4.021014181
4369365,4384379,(13#)291/2,4372499,24328,4369365,96868,4372499,2.601775,4369365,10.36607529,4376866,37633.430969,4.021238895
4384380,4399394,(13#)146,4385287,24456,4384380,98018,4392541,2.607219,4384380,10.45790658,4391881,37750.374958,4.021744801
4399395,4414409,(13#)293/2,4400353,24486,4408950,98794,4400353,2.604258,4408950,10.48962189,4406896,37871.733067,4.022721394
4414410,4429424,(13#)147,4416868,24556,4414410,97246,4416868,2.603212,4414410,10.31415798,4421911,37977.449084,4.022041120
4429425,4444439,(13#)295/2,4431307,24718,4429425,98974,4441462,2.609455,4429425,10.46649597,4436926,38090.867932,4.022182729
4444440,4459454,(13#)148,4447771,24768,4444440,100404,4447771,2.609820,4444440,10.58652575,4451941,38200.354446,4.021914345
4459455,4474469,(13#)297/2,4464007,24816,4459455,97838,4469884,2.605726,4459455,10.28576806,4466956,38308.824509,4.021545179
4474470,4489484,(13#)149,4475881,24832,4476780,101694,4475881,2.602272,4476780,10.65516977,4481971,38428.297036,4.022334861
4489485,4504499,(13#)299/2,4499059,25040,4489485,103410,4499059,2.612312,4489485,10.80830584,4496986,38544.021046,4.022733610
4504500,4519514,(13#)150,4512502,25038,4516050,101732,4512502,2.605336,4516050,10.57851838,4512001,38656.956777,4.022844930
4519515,4534529,(13#)301/2,4520101,25120,4519515,101288,4520101,2.610048,4519515,10.52533041,4527016,38760.595405,4.021995027
4534530,4549544,(13#)151,4540321,25218,4542615,101328,4540321,2.610081,4542615,10.48291438,4542031,38868.335798,4.021579018
4549545,4564559,(13#)303/2,4562161,25266,4555320,101132,4562161,2.604160,4555320,10.43725636,4557046,38980.466334,4.021623006
4564560,4579574,(13#)152,4568336,25406,4564560,105830,4568336,2.615511,4564560,10.90288200,4572061,39102.804928,4.022721252
4579575,4594589,(13#)305/2,4586221,25442,4579575,102182,4593406,2.608216,4579575,10.49703780,4587076,39219.995738,4.023290282
4594590,4609604,(17#)9,4602932,25540,4594590,107514,4602932,2.612112,4594590,11.01339102,4602091,39331.055211,4.023233351
4609605,4624619,(13#)307/2,4617244,25648,4614225,101192,4621748,2.615499,4614225,10.32741737,4617106,39441.701232,4.023138639
4624620,4639634,(13#)154,4626646,25710,4624620,101254,4638149,2.615785,4624620,10.31353930,4632121,39561.569897,4.023986672
4639635,4654649,(13#)309/2,4642907,25616,4639635,102248,4642907,2.600257,4639635,10.38546941,4647136,39680.186747,4.024708101
4654650,4669664,(13#)155,4657141,25676,4654650,105490,4657141,2.599418,4654650,10.68469431,4662151,39789.706027,4.024509562
4669665,4684679,(13#)311/2,4674077,25868,4669665,102346,4674077,2.610601,4669665,10.33725577,4677166,39899.347985,4.024328656
4684680,4699694,(13#)156,4687861,25908,4684680,102494,4687861,2.607950,4684680,10.32333667,4692181,40020.863004,4.025347055
4699695,4714709,(13#)313/2,4705297,26022,4699695,102698,4710718,2.609368,4699695,10.31513516,4707196,40138.173027,4.025943411
4714710,4729724,(13#)157,4729297,26098,4714710,103864,4729297,2.607043,4714710,10.40334266,4722211,40244.888711,4.025480148
4729725,4744739,(13#)315/2,4734448,26170,4729725,103258,4734448,2.611760,4729725,10.31407935,4737226,40359.678988,4.025829173
4744740,4759754,(13#)158,4749676,26224,4744740,104688,4749676,2.609849,4744740,10.42812311,4752241,40468.674525,4.025604496
4759755,4774769,(13#)317/2,4759882,26324,4762065,104114,4765841,2.612665,4762065,10.33811798,4767256,40575.042424,4.025124212
4774770,4789784,(13#)159,4785362,26422,4774770,105832,4785362,2.612487,4774770,10.48437688,4782271,40681.760773,4.024685547
4789785,4804799,(13#)319/2,4792159,26212,4789785,108192,4792159,2.588525,4789785,10.68893925,4797286,40791.021911,4.024504094
4804800,4819814,(13#)160,4818013,26546,4804800,104908,4818013,2.609266,4804800,10.33630704,4812301,40903.240892,4.024618876
4819815,4834829,(13#)321/2,4824811,26498,4819815,105306,4824811,2.601355,4819815,10.34739624,4827316,41015.197469,4.024711348
4834830,4849844,(13#)161,4837909,26606,4834830,110354,4837909,2.605804,4834830,10.81410703,4842331,41126.196337,4.024713835
4849845,5105099,(19#)/2,4854547,26762,4849845,118980,4918721,2.600756,4849845,11.62799825,4975835,42119.423949,4.024411754
