START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(7#)115/2,12101,2.395745,12163,0.887273,9.932968e-01,0.339298,4.445862e+00,EXPECTED
(7#)58,12281,2.223656,12281,0.897182,9.076492e-01,0.338993,3.912983e+00,EXPECTED
(7#)117/2,12326,2.217079,12379,0.907121,8.936700e-01,0.338721,3.867366e+00,EXPECTED
(7#)59,12422,2.346659,12491,0.916773,9.398880e-01,0.338429,4.225069e+00,EXPECTED
(7#)119/2,12574,2.295932,12589,0.926681,9.072848e-01,0.338136,4.049409e+00,EXPECTED
(7#)60,12671,2.225896,12703,0.936252,8.660301e-01,0.337859,3.817107e+00,EXPECTED
(11#)11/2,12757,2.354186,12809,0.946107,9.115946e-01,0.337572,4.171196e+00,EXPECTED
(7#)61,12878,2.336543,12911,0.955991,8.936793e-01,0.337305,4.092889e+00,EXPECTED
(7#)123/2,12982,2.377047,13009,0.964515,9.019889e-01,0.337077,4.190532e+00,EXPECTED
(7#)62,13049,2.340065,13121,0.974592,8.759151e-01,0.336811,4.054122e+00,EXPECTED
(7#)125/2,13142,2.381559,13229,0.982636,8.852718e-01,0.336605,4.155978e+00,EXPECTED
(7#)63,13241,2.313245,13331,0.992280,8.464013e-01,0.336364,3.927189e+00,EXPECTED
(7#)127/2,13339,2.408045,13421,1.000283,8.785323e-01,0.336169,4.187662e+00,EXPECTED
(7#)64,13451,2.365320,13537,1.008841,8.521112e-01,0.335966,4.037548e+00,EXPECTED
(7#)129/2,13646,2.418129,13649,1.017931,8.652220e-01,0.335757,4.170272e+00,EXPECTED
(7#)65,13729,2.380300,13751,1.026318,8.412489e-01,0.335551,4.035100e+00,EXPECTED
(7#)131/2,13807,2.343338,13859,1.034158,8.179888e-01,0.335401,3.903328e+00,EXPECTED
(11#)6,13943,2.508139,13963,1.043201,8.772472e-01,0.335212,4.370184e+00,EXPECTED
(7#)133/2,14051,2.389016,14057,1.050425,8.216867e-01,0.335066,3.995007e+00,EXPECTED
(7#)67,14096,2.408715,14173,1.058330,8.224012e-01,0.334911,4.032071e+00,EXPECTED
(7#)135/2,14243,2.286441,14251,1.066292,7.628093e-01,0.334761,3.644836e+00,EXPECTED
(7#)68,14332,2.428418,14369,1.073996,8.158537e-01,0.334622,4.047618e+00,EXPECTED
(7#)137/2,14411,2.316236,14489,1.081741,7.613717e-01,0.334487,3.690711e+00,EXPECTED
(7#)69,14528,2.225437,14593,1.089756,7.139995e-01,0.334348,3.396703e+00,EXPECTED
(7#)139/2,14699,2.430591,14699,1.098303,7.943682e-01,0.334215,3.986320e+00,EXPECTED
(7#)70,14779,2.470069,14797,1.104493,8.048597e-01,0.334118,4.087107e+00,EXPECTED
(7#)141/2,14831,2.313924,14897,1.111940,7.328385e-01,0.334018,3.598561e+00,EXPECTED
(7#)71,14951,2.398094,15013,1.119148,7.621066e-01,0.333915,3.830154e+00,EXPECTED
(13#)/2,15784,2.297078,16141,1.125871,7.130809e-01,0.333832,3.508372e+00,EXPECTED
(11#)7,17218,2.342733,16384,1.199339,6.695476e-01,0.333177,3.431792e+00,EXPECTED
(11#)15/2,18322,2.313856,18461,1.263565,6.049783e-01,0.333829,3.146195e+00,EXPECTED
