START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
(13#)293/2,4408950,10.48962189,4408950,10.49395896,-4.133775e-04,0.087392,-0.049628,EXPECTED
(13#)147,4414410,10.31415798,4414410,10.31141015,2.664489e-04,0.087371,0.031450,OUTLIER
(13#)295/2,4429425,10.46649597,4429425,10.49223284,-2.455958e-03,0.087237,-0.295022,EXPECTED
(13#)148,4444440,10.58652575,4444440,10.60587966,-1.826495e-03,0.087157,-0.222058,EXPECTED
(13#)297/2,4459455,10.28576806,4459455,10.31129214,-2.478421e-03,0.087081,-0.293107,EXPECTED
(13#)149,4476780,10.65516977,4476780,10.67574647,-1.929285e-03,0.087002,-0.236508,EXPECTED
(13#)299/2,4489485,10.80830584,4489485,10.80213191,5.713841e-04,0.086882,0.071061,OUTLIER
(13#)150,4516050,10.57851838,4516050,10.56267045,1.499247e-03,0.086800,0.182580,OUTLIER
(13#)301/2,4519515,10.52533041,4519515,10.56265621,-3.540010e-03,0.086724,-0.430398,EXPECTED
(13#)151,4542615,10.48291438,4542615,10.48444626,-1.461204e-04,0.086655,-0.017678,EXPECTED
(13#)303/2,4555320,10.43725636,4555320,10.45578632,-1.773793e-03,0.086560,-0.214071,EXPECTED
(13#)152,4564560,10.90288200,4564560,10.91749804,-1.339669e-03,0.086460,-0.169050,EXPECTED
(13#)305/2,4579575,10.49703780,4579575,10.48585578,1.065823e-03,0.086378,0.129454,OUTLIER
(17#)9,4594590,11.01339102,4594590,10.99825500,1.375274e-03,0.086311,0.175366,OUTLIER
(13#)307/2,4614225,10.32741737,4609605,10.34488230,-1.689694e-03,0.086164,-0.202694,EXPECTED
(13#)154,4624620,10.31353930,4624620,10.31107063,2.393907e-04,0.086124,0.028664,OUTLIER
(13#)309/2,4639635,10.38546941,4639635,10.41310836,-2.657775e-03,0.086026,-0.321286,EXPECTED
(13#)155,4654650,10.68469431,4654650,10.66641867,1.711915e-03,0.085979,0.212559,OUTLIER
(13#)311/2,4669665,10.33725577,4669665,10.34434458,-6.855185e-04,0.085885,-0.082538,EXPECTED
(13#)156,4684680,10.32333667,4684680,10.31097262,1.198397e-03,0.085779,0.144138,OUTLIER
(13#)313/2,4699695,10.31513516,4699695,10.34409959,-2.804020e-03,0.085699,-0.337979,EXPECTED
(13#)157,4714710,10.40334266,4714710,10.37737487,2.499221e-03,0.085654,0.303171,OUTLIER
(13#)315/2,4729725,10.31407935,4729725,10.31088520,3.097363e-04,0.085535,0.037343,OUTLIER
(13#)158,4744740,10.42812311,4744740,10.44473842,-1.592049e-03,0.085494,-0.194345,EXPECTED
(13#)317/2,4762065,10.33811798,4762065,10.35333015,-1.470383e-03,0.085391,-0.178147,EXPECTED
(13#)159,4774770,10.48437688,4774770,10.51294672,-2.721286e-03,0.085339,-0.334781,EXPECTED
(13#)319/2,4789785,10.68893925,4789785,10.69254244,-3.370384e-04,0.085250,-0.042266,EXPECTED
(13#)160,4804800,10.33630704,4804800,10.31078092,2.472613e-03,0.085150,0.299778,OUTLIER
(13#)321/2,4819815,10.34739624,4819815,10.40893208,-5.929374e-03,0.085082,-0.723253,EXPECTED
(13#)161,4834830,10.81410703,4834830,10.80157397,1.159627e-03,0.085017,0.147418,OUTLIER
(19#)/2,4849845,11.62799825,4849845,11.64456917,-1.424073e-03,0.084943,-0.195083,EXPECTED
(17#)10,5105100,10.97303266,5105100,10.99745091,-2.222824e-03,0.083744,-0.291582,EXPECTED
(17#)21/2,5360355,10.99622825,5360355,10.99708780,-7.816466e-05,0.082679,-0.010396,EXPECTED
(17#)11,5615610,11.01714111,5615610,10.99675167,1.852416e-03,0.081729,0.249476,OUTLIER
(17#)23/2,5870865,11.54450968,5870865,11.51993427,2.131022e-03,0.080876,0.303865,OUTLIER
(17#)12,6126120,10.95829981,6126120,10.99613516,-3.446719e-03,0.080119,-0.472239,EXPECTED
(17#)25/2,6561555,11.42982677,6561555,11.43449642,-4.084661e-04,0.079439,-0.058783,EXPECTED
(17#)13,6636630,10.98066604,6636630,10.99558541,-1.357772e-03,0.078832,-0.189255,EXPECTED
(17#)27/2,6891885,10.95984173,6891885,10.99533234,-3.233009e-03,0.078287,-0.453340,EXPECTED
(17#)14,7147140,10.98307933,7147140,10.99509032,-1.092993e-03,0.077806,-0.154371,EXPECTED
(17#)29/2,7402395,11.42121537,7402395,11.40199014,1.684709e-03,0.077383,0.248443,OUTLIER
(17#)15,7657650,10.98958001,7657650,10.99464098,-4.604184e-04,0.077003,-0.065724,EXPECTED
(17#)31/2,7912905,11.33939488,7912905,11.37347267,-3.000750e-03,0.076666,-0.444497,EXPECTED
(17#)16,8273265,11.32235425,8273265,11.31747629,4.309184e-04,0.076369,0.063874,OUTLIER
(17#)33/2,8580495,11.19012985,8580495,11.17886928,1.006802e-03,0.076115,0.147942,OUTLIER
(17#)17,8843835,11.28989879,8843835,11.28918292,6.341002e-05,0.075890,0.009433,OUTLIER
(17#)35/2,8933925,10.95727078,8933925,10.99367536,-3.316906e-03,0.075700,-0.480906,EXPECTED
(17#)18,9189180,10.99290802,9189180,10.99350294,-5.411706e-05,0.075531,-0.007877,EXPECTED
(17#)37/2,9444435,11.31732022,9444435,11.30737868,8.788219e-04,0.075403,0.131845,OUTLIER
