START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(11#)76,176551,2.496728,176713,0.648611,1.347903e+00,0.028315,6.526989e+01
(11#)153/2,177841,2.524335,177841,0.658400,1.343920e+00,0.028160,6.626190e+01
(11#)77,178898,2.502055,179021,0.668099,1.320431e+00,0.028007,6.548206e+01
(11#)155/2,179083,2.529322,180179,0.676613,1.318607e+00,0.027857,6.650784e+01
(13#)6,180379,2.501151,181303,0.686064,1.293535e+00,0.027708,6.550769e+01
(11#)157/2,181919,2.535068,182489,0.695592,1.293212e+00,0.027559,6.674683e+01
(11#)79,182519,2.515243,183637,0.703745,1.273709e+00,0.027414,6.607930e+01
(11#)159/2,184696,2.506373,184777,0.712837,1.257339e+00,0.027271,6.576715e+01
(11#)80,185578,2.512282,185951,0.721708,1.247326e+00,0.027116,6.603385e+01
(11#)161/2,187024,2.533868,187091,0.729798,1.244734e+00,0.026987,6.684959e+01
(11#)81,187471,2.522543,188261,0.738637,1.228216e+00,0.026848,6.644465e+01
(11#)163/2,189094,2.510677,189407,0.747159,1.212030e+00,0.026700,6.604936e+01
(11#)82,189817,2.521375,190573,0.755031,1.205801e+00,0.026575,6.646638e+01
(11#)165/2,191626,2.523077,191717,0.763595,1.195197e+00,0.026440,6.654622e+01
(11#)83,191768,2.509171,192883,0.772015,1.178704e+00,0.026294,6.606663e+01
(11#)167/2,193639,2.501153,194027,0.779435,1.165938e+00,0.026175,6.577719e+01
(11#)84,194767,2.519507,195193,0.787737,1.162654e+00,0.026045,6.649146e+01
(13#)13/2,195751,2.518018,196337,0.795903,1.151750e+00,0.027305,6.306958e+01
(11#)85,197402,2.512439,197479,0.803097,1.140534e+00,0.027170,6.291285e+01
(11#)171/2,198046,2.523633,198659,0.811044,1.135133e+00,0.027038,6.334008e+01
(11#)86,199021,2.495353,199813,0.819058,1.114031e+00,0.026905,6.230422e+01
(11#)173/2,200899,2.517394,200929,0.825871,1.114541e+00,0.026776,6.317310e+01
(11#)87,201904,2.515768,202121,0.833614,1.104563e+00,0.026647,6.312733e+01
