n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
1600058,2.588112,2.123560,0.464552,2.137484,0.450629,5416,7219,0.500000000000
1611293,2.582728,2.124271,0.458457,2.137512,0.445216,5416,7219,0.500000000000
1625321,2.576631,2.125484,0.451147,2.137548,0.439082,5416,7219,0.500000000000
1647964,2.569523,2.121897,0.447626,2.137605,0.431918,5416,7219,0.500000000000
1658869,2.582682,2.123852,0.458830,2.137632,0.445050,5416,7219,0.500000000000
1668971,2.593334,2.121011,0.472323,2.137657,0.455677,5416,7219,0.500000000000
1693639,2.579746,2.120743,0.459003,2.137717,0.442029,5416,7219,0.500000000000
1708321,2.575121,2.118712,0.456409,2.137753,0.437368,5416,7219,0.500000000000
1725814,2.588012,2.119075,0.468937,2.137794,0.450218,5416,7219,0.500000000000
1740821,2.579711,2.117389,0.462322,2.137830,0.441881,5416,7219,0.500000000000
1746859,2.570141,2.116804,0.453336,2.137844,0.432297,5416,7219,0.500000000000
1770016,2.583728,2.115167,0.468560,2.137898,0.445830,5416,7219,0.500000000000
1777753,2.573578,2.116450,0.457129,2.137915,0.435663,5416,7219,0.500000000000
1791778,2.589083,2.117467,0.471616,2.137947,0.451136,5416,7219,0.500000000000
1801531,2.589448,2.119064,0.470384,2.137969,0.451479,5416,7219,0.500000000000
1802266,2.584393,2.119184,0.465209,2.137971,0.446421,5416,7219,0.500000000000
1831436,2.577516,2.122628,0.454888,2.138036,0.439480,5416,7219,0.500000000000
1835741,2.571404,2.123319,0.448085,2.138046,0.433358,5416,7219,0.500000000000
1858867,2.583732,2.121616,0.462116,2.138096,0.445636,5416,7219,0.500000000000
1872751,2.587271,2.122249,0.465022,2.138127,0.449145,5416,7219,0.500000000000
1877164,2.577582,2.122941,0.454641,2.138136,0.439446,5416,7219,0.500000000000
1892416,2.592349,2.123771,0.468577,2.138169,0.454180,5416,7219,0.500000000000
1908661,2.585161,2.124743,0.460418,2.138203,0.446958,5416,7219,0.500000000000
1931242,2.580351,2.124437,0.455914,2.138251,0.442100,5416,7219,0.500000000000
1939141,2.593342,2.125635,0.467707,2.138267,0.455075,5416,7219,0.500000000000
1953379,2.593798,2.126538,0.467260,2.138296,0.455501,5416,7219,0.500000000000
1969936,2.574568,2.127494,0.447074,2.138330,0.436238,5416,7219,0.500000000000
1988632,2.587112,2.126282,0.460830,2.138368,0.448743,5416,7219,0.500000000000
1997902,2.586030,2.127646,0.458384,2.138387,0.447643,5416,7219,0.500000000000
2021137,2.583325,2.128584,0.454740,2.138433,0.444892,5416,7219,0.500000000000
2033041,2.591447,2.128809,0.462638,2.138457,0.452990,5416,7219,0.500000000000
2046526,2.580428,2.126543,0.453885,2.138483,0.441945,5416,7219,0.500000000000
2053553,2.579809,2.124847,0.454962,2.138497,0.441312,5416,7219,0.500000000000
2071096,2.585053,2.124646,0.460406,2.138531,0.446522,5416,7219,0.500000000000
