START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(13#)261/2,3927556,2.600320,3933929,2.617263,-6.494601e-03,0.040342,-4.199841e-01,OUTLIER
(13#)131,3936293,2.599760,3948911,2.617374,-6.752392e-03,0.040226,-4.378760e-01,OUTLIER
(13#)263/2,3961283,2.606488,3963959,2.617484,-4.209830e-03,0.040112,-2.741324e-01,OUTLIER
(13#)132,3974746,2.609044,3978971,2.617593,-3.271323e-03,0.039998,-2.137357e-01,OUTLIER
(13#)265/2,3992123,2.608902,3993959,2.617702,-3.367390e-03,0.039885,-2.206343e-01,OUTLIER
(13#)133,3996758,2.606043,4009003,2.617809,-4.504729e-03,0.039773,-2.958288e-01,OUTLIER
(13#)267/2,4015034,2.596429,4024003,2.617916,-8.241542e-03,0.039662,-5.417528e-01,OUTLIER
(13#)134,4034477,2.610102,4039019,2.618022,-3.029770e-03,0.039551,-2.002478e-01,OUTLIER
(13#)269/2,4047991,2.608708,4054033,2.618128,-3.604479e-03,0.039441,-2.388378e-01,OUTLIER
(13#)135,4060838,2.605187,4069063,2.618233,-4.995205e-03,0.039332,-3.316892e-01,OUTLIER
(13#)271/2,4069376,2.607269,4084079,2.618337,-4.236070e-03,0.039224,-2.821742e-01,OUTLIER
(17#)8,4087942,2.607185,4099093,2.618440,-4.307625e-03,0.039116,-2.877339e-01,OUTLIER
(13#)273/2,4099112,2.611193,4114087,2.618543,-2.810851e-03,0.039009,-1.884181e-01,OUTLIER
(13#)137,4115572,2.602570,4129109,2.618644,-6.157208e-03,0.038902,-4.131921e-01,OUTLIER
(13#)275/2,4131313,2.600695,4144121,2.618746,-6.916860e-03,0.038797,-4.652679e-01,OUTLIER
(13#)138,4154263,2.606322,4159153,2.618846,-4.793731e-03,0.038692,-3.236845e-01,OUTLIER
(13#)277/2,4161457,2.607097,4174151,2.618946,-4.534605e-03,0.038588,-3.070644e-01,OUTLIER
(13#)139,4186967,2.607727,4189183,2.619045,-4.330787e-03,0.038484,-2.940962e-01,OUTLIER
(13#)279/2,4197376,2.593242,4194304,2.619144,-9.938716e-03,0.038382,-6.748476e-01,OUTLIER
(13#)140,4208627,2.613973,4219211,2.619242,-2.013677e-03,0.038279,-1.376473e-01,OUTLIER
(13#)281/2,4222718,2.607053,4234229,2.619339,-4.701531e-03,0.038178,-3.218084e-01,OUTLIER
(13#)141,4242659,2.608260,4249241,2.619436,-4.275695e-03,0.038077,-2.935105e-01,OUTLIER
(13#)283/2,4254164,2.607386,4264259,2.619532,-4.647489e-03,0.037977,-3.198252e-01,OUTLIER
(13#)142,4270639,2.603665,4279267,2.619627,-6.111873e-03,0.037877,-4.214167e-01,OUTLIER
(13#)285/2,4280083,2.607170,4294259,2.619722,-4.802863e-03,0.037778,-3.322569e-01,OUTLIER
(13#)143,4298422,2.609440,4309297,2.619816,-3.968447e-03,0.037680,-2.753715e-01,OUTLIER
(13#)287/2,4323628,2.609173,4324303,2.619910,-4.106653e-03,0.037582,-2.856953e-01,OUTLIER
(13#)144,4333132,2.610882,4339333,2.620003,-3.487368e-03,0.037485,-2.433240e-01,OUTLIER
(17#)17/2,4342687,2.606964,4354349,2.620095,-5.024251e-03,0.037389,-3.511996e-01,OUTLIER
(13#)145,4354381,2.614402,4369349,2.620187,-2.210299e-03,0.037293,-1.551229e-01,OUTLIER
(13#)291/2,4372499,2.601775,4384379,2.620278,-7.086515e-03,0.037198,-4.974192e-01,OUTLIER
(13#)146,4392541,2.607219,4399363,2.620369,-5.031012e-03,0.037103,-3.544188e-01,OUTLIER
(13#)293/2,4400353,2.604258,4414379,2.620459,-6.201695e-03,0.037009,-4.377584e-01,OUTLIER
(13#)147,4416868,2.603212,4429417,2.620548,-6.637389e-03,0.036915,-4.696194e-01,OUTLIER
(13#)295/2,4441462,2.609455,4444409,2.620637,-4.276031e-03,0.036822,-3.036771e-01,OUTLIER
(13#)148,4447771,2.609820,4459451,2.620725,-4.169744e-03,0.036730,-2.968963e-01,OUTLIER
(13#)297/2,4469884,2.605726,4474469,2.620813,-5.773244e-03,0.036638,-4.117856e-01,OUTLIER
(13#)149,4475881,2.602272,4489483,2.620900,-7.132861e-03,0.036547,-5.096998e-01,OUTLIER
(13#)299/2,4499059,2.612312,4504457,2.620987,-3.315311e-03,0.036456,-2.379581e-01,OUTLIER
(13#)150,4512502,2.605336,4519499,2.621073,-6.022126e-03,0.036366,-4.327394e-01,OUTLIER
(13#)301/2,4520101,2.610048,4534501,2.621159,-4.247974e-03,0.036277,-3.062822e-01,OUTLIER
(13#)151,4540321,2.610081,4549537,2.621244,-4.267759e-03,0.036188,-3.084724e-01,OUTLIER
(13#)303/2,4562161,2.604160,4564559,2.621329,-6.571275e-03,0.036099,-4.756087e-01,OUTLIER
