START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(7#)29/2,3076,1.845344,3137,1.074180,5.411081e-01,1.805473,4.271257e-01,EXPECTED
(7#)15,3221,2.107297,3253,1.110064,6.409884e-01,1.780543,5.600724e-01,EXPECTED
(7#)31/2,3334,2.210551,3359,1.144699,6.581001e-01,1.733120,6.149903e-01,EXPECTED
(7#)16,3386,2.340982,3463,1.183671,6.819499e-01,1.714431,6.750409e-01,EXPECTED
(11#)3/2,3559,2.029695,3559,1.201505,5.243106e-01,1.673946,4.947531e-01,EXPECTED
(7#)17,3571,2.249487,3673,1.217226,6.141277e-01,1.657078,6.229405e-01,EXPECTED
(7#)35/2,3769,1.943543,3779,1.263405,4.307021e-01,1.629239,4.174575e-01,EXPECTED
(7#)18,3799,2.075010,3881,1.280484,4.827278e-01,1.599851,4.966250e-01,EXPECTED
(7#)37/2,3964,2.216472,3989,1.301004,5.327805e-01,1.579242,5.796882e-01,EXPECTED
(7#)19,4051,2.044491,4093,1.311835,4.437219e-01,1.557788,4.703182e-01,EXPECTED
(7#)39/2,4153,2.340594,4096,1.341344,5.567326e-01,1.534634,6.511325e-01,EXPECTED
(7#)20,4282,2.220909,4297,1.361928,4.890152e-01,1.510539,5.686586e-01,EXPECTED
(7#)41/2,4393,2.306710,4409,1.410118,4.921489e-01,1.483397,6.044181e-01,EXPECTED
(7#)21,4486,2.143577,4513,1.396543,4.284760e-01,1.471038,5.078278e-01,EXPECTED
(7#)43/2,4603,2.102361,4603,1.411593,3.983421e-01,1.457512,4.739364e-01,EXPECTED
(11#)2,4651,2.085780,4723,1.429308,3.779525e-01,1.436921,4.568602e-01,EXPECTED
(7#)45/2,4801,1.856187,4817,1.460026,2.400701e-01,1.411396,2.806873e-01,EXPECTED
(7#)23,4909,2.178086,4933,1.463933,3.973199e-01,1.402911,5.090508e-01,EXPECTED
(7#)47/2,4987,2.151973,5039,1.481669,3.732159e-01,1.387613,4.830626e-01,EXPECTED
(7#)24,5086,2.176695,5119,1.497108,3.742724e-01,1.368557,4.965719e-01,EXPECTED
(7#)49/2,5242,2.126897,5237,1.509018,3.432050e-01,1.357136,4.552816e-01,EXPECTED
(7#)25,5308,2.217466,5351,1.534216,3.683456e-01,1.342000,5.091282e-01,EXPECTED
(7#)51/2,5416,1.965120,5449,1.542947,2.418591e-01,1.326148,3.183453e-01,EXPECTED
