START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
(5#)51/2,766,2.072834,773,2.686848,765,7.15563604,765,7.63291811,772,3.867464214,4.068979782,779,0.000000,765,11.541481,779,0.000000
(5#)26,788,1.806384,787,2.686405,780,7.04990800,780,7.80528485,787,3.860158173,4.059648712,794,0.000000,780,11.716232,794,0.000000
(5#)53/2,802,1.784236,797,2.686508,795,6.51590604,795,7.29471835,802,3.869580025,4.059630304,809,0.000000,795,11.207479,809,0.000000
(5#)27,821,1.976976,823,2.685928,810,6.64448411,810,7.15472752,817,3.804628348,4.048771525,824,0.000000,810,11.069001,824,0.000000
(5#)55/2,839,2.379710,839,2.685726,825,7.66200530,825,7.94924953,832,3.989216972,4.044591596,839,0.000000,825,11.898817,839,0.000000
(7#)4,841,2.159749,853,2.685775,840,8.20414590,840,8.58407866,847,3.938706151,4.088456198,853,0.000000,840,13.144129,854,0.000000
(5#)57/2,859,1.914982,859,2.685482,855,7.47170017,855,7.57379415,862,3.918842651,4.101293412,866,0.000000,855,11.499851,869,0.000000
(5#)29,883,2.295458,883,2.685200,870,7.79339087,870,7.41823750,877,4.052500582,4.058916009,883,0.000000,870,11.347465,884,0.000000
(5#)59/2,886,2.287381,887,2.685154,885,7.91710221,885,7.27842450,892,3.949772972,4.033426486,899,0.000000,885,11.213238,899,0.000000
(5#)30,904,2.050129,911,2.684886,900,6.78664426,900,7.15208551,907,3.780000887,4.064786978,914,0.000000,900,11.090810,914,0.000000
(5#)61/2,919,1.825774,919,2.684799,915,6.91869875,915,7.27296264,922,3.763694936,4.053397612,929,0.000000,915,11.217805,929,0.000000
(5#)31,943,1.991920,941,2.684762,930,6.63119009,930,7.39862282,937,3.707657468,4.022543427,944,0.000000,930,11.348058,944,0.000000
(7#)9/2,958,2.164457,953,2.684635,945,7.55793189,945,8.58200080,952,3.745684025,4.124528939,958,0.000000,945,13.224697,959,0.000000
(5#)32,967,1.761041,971,2.684260,960,7.07321591,960,7.15088425,967,3.873249109,4.045980643,974,0.000000,960,11.112158,974,0.000000
(5#)65/2,982,1.933461,977,2.684389,975,7.58665247,975,7.80062493,982,3.779939666,4.087387381,989,0.000000,975,11.771125,989,0.000000
(5#)33,997,2.106150,997,2.684190,990,7.49719194,990,7.94534790,997,3.802745832,4.028534520,1004,0.000000,990,11.953882,1004,0.000000
(5#)67/2,1009,1.898450,1019,2.683801,1005,6.85377083,1005,7.26051298,1012,3.775321640,4.035938687,1019,0.000000,1005,11.242183,1019,0.000000
(5#)34,1024,2.252124,1024,2.681141,1020,7.33980895,1020,7.62643108,1027,3.986142026,4.091310305,1033,0.000000,1020,11.614571,1034,0.000000
(5#)69/2,1048,2.030676,1039,2.683619,1035,7.08454356,1035,7.48994347,1042,3.809637589,4.013576344,1049,0.000000,1035,11.485895,1049,0.000000
(7#)5,1063,2.195023,1063,2.683407,1050,8.66474534,1050,8.57966186,1057,4.027402448,4.107318004,1063,0.000000,1050,13.318548,1064,0.000000
(5#)71/2,1072,2.361462,1069,2.683525,1071,6.91378853,1065,7.25304850,1072,4.035681771,4.072007053,1079,0.000000,1065,11.264182,1079,0.000000
(5#)36,1094,2.506504,1093,2.683318,1092,7.70861537,1080,7.14875727,1087,4.127242638,4.072164836,1094,0.000000,1080,11.167273,1094,0.000000
(5#)73/2,1109,1.952088,1097,2.683284,1095,6.98422798,1095,7.24917329,1102,3.945217175,4.013617643,1109,0.000000,1095,11.276337,1109,0.000000
(5#)37,1123,2.110511,1123,2.682909,1110,7.44190976,1110,7.35295362,1117,4.106924269,4.093406572,1124,0.000000,1110,11.387961,1124,0.000000
(5#)75/2,1126,2.104611,1129,2.683020,1125,6.85042475,1125,7.14844049,1132,4.009979435,4.029500575,1139,0.000000,1125,11.192436,1139,0.000000
(5#)38,1147,2.252003,1153,2.682829,1140,7.12745061,1140,7.56826738,1147,3.914327530,3.986986642,1154,0.000000,1140,11.620547,1154,0.000000
