FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
375,389,(5#)25/2,379,14.194,375,38.175,379,2.696274,375,7.17131417,382,21.751192,4.034619349,379,1.399199,375,8.46897304,389,0.000000,375,11.53133791,1.297074
390,404,(5#)13,397,14.639,390,42.862,401,2.695884,390,7.82387510,397,22.686480,4.100355109,397,1.401088,390,9.11834070,404,0.000000,390,12.09403516,1.294966
405,419,(5#)27/2,409,14.932,405,40.184,419,2.694640,405,7.17078622,412,22.902197,4.038821333,419,1.401190,405,8.46507288,419,0.000000,405,11.37359349,1.293450
420,434,(7#)2,421,15.223,420,49.513,433,2.694622,420,8.60223889,427,23.936188,4.120178197,421,1.401711,420,9.89458666,434,0.000000,420,12.72520353,1.293366
435,449,(5#)29/2,439,15.657,435,43.700,439,2.693917,435,7.43306573,442,24.061888,4.047667906,439,1.400943,435,8.72607069,449,0.000000,435,11.49591415,1.292974
450,464,(5#)15,454,16.085,462,43.981,463,2.693116,450,7.16810384,457,25.002054,4.110324866,457,1.409977,450,8.46022505,464,0.000000,450,11.15945659,1.283796
465,479,(5#)31/2,467,16.322,465,45.597,479,2.692619,465,7.41434850,472,25.005905,4.023960004,467,1.424217,465,8.68608492,479,0.000000,465,11.35165797,1.268772
480,494,(5#)16,482,16.744,480,45.117,491,2.692264,480,7.16531086,487,25.832158,4.068711841,487,1.452189,480,8.41303884,494,0.000000,480,11.03816110,1.240192
495,509,(5#)33/2,499,17.070,495,51.076,499,2.692035,495,7.96058969,502,26.339888,4.065199066,499,1.468120,495,9.18986117,509,0.000000,495,11.78454969,1.223915
510,524,(5#)17,512,17.371,510,50.141,512,2.686429,510,7.64264747,517,26.643253,4.029710347,512,1.481494,510,8.85013273,524,0.000000,510,11.40814259,1.204935
525,539,(7#)5/2,526,17.760,525,57.416,538,2.696448,525,8.59706998,532,27.876010,4.135844334,526,1.509371,525,9.78775020,539,0.000000,525,12.31809008,1.187511
540,554,(5#)18,541,18.035,540,48.856,541,2.691301,540,7.16260023,547,27.878538,4.056302241,541,1.519808,540,8.33340390,554,0.000000,540,10.83030967,1.171492
555,569,(5#)37/2,557,18.397,555,51.104,557,2.690900,555,7.36656045,562,28.477094,4.068752720,557,1.537717,555,8.52198576,569,0.000000,555,10.99361074,1.153182
570,584,(5#)19,571,18.712,570,53.675,577,2.690424,570,7.58365556,577,28.738631,4.031847798,571,1.552377,570,8.72085904,584,0.000000,570,11.16186374,1.137832
585,599,(5#)39/2,587,19.070,585,56.194,599,2.689596,585,7.81275465,592,29.732476,4.099204601,587,1.568849,585,8.93582182,599,0.000000,585,11.35362707,1.121004
600,614,(5#)20,601,19.381,600,52.494,601,2.689887,600,7.16027293,607,29.857033,4.044980684,601,1.583021,600,8.26656278,614,0.000000,600,10.65620611,1.106866
615,629,(5#)41/2,617,19.735,615,54.669,619,2.689185,615,7.34327566,622,30.572532,4.073582934,617,1.598212,615,8.43651809,629,0.000000,615,10.80478770,1.091336
630,644,(7#)3,631,20.043,630,65.143,643,2.688718,630,8.59207809,637,31.020163,4.065267061,631,1.610683,630,9.66981265,644,0.000000,630,12.01208245,1.078265
645,659,(5#)43/2,647,20.392,645,56.428,659,2.688423,645,7.33412050,652,31.336089,4.041705932,647,1.624762,645,8.39976827,659,0.000000,645,10.72227589,1.063881
660,674,(5#)22,661,20.696,660,62.271,661,2.688684,660,7.95360276,667,32.493574,4.124831282,661,1.636932,660,9.00486502,674,0.000000,660,11.30328588,1.051753
675,689,(5#)45/2,677,21.042,675,56.835,677,2.688393,675,7.15773218,682,32.033945,4.004487421,677,1.650008,675,8.19775998,689,0.000000,675,10.47784924,1.038385
690,704,(5#)23,691,21.343,690,60.548,701,2.687975,690,7.49893355,697,33.392993,4.111263752,691,1.660769,690,8.52557368,704,0.000000,690,10.78327815,1.027095
705,719,(5#)47/2,706,21.725,705,59.880,719,2.687407,705,7.31662958,712,33.398314,4.051920760,709,1.674734,705,8.33279543,719,0.000000,705,10.57344483,1.013107
