START,n_geom,C_avg,Cpred_avg,Lambda_avg
7PR87D2,9187,4.001248,4.042164,-1.017397e-02
11PR4,9292,4.012813,4.047578,-8.626122e-03
7PR89D2,9397,4.007555,4.046222,-9.602259e-03
7PR45,9502,3.954109,4.041122,-2.176694e-02
7PR91D2,9607,3.959602,4.048389,-2.217539e-02
7PR46,9712,3.979257,4.041810,-1.559740e-02
7PR93D2,9817,4.001682,4.050950,-1.223671e-02
7PR47,9922,3.985420,4.036520,-1.274029e-02
7PR95D2,10027,3.995647,4.049075,-1.328287e-02
7PR48,10132,3.973715,4.041617,-1.694360e-02
7PR97D2,10237,3.994393,4.043757,-1.228278e-02
7PR49,10342,4.024021,4.041041,-4.220668e-03
11PR9D2,10447,4.027247,4.049144,-5.422481e-03
7PR50,10552,4.035725,4.043076,-1.819749e-03
7PR101D2,10657,4.053754,4.041002,3.150633e-03
7PR51,10762,4.070227,4.048462,5.361759e-03
7PR103D2,10867,4.004331,4.039088,-8.642215e-03
7PR52,10972,4.036042,4.050086,-3.473587e-03
7PR105D2,11077,3.992546,4.041000,-1.206297e-02
7PR53,11182,4.025832,4.048674,-5.657907e-03
7PR107D2,11287,3.981372,4.039024,-1.437654e-02
7PR54,11392,4.001539,4.043657,-1.047057e-02
7PR109D2,11497,3.971368,4.039296,-1.695986e-02
11PR5,11602,4.004036,4.044009,-9.933808e-03
7PR111D2,11707,3.996074,4.047528,-1.279371e-02
7PR56,11812,3.976595,4.040632,-1.597506e-02
7PR113D2,11917,3.981940,4.041357,-1.481150e-02
7PR57,12022,4.002692,4.041285,-9.595614e-03
7PR115D2,12127,4.044790,4.048316,-8.712710e-04
7PR58,12232,4.019047,4.044163,-6.229682e-03
7PR117D2,12337,4.042544,4.043664,-2.769323e-04
7PR59,12442,4.009926,4.040553,-7.608787e-03
7PR119D2,12547,4.017812,4.050766,-8.168411e-03
7PR60,12652,3.944461,4.033875,-2.241501e-02
11PR11D2,12757,3.949004,4.047853,-2.472330e-02
7PR61,12862,3.934691,4.043448,-2.726545e-02
7PR123D2,12967,3.968793,4.038786,-1.748198e-02
7PR62,13072,3.980025,4.048149,-1.697160e-02
7PR125D2,13177,3.977088,4.042293,-1.626220e-02
7PR63,13282,3.958165,4.040990,-2.070924e-02
7PR127D2,13387,3.984332,4.041333,-1.420483e-02
7PR64,13492,4.007290,4.044170,-9.161159e-03
7PR129D2,13597,3.987941,4.035135,-1.176469e-02
7PR65,13702,3.991798,4.050842,-1.468291e-02
7PR131D2,13807,3.982027,4.039969,-1.444626e-02
11PR6,13912,3.985947,4.044504,-1.458415e-02
7PR133D2,14017,3.956587,4.043856,-2.181691e-02
7PR67,14122,3.976917,4.041582,-1.612936e-02
7PR135D2,14227,3.967667,4.042096,-1.858531e-02
7PR68,14332,3.989706,4.043702,-1.344301e-02
7PR137D2,14437,3.994566,4.042375,-1.189735e-02
7PR69,14542,4.003207,4.042229,-9.700513e-03
7PR139D2,14647,4.007548,4.042718,-8.737796e-03
7PR70,14752,4.017751,4.038427,-5.133035e-03
7PR141D2,14857,4.036712,4.044521,-1.932733e-03
7PR71,14962,4.021344,4.036072,-3.655620e-03
13PRD2,15581,4.022986,4.042552,-4.851638e-03
11PR7,16737,4.017232,4.041462,-6.013429e-03
11PR15D2,17893,4.009270,4.041479,-8.001441e-03
11PR8,19048,3.999206,4.040733,-1.033011e-02
11PR17D2,20204,3.982392,4.041172,-1.465218e-02
11PR9,21359,3.983191,4.040666,-1.432614e-02
11PR19D2,22515,4.019335,4.040174,-5.171151e-03
11PR10,23670,4.027253,4.040337,-3.243794e-03
11PR21D2,24825,4.024633,4.039773,-3.754631e-03
11PR11,25981,4.000939,4.039901,-9.690904e-03
11PR23D2,27136,4.000845,4.039499,-9.615145e-03
11PR12,28291,4.029672,4.039487,-2.432698e-03
11PR25D2,29446,4.023199,4.038611,-3.823606e-03
13PR,30602,4.005681,4.039605,-8.433411e-03
11PR27D2,31757,3.986567,4.039126,-1.309789e-02
11PR14,32912,4.000521,4.038222,-9.379743e-03
11PR29D2,34067,4.007956,4.038858,-7.680683e-03
11PR15,35222,4.012041,4.038532,-6.581255e-03
11PR31D2,36377,4.001639,4.038255,-9.108633e-03
11PR16,37533,4.012229,4.038303,-6.477646e-03
11PR33D2,38688,4.042901,4.037586,1.315422e-03
11PR17,39843,4.043836,4.038195,1.395783e-03
11PR35D2,40998,4.028247,4.037994,-2.416553e-03
11PR18,42153,4.022976,4.037703,-3.654145e-03
11PR37D2,43308,4.011115,4.037753,-6.619010e-03
11PR19,44463,4.004938,4.037178,-8.017683e-03
13PR3D2,45618,4.011821,4.037645,-6.416232e-03
11PR20,46773,3.995088,4.037329,-1.051786e-02
11PR41D2,47929,4.001174,4.037993,-9.160049e-03
11PR21,49084,4.005415,4.036710,-7.782797e-03
11PR43D2,50239,4.016569,4.037139,-5.108170e-03
11PR22,51394,4.012629,4.036836,-6.014710e-03
11PR45D2,52549,4.013069,4.036799,-5.895678e-03
11PR23,53704,4.013727,4.037188,-5.828332e-03
11PR47D2,54859,4.026321,4.036693,-2.572746e-03
11PR24,56014,4.022016,4.036604,-3.620269e-03
11PR49D2,57169,4.018045,4.036555,-4.596109e-03
11PR25,58324,4.009461,4.036529,-6.728384e-03
11PR51D2,59479,4.004974,4.036133,-7.749797e-03
13PR2,60634,4.021213,4.036456,-3.783536e-03
11PR53D2,61789,4.027165,4.036445,-2.301833e-03
11PR27,62944,4.027227,4.036387,-2.271791e-03
11PR55D2,64099,4.042465,4.036401,1.501341e-03
11PR28,65254,4.025187,4.035917,-2.662264e-03
11PR57D2,66409,4.022208,4.035930,-3.405560e-03
11PR29,67565,4.014983,4.036112,-5.248716e-03
11PR59D2,68720,4.021830,4.035967,-3.509026e-03
11PR30,69875,4.013554,4.036022,-5.582256e-03
11PR61D2,71030,4.017318,4.035779,-4.584811e-03
11PR31,72185,4.013949,4.035864,-5.444953e-03
11PR63D2,73340,4.017545,4.035600,-4.483984e-03
11PR32,74495,4.011600,4.035641,-5.974873e-03
13PR5D2,75650,4.009473,4.035410,-6.448212e-03
11PR33,76805,4.011181,4.035770,-6.111643e-03
11PR67D2,77960,4.011397,4.035033,-5.874844e-03
11PR34,79115,4.010841,4.035662,-6.169404e-03
11PR69D2,80270,4.009339,4.035930,-6.610403e-03
11PR35,81425,4.023757,4.035080,-2.810012e-03
11PR71D2,82580,4.022988,4.035142,-3.016726e-03
11PR36,83735,4.018975,4.035037,-3.988698e-03
11PR73D2,84890,4.010615,4.035504,-6.186515e-03
