n,ratio,c_pred,baseline,c_meas,lambda,status
2559324,0.98006832,5.53079432,0.18797143,5.42055632,-0.02013299,EXPECTED
2574072,0.98213519,5.86620244,0.18742568,5.76140383,-0.01802631,EXPECTED
2593071,0.98339914,6.16194626,0.18673110,6.05965267,-0.01674020,EXPECTED
2600592,0.98259237,5.85887547,0.18645866,5.75688630,-0.01756093,EXPECTED
2618736,0.98162290,5.57191803,0.18580747,5.46952231,-0.01854806,EXPECTED
2630262,0.98472262,5.50160307,0.18539810,5.41755301,-0.01539528,EXPECTED
2647242,0.98088886,5.99817389,0.18480102,5.88354194,-0.01929612,EXPECTED
2671266,0.98142323,6.26365815,0.18396822,6.14729964,-0.01875148,EXPECTED
2674971,0.98193882,5.98403864,0.18384106,5.87595986,-0.01822627,EXPECTED
2701371,0.98144167,5.68826559,0.18294400,5.58270090,-0.01873269,EXPECTED
2707338,0.98176679,5.51475673,0.18274344,5.41420501,-0.01840148,EXPECTED
2724237,0.98286063,5.54990077,0.18218002,5.45477895,-0.01728795,EXPECTED
2735130,0.98360939,8.10954542,0.24242692,7.97662506,-0.01652642,EXPECTED
2755233,0.98302576,5.98076437,0.18116315,5.87924543,-0.01711995,EXPECTED
2777445,0.98078323,8.46005549,0.26732945,8.29748056,-0.01940381,EXPECTED
2777787,0.98153883,5.49654286,0.18043644,5.39507026,-0.01863370,EXPECTED
2806011,0.98140358,6.20092586,0.17954229,6.08561086,-0.01877150,EXPECTED
2807817,0.98473858,5.74879442,0.17948565,5.66105968,-0.01537907,EXPECTED
2829501,0.98288436,5.86870563,0.17881074,5.76825895,-0.01726381,EXPECTED
2839488,0.97994685,5.75633361,0.17850308,5.64090100,-0.02025694,EXPECTED
2867631,0.98089840,5.97697098,0.17764694,5.86280129,-0.01928639,EXPECTED
2871663,0.98047851,5.49350232,0.17752556,5.38626096,-0.01971455,EXPECTED
2889171,0.98134924,5.58721501,0.17700212,5.48300918,-0.01882688,EXPECTED
2900217,0.98290399,6.42124347,0.17667490,6.31146582,-0.01724384,EXPECTED
2921763,0.98265585,6.31792445,0.17604325,6.20834541,-0.01749632,EXPECTED
2937063,0.98025453,5.54800413,0.17559995,5.43845617,-0.01994302,EXPECTED
2943057,0.98127717,6.68970315,0.17542745,6.56445298,-0.01890032,EXPECTED
2972727,0.98226553,5.74476904,0.17458312,5.64288864,-0.01789360,EXPECTED
2974842,0.98717872,5.97412480,0.17452350,5.89752885,-0.01290419,EXPECTED
2987988,0.98137874,5.94256131,0.17415489,5.83190331,-0.01879682,EXPECTED
3010038,0.98342623,5.67304216,0.17354335,5.57901844,-0.01671266,EXPECTED
3023382,0.98247941,5.84360077,0.17317730,5.74121745,-0.01767589,EXPECTED
3046914,0.98297785,6.19985369,0.17253908,6.09431887,-0.01716869,EXPECTED
3049947,0.98275532,5.85469231,0.17245753,5.75373001,-0.01739510,EXPECTED
