alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,12326,-1.51636564,12279,-0.89430931
0.0009765625,11402,-1.49820906,11166,-0.85352392
0.0009765625,10337,-1.47929786,9621,-0.81109408
0.0009765625,8464,-1.43964499,8739,-0.76511361
0.0009765625,7303,-1.34776823,6828,-0.66315287
0.0009765625,6424,-1.25229698,5652,-0.60596415
0.0009765625,5276,-1.1415121,5232,-0.60698555
0.0009765625,3039,-1.07341357,4076,-0.88559021
0.0009765625,2139,-1.07857402,1878,-0.04556843
0.0009765625,1230,-0.06890864,1668,-0.0471896
0.0009765625,1032,-0.05465478,1032,-0.05465478
0.001953125,8064474,-0.15867576,8771946,-0.09785227
0.001953125,4776201,-0.21585705,5914197,-0.11814748
0.001953125,4668774,-0.24462819,4724844,-0.13889691
0.001953125,4519482,-0.2458157,4420746,-0.16112178
0.001953125,4271988,-0.27126556,4337307,-0.17651877
0.001953125,4068399,-0.25504034,4192683,-0.17230731
0.001953125,3988176,-0.26880524,3944829,-0.15348153
0.001953125,3756618,-0.29496242,3835176,-0.1651853
0.001953125,3535191,-0.25506454,3610836,-0.15286696
0.001953125,3461826,-0.30619844,3407241,-0.16095496
0.001953125,3289623,-0.25979923,3186471,-0.14128511
0.001953125,3052074,-0.30751563,3079308,-0.15987315
0.001953125,2949318,-0.3100339,2837487,-0.19021749
0.001953125,2779521,-0.29705026,2714283,-0.21045983
0.001953125,2463381,-0.32326781,2526591,-0.17285305
0.001953125,2288148,-0.3318579,2386956,-0.22176144
0.001953125,2108663,-0.339524,2156484,-0.2047449
0.001953125,1960296,-0.36183153,2043252,-0.25624693
0.001953125,1715679,-0.39157963,1795569,-0.27086255
0.001953125,1566846,-0.39795364,1679487,-0.25092841
0.001953125,1358508,-0.42985967,1379559,-0.28243769
0.001953125,1321149,-0.4361727,1323454,-0.36566402
0.001953125,1028867,-0.49431136,1162017,-0.31750531
0.001953125,988611,-0.51326729,942051,-0.40842943
0.001953125,635778,-0.60219767,766979,-0.47239712
0.001953125,553762,-0.6062407,500068,-0.38519762
0.001953125,418827,-0.54588319,327768,-0.41692183
0.001953125,243390,-0.75195671,267309,-0.40382862
0.001953125,232947,-0.79337934,229992,-0.41080023
0.001953125,214956,-0.73587713,218841,-0.50163953
0.001953125,212268,-0.74663225,209853,-0.45171419
0.001953125,195393,-0.74294398,190683,-0.46245355
0.001953125,174603,-0.6984575,176274,-0.34360479
0.001953125,165627,-0.77570804,169923,-0.4857486
0.001953125,148941,-0.67085933,149136,-0.41215947
0.001953125,142104,-0.81203712,136731,-0.48407261
0.001953125,118887,-0.7188842,128223,-0.54571506
0.001953125,110928,-0.78844823,115767,-0.42057127
0.001953125,99684,-0.75977016,101112,-0.54589873
0.001953125,88731,-0.814816,77616,-0.46493948
0.001953125,68823,-0.85665911,74442,-0.49710884
0.001953125,57759,-0.80127744,51506,-0.55013043
0.001953125,47611,-0.87649569,42021,-0.5654297
0.001953125,30196,-0.92995129,27771,-0.5422494
0.001953125,14334,-1.39404129,19452,-0.627232
0.001953125,14175,-1.4506592,13701,-0.67631748
0.001953125,12360,-1.35141223,11918,-0.59064911
0.001953125,11411,-1.67450587,10875,-0.86712735
0.001953125,10287,-1.20998149,9426,-0.74408575
0.001953125,8081,-1.5730445,8102,-0.87987431
0.001953125,7873,-1.57334009,7892,-0.88018489
0.001953125,6439,-1.52369878,5649,-0.51727179
0.001953125,5342,-1.48491667,4518,-0.77500317
0.001953125,4156,-1.44366299,3462,-0.67221775
0.001953125,2794,-1.15025164,2085,-0.56871301
0.001953125,1095,-1.09491821,1604,-0.89197448
0.001953125,1020,-0.07534491,882,-0.06662004
0.001953125,858,-0.06780321,822,-0.05737555
0.001953125,660,-0.08875684,642,-0.06183701
0.00390625,9452202,-0.11526432,6839349,-0.09162292
0.00390625,4785891,-0.15717414,6281514,-0.0910989
0.00390625,4764216,-0.17705798,4737339,-0.09267599
0.00390625,4506216,-0.18313912,4417158,-0.10584846
