START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(17#)116,59297873,2.634889,59474407,2.614332,7.832440e-03,0.007403,2.776847e+00,EXPECTED
(17#)233/2,59503861,2.637234,59729633,2.614365,8.709402e-03,0.007389,3.095006e+00,EXPECTED
(17#)117,59774947,2.635060,59984921,2.614397,7.872474e-03,0.007376,2.801383e+00,EXPECTED
(17#)235/2,60116767,2.634939,60240179,2.614428,7.814696e-03,0.007363,2.785685e+00,EXPECTED
(17#)118,60336769,2.636403,60495433,2.614459,8.358295e-03,0.007350,2.985578e+00,EXPECTED
(17#)237/2,60497854,2.634093,60750689,2.614490,7.469860e-03,0.007337,2.671800e+00,EXPECTED
(17#)119,60816697,2.635280,61005929,2.614520,7.908914e-03,0.007324,2.834517e+00,EXPECTED
(17#)239/2,61220564,2.635772,61261199,2.614550,8.084120e-03,0.007311,2.902749e+00,EXPECTED
(17#)120,61395833,2.637005,61516447,2.614580,8.540331e-03,0.007298,3.072760e+00,EXPECTED
(17#)241/2,61759091,2.633558,61771691,2.614609,7.221219e-03,0.007286,2.600741e+00,EXPECTED
(17#)121,61983998,2.636409,62026961,2.614638,8.292108e-03,0.007273,2.993400e+00,EXPECTED
(17#)243/2,62244289,2.637559,62282179,2.614666,8.717504e-03,0.007261,3.152872e+00,EXPECTED
(17#)122,62376973,2.635962,62537473,2.614694,8.101127e-03,0.007249,2.933922e+00,EXPECTED
(17#)245/2,62587496,2.633622,62792693,2.614722,7.202303e-03,0.007237,2.611579e+00,EXPECTED
(17#)123,62989169,2.635139,63047981,2.614749,7.767824e-03,0.007224,2.822536e+00,EXPECTED
(19#)13/2,63287786,2.637261,63303217,2.614776,8.562444e-03,0.007212,3.117720e+00,EXPECTED
(17#)124,63537428,2.635042,63558491,2.614803,7.710361e-03,0.007201,2.810582e+00,EXPECTED
(17#)249/2,63618773,2.633530,63813731,2.614829,7.126448e-03,0.007189,2.601335e+00,EXPECTED
(17#)125,63890804,2.632723,64069003,2.614855,6.810025e-03,0.007177,2.489620e+00,EXPECTED
(17#)251/2,64316048,2.636346,64324237,2.614880,8.175660e-03,0.007165,2.995953e+00,EXPECTED
(17#)126,64424396,2.637243,64579511,2.614905,8.506285e-03,0.007154,3.122449e+00,EXPECTED
(17#)253/2,64765823,2.636032,64834751,2.614930,8.037428e-03,0.007142,2.954635e+00,EXPECTED
(17#)127,64931122,2.634970,65090021,2.614955,7.624908e-03,0.007131,2.806759e+00,EXPECTED
(17#)255/2,65322134,2.633716,65345279,2.614979,7.139710e-03,0.007120,2.631601e+00,EXPECTED
(17#)128,65582632,2.636488,65600489,2.615003,8.182484e-03,0.007109,3.022225e+00,EXPECTED
(17#)257/2,65836588,2.636090,65855771,2.615026,8.022719e-03,0.007098,2.967597e+00,EXPECTED
(17#)129,65963042,2.635804,66111043,2.615050,7.905041e-03,0.007087,2.928461e+00,EXPECTED
(17#)259/2,66330947,2.636673,66366281,2.615073,8.225882e-03,0.007076,3.052572e+00,EXPECTED
(17#)130,66475847,2.636600,66621551,2.615095,8.189783e-03,0.007065,3.043878e+00,EXPECTED
(17#)261/2,66759878,2.632266,66876791,2.615117,6.536234e-03,0.007054,2.431103e+00,EXPECTED
(17#)131,67003604,2.638001,67132063,2.615139,8.704182e-03,0.007044,3.245599e+00,EXPECTED
(17#)263/2,67307957,2.635541,67387291,2.615161,7.762811e-03,0.007033,2.897768e+00,EXPECTED
(17#)132,67561558,2.637463,67642571,2.615182,8.483777e-03,0.007023,3.172576e+00,EXPECTED
(17#)265/2,67837898,2.635003,67897807,2.615204,7.542215e-03,0.007012,2.823588e+00,EXPECTED
(19#)7,68084449,2.637449,68153077,2.615224,8.462409e-03,0.007002,3.174093e+00,EXPECTED
(17#)267/2,68374573,2.637397,68408339,2.615245,8.434663e-03,0.006991,3.168645e+00,EXPECTED
(17#)134,68573404,2.636503,68663593,2.615265,8.087987e-03,0.006981,3.042258e+00,EXPECTED
(17#)269/2,68827744,2.637719,68918771,2.615285,8.541450e-03,0.006971,3.218190e+00,EXPECTED
(17#)135,68941876,2.637597,69174101,2.615305,8.487550e-03,0.006961,3.202413e+00,EXPECTED
(17#)271/2,69300487,2.639059,69429337,2.615324,9.034424e-03,0.006951,3.414617e+00,EXPECTED
(17#)136,69484453,2.638006,69684611,2.615343,8.628073e-03,0.006941,3.265091e+00,EXPECTED
(17#)273/2,69727604,2.637982,69939847,2.615362,8.611711e-03,0.006932,3.263128e+00,EXPECTED
(17#)137,70017487,2.636601,70195093,2.615380,8.081185e-03,0.006922,3.065732e+00,EXPECTED
(17#)275/2,70230652,2.636101,70450379,2.615399,7.884264e-03,0.006912,2.995081e+00,EXPECTED
(17#)138,70519193,2.637251,70705627,2.615417,8.313537e-03,0.006903,3.162973e+00,EXPECTED
