DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
(7#)18,3799,2.075010,3881,2.67448600,3795,8.163449,3780,8.55641678,3832,3.956936,4.04932570
(7#)37/2,3964,2.216472,3989,2.67434200,3885,8.652843,3885,8.80059383,3937,4.031398,4.04623792
(7#)19,4051,2.044491,4093,2.67420800,3990,8.615256,3990,9.05902910,4042,3.955871,4.05808445
(7#)39/2,4153,2.340594,4096,2.67351700,4095,9.260206,4095,9.33300293,4147,3.964585,4.05000865
(7#)20,4282,2.220909,4297,2.67395900,4200,8.219780,4290,8.64111668,4252,4.026057,4.05018829
(7#)41/2,4393,2.306710,4409,2.67382900,4305,8.459134,4305,8.77400021,4357,3.961867,4.04740920
(7#)21,4486,2.143577,4513,2.67371200,4410,8.622790,4410,8.55431361,4462,3.990033,4.04732260
(7#)43/2,4603,2.102361,4603,2.67358300,4515,8.785192,4515,8.76250498,4567,3.997206,4.04521890
(11#)2,4651,2.085780,4723,2.67345700,4620,9.432003,4620,9.50395507,4672,4.016742,4.05133170
(7#)45/2,4801,1.856187,4817,2.67339100,4725,8.485605,4725,8.55334142,4777,3.959576,4.04905831
(7#)23,4909,2.178086,4933,2.67327500,4830,9.236400,4830,8.96032980,4882,3.940226,4.04800768
(7#)47/2,4987,2.151973,5039,2.67314500,4935,8.559950,4935,8.74270751,4987,3.928459,4.05125564
(7#)24,5086,2.176695,5119,2.67307000,5040,8.479144,5040,8.55236744,5092,3.991574,4.04307515
(7#)49/2,5242,2.126897,5237,2.67299000,5145,8.234373,5145,8.55217279,5197,4.029584,4.05358644
(7#)25,5308,2.217466,5351,2.67286200,5250,8.888987,5250,8.55190387,5302,3.987333,4.04003063
(7#)51/2,5416,1.965120,5449,2.67280300,5355,8.591447,5355,9.12165173,5407,3.958874,4.05379552
(7#)26,5557,2.301782,5563,2.67268200,5460,8.734048,5460,9.32868501,5512,3.932998,4.04660091
(7#)53/2,5596,2.182571,5669,2.67262000,5565,8.448369,5565,8.71878830,5617,3.935196,4.05019984
(7#)27,5728,2.248387,5749,2.67255500,5670,8.273705,5670,8.55087561,5722,3.886062,4.04319846
(11#)5/2,5857,2.159168,5879,2.67242900,5775,9.302545,5775,9.50061339,5827,3.949550,4.04951399
(7#)28,5906,2.349289,5981,2.67237500,5880,8.404214,5880,8.55032099,5932,3.965007,4.04808930
(7#)57/2,6038,2.309643,6089,2.67229500,5985,8.999710,5985,9.05311257,6037,3.969178,4.04389713
(7#)29,6131,2.233345,6173,2.67223300,6090,8.529314,6090,8.86660386,6142,3.971519,4.04860189
(7#)59/2,6218,2.356115,6299,2.67212100,6195,8.615973,6195,8.69963656,6247,4.002366,4.04613966
(7#)30,6353,2.124621,6397,2.67207500,6300,8.260687,6300,8.54943114,6352,4.044700,4.04958640
(7#)61/2,6421,2.298798,6491,2.67198900,6405,8.781065,6405,8.69418887,6457,4.017797,4.04212295
(7#)31,6568,2.399779,6607,2.67191200,6510,8.480654,6510,8.84387731,6562,4.059555,4.05109821
(7#)63/2,6719,2.265862,6719,2.67183900,6615,8.518159,6615,8.54880788,6667,4.043818,4.04367214
(7#)32,6791,2.430712,6823,2.67177200,6765,7.911785,6720,8.54861281,6772,3.992505,4.04416691
(7#)65/2,6863,2.365471,6917,2.67173300,6825,9.182816,6825,9.32561359,6877,4.055639,4.04604218
(11#)3,7024,2.323062,7027,2.67164600,6930,9.570228,6930,9.49810045,6982,4.034484,4.05100295
(7#)67/2,7108,2.390305,7129,2.67160400,7035,8.657545,7035,8.67954514,7087,4.008336,4.04855060
(7#)34,7219,2.055910,7243,2.67151800,7140,8.998678,7140,9.11771327,7192,4.006742,4.04366513
(7#)69/2,7246,2.136908,7349,2.67147500,7245,8.898695,7245,8.95476755,7297,3.982325,4.04730685
(7#)35,7351,2.199762,7451,2.67139900,7350,8.151811,7350,8.54755750,7402,3.981201,4.04530429
(7#)71/2,7522,2.372402,7559,2.67133800,7455,8.831682,7455,8.67119566,7507,3.968242,4.04355264
(7#)36,7561,2.321013,7649,2.67130700,7560,8.650793,7560,8.54715332,7612,3.972123,4.04879185
(7#)73/2,7727,2.199214,7759,2.67123000,7665,8.559782,7665,8.66741947,7717,3.945572,4.04470627
(7#)37,7846,2.336977,7873,2.67118700,7770,9.129686,7770,8.79107181,7822,3.939594,4.04514316
(7#)75/2,7951,2.232082,7963,2.67112300,7875,7.932160,7875,8.54665467,7927,3.925289,4.04129891
(7#)38,8062,2.328303,8081,2.67108000,7980,8.861511,7980,9.04923277,8032,3.952136,4.04450221
(11#)7/2,8116,2.236375,8179,2.67101400,8085,9.494047,8085,9.49598970,8137,3.953393,4.04999288
(7#)39,8224,2.292547,8192,2.67068200,8190,9.199795,8190,9.32316868,8242,3.956252,4.04796648
(7#)79/2,8311,2.234912,8389,2.67092700,8295,8.678196,8295,8.65701829,8347,3.967198,4.04672296
(7#)40,8429,2.249292,8501,2.67087300,8400,8.398189,8400,8.54588363,8452,4.005788,4.04347415
(7#)81/2,8599,2.329117,8609,2.67082200,8505,8.549372,8580,8.63195161,8557,3.959131,4.04091777
(7#)41,8614,2.287560,8713,2.67077400,8610,8.810293,8610,8.76475917,8662,4.000405,4.04736297
(7#)83/2,8777,2.179478,8819,2.67071100,8715,8.501738,8715,8.65094459,8767,4.001009,4.04543175
(7#)42,8839,2.279660,8923,2.67066400,8820,8.721193,8820,8.54530676,8872,4.004901,4.04198508
(7#)85/2,9014,2.281605,9029,2.67063200,8925,9.643464,8925,9.11489376,8977,4.002710,4.04962590
(7#)43,9091,2.412999,9133,2.67058700,9030,8.342063,9030,8.75349434,9082,3.981217,4.04170901
(7#)87/2,9173,2.323530,9239,2.67052700,9135,8.486567,9135,8.86137132,9187,4.001248,4.04216411
(11#)4,9283,2.301998,9343,2.67048300,9240,9.637497,9240,9.49418124,9292,4.012813,4.04757807
(7#)89/2,9349,2.396602,9439,2.67044400,9345,8.480367,9345,8.64288941,9397,4.007555,4.04622212
(7#)45,9511,2.294051,9551,2.67039800,9450,8.618555,9450,8.54454716,9502,3.954109,4.04112167
(7#)91/2,9649,2.163663,9649,2.67037200,9555,9.354148,9555,9.32113413,9607,3.959602,4.04838892
(7#)46,9748,2.284701,9749,2.67033200,9660,8.924952,9660,8.95111839,9712,3.979257,4.04180957
(7#)93/2,9817,2.375649,9859,2.67027500,9765,8.574123,9765,8.83879237,9817,4.001682,4.05095042
(7#)47,9941,2.284239,9973,2.67024400,9870,8.741772,9870,8.73391281,9922,3.985420,4.03652038
(7#)95/2,10078,2.360845,10079,2.67019000,9975,9.248575,9975,9.04646099,10027,3.995647,4.04907482
(7#)48,10174,2.343381,10181,2.67016500,10080,8.329116,10080,8.54376264,10132,3.973715,4.04161749
(7#)97/2,10273,2.292671,10289,2.67012500,10185,8.329507,10185,8.63361722,10237,3.994393,4.04375738
(7#)49,10369,2.243034,10391,2.67007500,10290,8.593845,10290,8.54356903,10342,4.024021,4.04104102
