FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,PreMertensAsymp,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,111546435,0.176776695297,92381,92489,0.131961,145472,266374,0.092065,109981,111119,0.113716,266374,0.070628
4,111546435,0.192776353176,92381,92843,0.146649,131069,201904,0.158435,93809,95516,0.177484,201904,0.125738
4,111546435,0.210224103813,58543,59027,0.084778,118070,201904,0.148279,58543,59027,0.037570,201904,0.113764
4,111546435,0.229251010801,28921,30749,0.112918,106338,108193,0.109940,58543,59027,0.107882,108193,0.083093
4,111546435,0.25,25052,25633,0.059169,95756,108193,0.118388,58543,59027,0.168394,108193,0.088773
4,111546435,0.272626933166,20947,22772,0.074661,86206,201904,0.161273,33349,34396,0.085585,102859,0.126789
4,111546435,0.297301778751,12574,12671,0.169945,77595,79312,0.202401,35792,36436,0.054878,79312,0.150695
4,111546435,0.324209888663,23201,24256,0.168985,69829,82919,0.200254,35792,36436,0.137955,82919,0.154849
4,111546435,0.353553390593,23201,24256,0.231317,62826,64984,0.213057,28772,30014,0.068165,64984,0.169473
4,111546435,0.385552706352,6046,6184,0.129128,56512,79256,0.233419,28772,30014,0.110481,58789,0.185045
4,111546435,0.420448207627,4801,4909,0.154197,50822,65029,0.266569,11272,11351,0.219942,61561,0.228311
4,111546435,0.458502021602,4801,4933,0.219921,45693,53624,0.264122,8777,8881,0.204141,53624,0.219623
4,111546435,0.5,5416,5557,0.306962,41072,71633,0.269257,7219,7246,0.034658,51826,0.227618
4,111546435,0.545253866333,1966,2029,0.027049,36910,51826,0.249996,5416,5557,0.263971,51826,0.205274
4,111546435,0.594603557501,1669,1733,0.083101,33160,51826,0.309681,3799,3964,0.074105,51826,0.263492
4,111546435,0.648419777326,1109,1114,0.393096,29784,30908,0.318380,1402,1567,0.072563,30908,0.281990
4,111546435,0.707106781187,841,859,0.061293,26745,29177,0.317629,1109,1114,0.334123,29177,0.277568
4,111546435,0.771105412704,556,571,0.231394,24008,29177,0.383976,1319,1468,0.218116,29177,0.341932
4,111546435,0.840896415254,556,577,0.378010,21545,29177,0.415774,556,577,0.161320,29177,0.372172
4,111546435,0.917004043205,199,214,0.394117,19330,35059,0.466658,706,733,0.460297,35059,0.424012
4,111546435,1,199,214,0.394117,17571,47638,0.544827,706,724,0.405829,26704,0.499652
