START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(11#)27/2,31294,2.341935,32327,2.228389,4.969840e-02
(11#)14,32972,2.389670,32768,2.230577,6.889484e-02
(11#)29/2,34274,2.354215,34649,2.239888,4.978161e-02
(11#)15,35792,2.297694,35803,2.245210,2.310680e-02
(11#)31/2,36436,2.373766,36947,2.250263,5.343078e-02
(11#)16,37201,2.393769,38113,2.255199,5.963097e-02
(11#)33/2,38188,2.401751,39251,2.259813,6.091581e-02
(11#)17,39992,2.425829,40423,2.264381,6.887198e-02
(11#)35/2,40597,2.307754,41579,2.268711,1.706293e-02
(11#)18,41851,2.392174,42727,2.272850,5.116789e-02
(11#)37/2,43531,2.348344,43889,2.276890,3.090011e-02
(11#)19,44533,2.418503,45013,2.280657,5.868528e-02
(13#)3/2,45259,2.407217,46199,2.284490,5.232834e-02
(11#)20,46369,2.380141,47353,2.288099,3.943857e-02
(11#)41/2,47834,2.378831,48497,2.291555,3.737873e-02
(11#)21,48931,2.430664,49663,2.294962,5.744827e-02
(11#)43/2,50461,2.416903,50789,2.298153,5.038112e-02
(11#)22,51826,2.346624,51973,2.301404,1.945843e-02
(11#)45/2,52876,2.469593,53129,2.304480,6.919850e-02
(11#)23,53624,2.388364,54277,2.307445,3.446766e-02
(11#)47/2,54421,2.447211,55439,2.310358,5.754670e-02
(11#)24,56176,2.444148,56591,2.313164,5.508029e-02
(11#)49/2,57172,2.426083,57737,2.315882,4.648729e-02
(11#)25,58789,2.355012,58901,2.318565,1.559751e-02
(11#)51/2,59074,2.411060,60041,2.321123,3.801555e-02
(13#)2,61058,2.418361,61211,2.323677,3.993912e-02
(11#)53/2,61444,2.421746,62351,2.326104,4.029403e-02
(11#)27,63421,2.436905,63521,2.328534,4.548997e-02
(11#)55/2,64198,2.443219,64679,2.330875,4.707254e-02
(11#)28,65336,2.468498,65536,2.332531,5.665593e-02
(11#)57/2,66602,2.429966,66977,2.335358,3.971186e-02
(11#)29,67904,2.413565,68141,2.337549,3.200204e-02
(11#)59/2,69239,2.447118,69263,2.339610,4.492655e-02
(11#)30,69911,2.449157,70451,2.341744,4.484784e-02
(11#)61/2,70544,2.431070,71597,2.343758,3.657599e-02
(11#)31,71633,2.358847,72763,2.345759,5.563897e-03
(11#)63/2,73016,2.438849,73907,2.347681,3.809835e-02
(11#)32,74716,2.474061,75041,2.349547,5.163832e-02
(13#)5/2,75968,2.467098,76213,2.351434,4.801709e-02
(11#)33,77144,2.383605,77383,2.353277,1.280530e-02
(11#)67/2,78427,2.494035,78539,2.355061,5.733534e-02
(11#)34,79312,2.406904,79693,2.356808,2.103304e-02
(11#)69/2,79784,2.452666,80849,2.358522,3.914030e-02
(11#)35,81749,2.460417,82003,2.360198,4.158515e-02
(11#)71/2,82252,2.460452,83137,2.361817,4.091389e-02
(11#)36,84046,2.459958,84313,2.363462,4.001683e-02
(11#)73/2,84562,2.471941,85469,2.365047,4.420567e-02
(11#)37,86248,2.426071,86599,2.366568,2.483215e-02
(11#)75/2,87316,2.472748,87767,2.368113,4.323646e-02
(11#)38,88498,2.433762,88919,2.369609,2.671328e-02
(11#)77/2,89459,2.383150,90089,2.371103,5.068075e-03
(13#)3,90526,2.492321,91243,2.372547,4.925038e-02
(11#)79/2,92357,2.434532,92399,2.373970,2.519078e-02
(11#)40,92656,2.473194,93553,2.375367,4.035838e-02
(11#)81/2,94228,2.450231,94709,2.376743,3.045140e-02
(11#)41,95467,2.446013,95857,2.378085,2.816377e-02
(11#)83/2,96361,2.470995,97007,2.379407,3.776943e-02
(11#)42,97684,2.508166,98143,2.380693,5.216027e-02
(11#)85/2,98764,2.453349,99317,2.382000,2.951347e-02
(11#)43,99581,2.468655,100483,2.383277,3.519697e-02
(11#)87/2,101467,2.483060,101627,2.384510,4.049785e-02
(11#)44,102352,2.491281,102793,2.385749,4.328398e-02
(11#)89/2,103214,2.468903,103919,2.386924,3.376827e-02
(11#)45,104056,2.467765,105097,2.388137,3.279924e-02
(13#)7/2,105883,2.452749,106243,2.389297,2.621017e-02
(11#)46,106298,2.480088,107377,2.390431,3.682055e-02
(11#)93/2,107684,2.498534,108557,2.391592,4.374492e-02
(11#)47,109717,2.499467,109721,2.392719,4.364711e-02
(11#)95/2,110281,2.415536,110879,2.393825,9.028885e-03
(11#)48,111058,2.464714,112031,2.394908,2.873088e-02
(11#)97/2,112681,2.478536,113189,2.395984,3.387413e-02
(11#)49,113389,2.460935,114343,2.397038,2.630740e-02
(11#)99/2,115426,2.500222,115499,2.398082,4.171036e-02
(11#)50,116371,2.460027,116639,2.399096,2.508025e-02
(11#)101/2,116728,2.402456,117809,2.400123,9.714185e-04
(11#)51,118894,2.444233,118931,2.401094,1.780687e-02
(11#)103/2,119458,2.462122,120103,2.402095,2.468218e-02
(13#)4,121234,2.463828,121271,2.403080,2.496483e-02
