Dec,n_0,C_min,Npred_0,Cpred_min,Lambda_min
8400,8429,2.249292,8501,2.670873,-1.717899e-01
8505,8599,2.329117,8609,2.670822,-1.368971e-01
8610,8614,2.287560,8713,2.670774,-1.548826e-01
8715,8777,2.179478,8819,2.670711,-2.032593e-01
8820,8839,2.279660,8923,2.670664,-1.583008e-01
8925,9014,2.281605,9029,2.670632,-1.574360e-01
9030,9091,2.412999,9133,2.670587,-1.014279e-01
9135,9173,2.323530,9239,2.670527,-1.391883e-01
9240,9283,2.301998,9343,2.670483,-1.484819e-01
9345,9349,2.396602,9439,2.670444,-1.081928e-01
9450,9511,2.294051,9551,2.670398,-1.519083e-01
9555,9649,2.163663,9649,2.670372,-2.104152e-01
9660,9748,2.284701,9749,2.670332,-1.559676e-01
9765,9817,2.375649,9859,2.670275,-1.169108e-01
9870,9941,2.284239,9973,2.670244,-1.561369e-01
9975,10078,2.360845,10079,2.670190,-1.231300e-01
10080,10174,2.343381,10181,2.670165,-1.305455e-01
10185,10273,2.292671,10289,2.670125,-1.524078e-01
10290,10369,2.243034,10391,2.670075,-1.742771e-01
10395,10462,2.194423,10499,2.670035,-1.961724e-01
10500,10501,2.449522,10601,2.670011,-8.618969e-02
10605,10687,2.319381,10709,2.669973,-1.407680e-01
10710,10786,2.430362,10799,2.669930,-9.401204e-02
10815,10883,2.318296,10909,2.669903,-1.412097e-01
10920,11023,2.452351,11003,2.669860,-8.497888e-02
11025,11054,2.258518,11119,2.669821,-1.673026e-01
11130,11197,2.391314,11213,2.669801,-1.101609e-01
11235,11272,2.131467,11329,2.669763,-2.251792e-01
11340,11353,2.334737,11443,2.669714,-1.340721e-01
11445,11461,2.347919,11549,2.669692,-1.284337e-01
11550,11593,2.296655,11633,2.669665,-1.504993e-01
11655,11749,2.392249,11743,2.669620,-1.097022e-01
11760,11839,2.348206,11863,2.669582,-1.282703e-01
11865,11932,2.392674,11969,2.669561,-1.095025e-01
11970,11971,2.386736,12073,2.669529,-1.119753e-01
12075,12101,2.395745,12163,2.669492,-1.081939e-01
12180,12281,2.223656,12281,2.669467,-1.827261e-01
12285,12326,2.217079,12379,2.669428,-1.856737e-01
12390,12422,2.346659,12491,2.669396,-1.288596e-01
12495,12574,2.295932,12589,2.669378,-1.507066e-01
12600,12671,2.225896,12703,2.669335,-1.816698e-01
12705,12757,2.354186,12809,2.669316,-1.256272e-01
12810,12878,2.336543,12911,2.669278,-1.331355e-01
12915,12982,2.377047,13009,2.669260,-1.159423e-01
13020,13049,2.340065,13121,2.669230,-1.316113e-01
13125,13142,2.381559,13229,2.669201,-1.140239e-01
13230,13241,2.313245,13331,2.669164,-1.431140e-01
13335,13339,2.408045,13421,2.669150,-1.029449e-01
13440,13451,2.365320,13537,2.669119,-1.208351e-01
13545,13646,2.418129,13649,2.669090,-9.874349e-02
13650,13729,2.380300,13751,2.669055,-1.144979e-01
13755,13807,2.343338,13859,2.669028,-1.301380e-01
13860,13943,2.508139,13963,2.669002,-6.216358e-02
