START,n_geom,C_avg,Cpred_avg,Lambda_avg
(19#)/2,4975835,4.024412,4.025260,-2.108441e-04
(17#)10,5231170,4.023687,4.025172,-3.689838e-04
(17#)21/2,5486498,4.022964,4.025090,-5.283446e-04
(17#)11,5741819,4.023038,4.025008,-4.895507e-04
(17#)23/2,5997134,4.023694,4.024938,-3.091014e-04
(17#)12,6252445,4.023551,4.024863,-3.261331e-04
(17#)25/2,6507751,4.022335,4.024798,-6.122387e-04
(17#)13,6763053,4.021064,4.024731,-9.115676e-04
(17#)27/2,7018352,4.022450,4.024668,-5.513922e-04
(17#)14,7273647,4.023505,4.024608,-2.740538e-04
(17#)29/2,7528940,4.022993,4.024553,-3.878489e-04
(17#)15,7784231,4.023149,4.024496,-3.345317e-04
(17#)31/2,8039519,4.023468,4.024446,-2.431209e-04
(17#)16,8294805,4.023740,4.024391,-1.619452e-04
(17#)33/2,8550090,4.024240,4.024343,-2.567906e-05
(17#)17,8805372,4.023323,4.024295,-2.415975e-04
(17#)35/2,9060653,4.022226,4.024248,-5.025808e-04
(17#)18,9315933,4.022797,4.024203,-3.494022e-04
(17#)37/2,9571211,4.022829,4.024159,-3.306221e-04
