alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.00390625,215355,-0.8934372,219450,-0.658787
0.00390625,213465,-0.8908252,207900,-0.6106184
0.00390625,199920,-0.8985285,192045,-0.5631316
0.00390625,174450,-0.8770044,179445,-0.6432838
0.00390625,166065,-0.8725504,170415,-0.6961502
0.00390625,153795,-0.8935499,149310,-0.6082151
0.00390625,134589,-0.9436349,136860,-0.6197024
0.00390625,126135,-0.8888742,124950,-0.6434372
0.00390625,110040,-0.9308238,109200,-0.6410358
0.00390625,97140,-0.9467647,101745,-0.6218256
0.00390625,76755,-1.02671,80850,-0.7664659
0.00390625,68625,-1.000334,71940,-0.6590185
0.00390625,53235,-0.864804,56595,-0.6439671
0.00390625,34716,-0.9586987,42315,-0.431001
0.00390625,26796,-0.9955786,33495,-0.72882
0.00390625,14355,-1.31815,19425,-0.736774
0.00390625,14130,-1.591738,13881,-1.080126
0.00390625,12786,-1.559874,12540,-1.036198
0.00390625,11637,-1.535054,10698,-1.205529
0.00390625,10065,-1.505708,9450,-1.171809
0.00390625,8370,-1.836368,8835,-1.15767
0.00390625,7860,-1.548768,7575,-0.829235
0.00390625,6594,-1.426643,5859,-0.6644023
0.00390625,5232,-1.28258,4257,-0.8060941
0.00390625,3837,-1.863358,4143,-0.8057068
0.00390625,2512,-1.766003,1875,-0.873553
0.00390625,1668,-1.409483,1488,-0.6606914
0.00390625,1036,-1.279335,974,-1.190024
0.00390625,771,-1.506219,759,-1.096284
0.00390625,522,-1.208607,432,-0.5256536
0.0078125,8423415,-0.1974165,9189180,-0.1521132
0.0078125,4781700,-0.2397808,5870865,-0.1701516
0.0078125,4714710,-0.2211548,4699695,-0.1885949
0.0078125,4519515,-0.2270405,4444440,-0.1562742
0.0078125,4339335,-0.2444586,4408950,-0.1860568
0.0078125,4144140,-0.2611376,4189185,-0.1772892
0.0078125,3985905,-0.2607689,4037880,-0.1526601
0.0078125,3741045,-0.2378445,3708705,-0.1370907
0.0078125,3571785,-0.2529883,3612840,-0.1677947
0.0078125,3489255,-0.2975328,3401475,-0.1829449
0.0078125,3294060,-0.2501276,3273270,-0.158367
0.0078125,3060330,-0.2676175,3108105,-0.1919664
0.0078125,2942940,-0.255996,2792790,-0.1652563
0.0078125,2746590,-0.2650355,2747745,-0.178833
0.0078125,2552550,-0.286813,2582580,-0.1889568
0.0078125,2370060,-0.276258,2258025,-0.1955419
0.0078125,2177175,-0.2781247,2087085,-0.2205947
0.0078125,2070705,-0.2749753,1996995,-0.1849755
0.0078125,1756755,-0.3107091,1816815,-0.1927131
0.0078125,1540770,-0.3278486,1681680,-0.2490031
0.0078125,1381380,-0.3208969,1461075,-0.2381028
0.0078125,1210440,-0.3697284,1171170,-0.2448349
0.0078125,1155000,-0.408201,1111110,-0.254497
0.0078125,843150,-0.3993658,960960,-0.2811978
0.0078125,630630,-0.4422938,705705,-0.2623424
0.0078125,460530,-0.5589885,600600,-0.3858995
0.0078125,270270,-0.661545,431970,-0.385353
0.0078125,244530,-0.6945713,252525,-0.5620559
0.0078125,232155,-0.830237,228690,-0.6120521
0.0078125,215985,-0.819377,219765,-0.5750898
0.0078125,212835,-0.8429843,207900,-0.6031225
0.0078125,195510,-0.8229636,192045,-0.6028577
0.0078125,180810,-0.8916132,185955,-0.6703909
0.0078125,160860,-0.9472015,173145,-0.71704
0.0078125,154245,-0.926781,150150,-0.6143195
0.0078125,143220,-0.9225598,137445,-0.6270229
0.0078125,118230,-0.8316334,128100,-0.6291769
0.0078125,115395,-0.8142365,109200,-0.6340084
0.0078125,102795,-0.8712579,90090,-0.5656253
0.0078125,86625,-0.8341259,89250,-0.6426973
0.0078125,68985,-0.8492125,71400,-0.5172522
0.0078125,49665,-0.7466065,59340,-0.5897094
0.0078125,38445,-0.9075094,42735,-0.6417954
0.0078125,25725,-0.8861634,23925,-0.5504927
0.0078125,14325,-1.369267,14805,-0.785528
0.0078125,13920,-1.186595,13545,-0.8654332
0.0078125,12351,-1.138024,13008,-0.736319
0.0078125,11634,-1.516204,10920,-0.7973223
0.0078125,10074,-1.455999,9405,-0.8548021
0.0078125,9100,-1.415905,8694,-0.9809842
0.0078125,7350,-1.616956,6870,-0.916967
0.0078125,6501,-1.576265,6348,-0.8753278
0.0078125,4350,-1.868166,4251,-0.9704518
0.0078125,4143,-1.44169,3345,-0.7987726
0.0078125,2550,-1.281087,1875,-0.809555
0.0078125,1152,-1.865142,1056,-1.055593
0.0078125,1045,-1.755795,882,-0.7274547
0.0078125,792,-1.429995,858,-0.7334798
0.0078125,644,-1.523552,489,-1.204192
0.0078125,432,-1.221634,240,-0.54682
