START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(7#)63,13241,2.313245,13331,1.287487,5.859590e-01,0.677136,1.514848e+00,EXPECTED
(7#)127/2,13339,2.408045,13421,1.291589,6.229420e-01,0.674520,1.655186e+00,EXPECTED
(7#)64,13451,2.365320,13537,1.295972,6.016523e-01,0.671722,1.591950e+00,EXPECTED
(7#)129/2,13646,2.418129,13649,1.300624,6.201500e-01,0.668750,1.671036e+00,EXPECTED
(7#)65,13729,2.380300,13751,1.305017,6.010105e-01,0.666071,1.614367e+00,EXPECTED
(7#)131/2,13807,2.343338,13859,1.308919,5.823748e-01,0.663446,1.559161e+00,EXPECTED
(11#)6,13943,2.508139,13963,1.313537,6.468175e-01,0.660490,1.808660e+00,EXPECTED
(7#)133/2,14051,2.389016,14057,1.317218,5.953596e-01,0.658126,1.628560e+00,EXPECTED
(7#)67,14096,2.408715,14173,1.321249,6.005159e-01,0.655542,1.658881e+00,EXPECTED
(7#)135/2,14243,2.286441,14251,1.325310,5.453501e-01,0.652943,1.471998e+00,EXPECTED
(7#)68,14332,2.428418,14369,1.329232,6.026387e-01,0.650425,1.689950e+00,EXPECTED
(7#)137/2,14411,2.316236,14489,1.333167,5.523861e-01,0.647891,1.517337e+00,EXPECTED
(7#)69,14528,2.225437,14593,1.337344,5.092677e-01,0.645333,1.376178e+00,EXPECTED
(7#)139/2,14699,2.430591,14699,1.341683,5.942096e-01,0.642540,1.694693e+00,EXPECTED
(7#)70,14779,2.470069,14797,1.344823,6.079837e-01,0.640517,1.756778e+00,EXPECTED
(7#)141/2,14831,2.313924,14897,1.348501,5.399512e-01,0.638027,1.513138e+00,EXPECTED
(7#)71,14951,2.398094,15013,1.352249,5.729051e-01,0.635729,1.645111e+00,EXPECTED
(13#)/2,15784,2.297078,16141,1.355556,5.274262e-01,0.633476,1.486279e+00,EXPECTED
(11#)7,17218,2.342733,16384,1.392644,5.201141e-01,0.609540,1.558698e+00,EXPECTED
(11#)15/2,18322,2.313856,18461,1.424565,4.850489e-01,0.588536,1.511022e+00,EXPECTED
(11#)8,18637,2.262025,19609,1.452917,4.426872e-01,0.569806,1.419971e+00,EXPECTED
(11#)17/2,20509,2.288028,20789,1.478502,4.366609e-01,0.552990,1.463907e+00,EXPECTED
(11#)9,20816,2.279925,21943,1.500770,4.181642e-01,0.537763,1.448882e+00,EXPECTED
(11#)19/2,22354,2.333078,23099,1.520704,4.280150e-01,0.524130,1.549948e+00,EXPECTED
(11#)10,23201,2.282149,24251,1.538755,3.941439e-01,0.511623,1.453011e+00,EXPECTED
(11#)21/2,24256,2.336632,25409,1.555215,4.070968e-01,0.499981,1.562893e+00,EXPECTED
(11#)11,25496,2.309603,26561,1.569609,3.862491e-01,0.489721,1.511052e+00,EXPECTED
(11#)23/2,27182,2.331847,27701,1.583059,3.873016e-01,0.479992,1.560001e+00,EXPECTED
(11#)12,27904,2.328254,28871,1.595259,3.780825e-01,0.471016,1.556200e+00,EXPECTED
(11#)25/2,29738,2.340355,30029,1.606239,3.764072e-01,0.462793,1.586273e+00,EXPECTED
(13#),30332,2.331433,31183,1.616453,3.662489e-01,0.455075,1.571126e+00,EXPECTED
(11#)27/2,31294,2.341935,32327,1.625583,3.651110e-01,0.447901,1.599353e+00,EXPECTED
(11#)14,32972,2.389670,32768,1.634009,3.801188e-01,0.441206,1.712717e+00,EXPECTED
(11#)29/2,34274,2.354215,34649,1.641786,3.604227e-01,0.434886,1.638197e+00,EXPECTED
(11#)15,35792,2.297694,35803,1.648825,3.318431e-01,0.429029,1.512413e+00,EXPECTED
(11#)31/2,36436,2.373766,36947,1.655335,3.604743e-01,0.423476,1.696509e+00,EXPECTED
(11#)16,37201,2.393769,38113,1.661324,3.652542e-01,0.418225,1.751318e+00,EXPECTED
(11#)33/2,38188,2.401751,39251,1.666722,3.653392e-01,0.413350,1.778224e+00,EXPECTED
(11#)17,39992,2.425829,40423,1.671787,3.722802e-01,0.408637,1.845261e+00,EXPECTED
(11#)35/2,40597,2.307754,41579,1.676257,3.197114e-01,0.404332,1.561828e+00,EXPECTED
(11#)18,41851,2.392174,42727,1.680463,3.531332e-01,0.400142,1.778646e+00,EXPECTED
(11#)37/2,43531,2.348344,43889,1.684224,3.324055e-01,0.396245,1.676034e+00,EXPECTED
(11#)19,44533,2.418503,45013,1.687678,3.597951e-01,0.392514,1.861908e+00,EXPECTED
(13#)3/2,45259,2.407217,46199,1.690840,3.532459e-01,0.388947,1.841837e+00,EXPECTED
(11#)20,46369,2.380141,47353,1.693708,3.402395e-01,0.385545,1.780423e+00,EXPECTED
(11#)41/2,47834,2.378831,48497,1.696249,3.381898e-01,0.382368,1.785144e+00,EXPECTED
(11#)21,48931,2.430664,49663,1.698565,3.583807e-01,0.379300,1.930132e+00,EXPECTED
(11#)43/2,50461,2.416903,50789,1.700609,3.515005e-01,0.376415,1.902937e+00,EXPECTED
(11#)22,51826,2.346624,51973,1.702444,3.209128e-01,0.373639,1.724071e+00,EXPECTED
(11#)45/2,52876,2.469593,53129,1.704064,3.710374e-01,0.370983,2.063515e+00,EXPECTED
(11#)23,53624,2.388364,54277,1.705493,3.367544e-01,0.368417,1.853527e+00,EXPECTED
(11#)47/2,54421,2.447211,55439,1.706698,3.603885e-01,0.366026,2.023116e+00,EXPECTED
(11#)24,56176,2.444148,56591,1.707738,3.585269e-01,0.363711,2.024712e+00,EXPECTED
(11#)49/2,57172,2.426083,57737,1.708604,3.506014e-01,0.361492,1.984771e+00,EXPECTED
(11#)25,58789,2.355012,58901,1.709304,3.204596e-01,0.359370,1.796778e+00,EXPECTED
(11#)51/2,59074,2.411060,60041,1.709850,3.436608e-01,0.357334,1.962338e+00,EXPECTED
(13#)2,61058,2.418361,61211,1.710253,3.464487e-01,0.355359,1.992655e+00,EXPECTED
(11#)53/2,61444,2.421746,62351,1.710505,3.477001e-01,0.353505,2.011969e+00,EXPECTED
(11#)27,63421,2.436905,63521,1.710626,3.538694e-01,0.351705,2.065023e+00,EXPECTED
(11#)55/2,64198,2.443219,64679,1.710489,3.565371e-01,0.348353,2.103412e+00,EXPECTED
(11#)28,65336,2.468498,65536,1.710243,3.669744e-01,0.346771,2.186616e+00,EXPECTED
(11#)57/2,66602,2.429966,66977,1.709888,3.514494e-01,0.345259,2.085617e+00,EXPECTED
(11#)29,67904,2.413565,68141,1.709418,3.449519e-01,0.343783,2.048231e+00,EXPECTED
(11#)59/2,69239,2.447118,69263,1.708864,3.590822e-01,0.342416,2.156015e+00,EXPECTED
(11#)30,69911,2.449157,70451,1.708176,3.603177e-01,0.341024,2.172812e+00,EXPECTED
(11#)61/2,70544,2.431070,71597,1.707418,3.533492e-01,0.339734,2.130055e+00,EXPECTED
(11#)31,71633,2.358847,72763,1.706552,3.236980e-01,0.338471,1.927181e+00,EXPECTED
(11#)63/2,73016,2.438849,73907,1.705615,3.576005e-01,0.337280,2.173962e+00,EXPECTED
(11#)32,74716,2.474061,75041,1.704605,3.725275e-01,0.336144,2.289067e+00,EXPECTED
(13#)5/2,75968,2.467098,76213,1.703477,3.703711e-01,0.335014,2.279370e+00,EXPECTED
(11#)33,77144,2.383605,77383,1.702268,3.366526e-01,0.333930,2.040359e+00,EXPECTED
(11#)67/2,78427,2.494035,78539,1.700997,3.826873e-01,0.332899,2.382218e+00,EXPECTED
(11#)34,79312,2.406904,79693,1.699656,3.479154e-01,0.331909,2.130849e+00,EXPECTED
(11#)69/2,79784,2.452666,80849,1.698239,3.675838e-01,0.330955,2.279546e+00,EXPECTED
(11#)35,81749,2.460417,82003,1.696755,3.716132e-01,0.330039,2.313854e+00,EXPECTED
(11#)71/2,82252,2.460452,83137,1.695233,3.725249e-01,0.329172,2.324678e+00,EXPECTED
(11#)36,84046,2.459958,84313,1.693587,3.732955e-01,0.328307,2.334312e+00,EXPECTED
(11#)73/2,84562,2.471941,85469,1.691905,3.791486e-01,0.327490,2.381862e+00,EXPECTED
(11#)37,86248,2.426071,86599,1.690200,3.614262e-01,0.326721,2.252292e+00,EXPECTED
(11#)75/2,87316,2.472748,87767,1.688379,3.815612e-01,0.325956,2.406365e+00,EXPECTED
(11#)38,88498,2.433762,88919,1.686524,3.667686e-01,0.325231,2.297561e+00,EXPECTED
(11#)77/2,89459,2.383150,90089,1.684585,3.469039e-01,0.324523,2.152590e+00,EXPECTED
(13#)3,90526,2.492321,91243,1.682614,3.928659e-01,0.323852,2.500238e+00,EXPECTED
(11#)79/2,92357,2.434532,92399,1.680588,3.706108e-01,0.323206,2.332704e+00,EXPECTED
(11#)40,92656,2.473194,93553,1.678514,3.876016e-01,0.322586,2.463467e+00,EXPECTED
(11#)81/2,94228,2.450231,94709,1.676385,3.795426e-01,0.321990,2.403323e+00,EXPECTED
(11#)41,95467,2.446013,95857,1.674221,3.791114e-01,0.321421,2.401187e+00,EXPECTED
(11#)83/2,96361,2.470995,97007,1.672005,3.905974e-01,0.320874,2.490043e+00,EXPECTED
(11#)42,97684,2.508166,98143,1.669760,4.068719e-01,0.320345,2.617197e+00,EXPECTED
(11#)85/2,98764,2.453349,99317,1.667415,3.861795e-01,0.319840,2.457272e+00,EXPECTED
(11#)43,99581,2.468655,100483,1.665027,3.938321e-01,0.319351,2.516441e+00,EXPECTED
(11#)87/2,101467,2.483060,101627,1.662642,4.010838e-01,0.318891,2.572722e+00,EXPECTED
(11#)44,102352,2.491281,102793,1.660168,4.058782e-01,0.318441,2.609943e+00,EXPECTED
(11#)89/2,103214,2.468903,103919,1.657704,3.983404e-01,0.318015,2.550820e+00,EXPECTED
(11#)45,104056,2.467765,105097,1.655152,3.994200e-01,0.317610,2.558525e+00,EXPECTED
(13#)7/2,105883,2.452749,106243,1.652587,3.948675e-01,0.317218,2.522436e+00,EXPECTED
(11#)46,106298,2.480088,107377,1.650005,4.075157e-01,0.316851,2.619790e+00,EXPECTED
(11#)93/2,107684,2.498534,108557,1.647317,4.165563e-01,0.316495,2.689512e+00,EXPECTED
(11#)47,109717,2.499467,109721,1.644603,4.185785e-01,0.316154,2.703948e+00,EXPECTED
(11#)95/2,110281,2.415536,110879,1.641864,3.860890e-01,0.315831,2.449639e+00,EXPECTED
(11#)48,111058,2.464714,112031,1.639103,4.079266e-01,0.315525,2.616626e+00,EXPECTED
(11#)97/2,112681,2.478536,113189,1.636292,4.152354e-01,0.315233,2.671814e+00,EXPECTED
(11#)49,113389,2.460935,114343,1.633453,4.098452e-01,0.314956,2.627294e+00,EXPECTED
(11#)99/2,115426,2.500222,115499,1.630575,4.274468e-01,0.314694,2.763469e+00,EXPECTED
(11#)50,116371,2.460027,116639,1.627703,4.130025e-01,0.314449,2.646928e+00,EXPECTED
(11#)101/2,116728,2.402456,117809,1.624721,3.911554e-01,0.314211,2.475200e+00,EXPECTED
(11#)51,118894,2.444233,118931,1.621809,4.101892e-01,0.313989,2.619276e+00,EXPECTED
(11#)103/2,119458,2.462122,120103,1.618773,4.193551e-01,0.313784,2.687674e+00,EXPECTED
