START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
(11#)89/2,103214,2.468903,103919,2.091571,1.658585e-01,0.037494,1.006380e+01
(11#)45,104056,2.467765,105097,2.090312,1.659995e-01,0.039101,9.653283e+00
(13#)7/2,105883,2.452749,106243,2.089650,1.602128e-01,0.038903,9.333445e+00
(11#)46,106298,2.480088,107377,2.088308,1.719399e-01,0.038508,1.017399e+01
(11#)93/2,107684,2.498534,108557,2.086919,1.800153e-01,0.038123,1.079703e+01
(11#)47,109717,2.499467,109721,2.085502,1.810679e-01,0.037742,1.096828e+01
(11#)95/2,110281,2.415536,110879,2.084794,1.472512e-01,0.037553,8.807339e+00
(11#)48,111058,2.464714,112031,2.083373,1.680876e-01,0.037178,1.025717e+01
(11#)97/2,112681,2.478536,113189,2.081796,1.744371e-01,0.036817,1.077600e+01
(11#)49,113389,2.460935,114343,2.080292,1.680331e-01,0.036454,1.044173e+01
(11#)99/2,115426,2.500222,115499,2.079526,1.842395e-01,0.036276,1.159709e+01
(11#)50,116371,2.460027,116639,2.077894,1.688174e-01,0.035925,1.063697e+01
(11#)101/2,116728,2.402456,117809,2.076248,1.459291e-01,0.035579,9.168554e+00
(11#)51,118894,2.444233,118931,2.075404,1.635755e-01,0.035408,1.041654e+01
(11#)103/2,119458,2.462122,120103,2.073713,1.716829e-01,0.035070,1.107525e+01
(13#)4,121234,2.463828,121271,2.072035,1.731850e-01,0.034733,1.128014e+01
(11#)105/2,121612,2.502568,122401,2.071114,1.892308e-01,0.034572,1.247987e+01
(11#)53,123059,2.504951,123583,2.069309,1.910544e-01,0.034246,1.272096e+01
(11#)107/2,124447,2.517146,124739,2.067563,1.967551e-01,0.033925,1.325226e+01
(11#)54,125479,2.491172,125887,2.066598,1.868495e-01,0.033766,1.257401e+01
(11#)109/2,126397,2.546025,127037,2.064705,2.095460e-01,0.033452,1.438838e+01
(11#)55,127189,2.428594,128203,2.062822,1.632375e-01,0.033141,1.103684e+01
(11#)111/2,129263,2.490514,129347,2.061905,1.888588e-01,0.032988,1.299288e+01
(11#)56,130307,2.503745,130513,2.059922,1.951195e-01,0.034437,1.288797e+01
(11#)113/2,131641,2.512217,131072,2.058924,1.989821e-01,0.034279,1.322364e+01
(11#)57,131888,2.478781,132817,2.056865,1.865839e-01,0.033969,1.242062e+01
(11#)115/2,133174,2.475614,133979,2.054830,1.862953e-01,0.033660,1.250101e+01
(11#)58,134087,2.503206,135131,2.053803,1.978791e-01,0.033508,1.341181e+01
