START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(13#)71/2,1066065,10.42796200,1066065,10.78965101,-3.409658e-02,0.141887,-2.549134,EXPECTED
(13#)36,1081080,10.32313799,1081080,10.63721709,-2.997112e-02,0.140566,-2.234389,EXPECTED
(13#)73/2,1096095,10.42288365,1096095,10.77962643,-3.365417e-02,0.139280,-2.561335,EXPECTED
(13#)37,1111110,10.63423235,1119195,10.95739536,-2.993634e-02,0.138023,-2.341371,EXPECTED
(13#)75/2,1138830,10.46679745,1138830,10.72824385,-2.467178e-02,0.136795,-1.911228,EXPECTED
(13#)38,1141140,10.95938321,1141140,11.25336787,-2.647145e-02,0.135598,-2.168060,EXPECTED
(13#)77/2,1156155,10.32016056,1156155,10.62353366,-2.897238e-02,0.134432,-2.256703,EXPECTED
(13#)39,1171170,10.34206115,1171170,10.62098460,-2.661254e-02,0.133288,-2.092637,EXPECTED
(13#)79/2,1186185,10.44087078,1186185,10.75244569,-2.940525e-02,0.132171,-2.357362,EXPECTED
(13#)40,1201200,10.33738857,1201200,10.61605623,-2.660031e-02,0.131082,-2.125903,EXPECTED
(13#)81/2,1217370,10.37118202,1217370,10.69266464,-3.052696e-02,0.130013,-2.472696,EXPECTED
(13#)41,1231230,10.50932061,1231230,10.87580784,-3.427832e-02,0.128972,-2.841603,EXPECTED
(13#)83/2,1246245,10.42975286,1246245,10.73639581,-2.897687e-02,0.127951,-2.396565,EXPECTED
(13#)42,1272810,10.41230196,1272810,10.62415373,-2.014207e-02,0.126952,-1.668755,EXPECTED
(17#)5/2,1276275,11.04350724,1276275,11.33507004,-2.605879e-02,0.125974,-2.314468,EXPECTED
(13#)43,1291290,10.50208155,1291290,10.85405958,-3.296568e-02,0.125015,-2.815486,EXPECTED
(13#)87/2,1306305,10.62738580,1306305,10.98213886,-3.283598e-02,0.124078,-2.859113,EXPECTED
(13#)44,1322685,10.47831076,1322685,10.71045753,-2.191312e-02,0.123160,-1.884920,EXPECTED
(13#)89/2,1336335,10.39234997,1336335,10.71488405,-3.056385e-02,0.122260,-2.638100,EXPECTED
(13#)45,1354815,10.54130969,1354815,10.78716963,-2.305564e-02,0.121376,-2.025606,EXPECTED
(13#)91/2,1366365,10.37596210,1366365,10.59242696,-2.064751e-02,0.120513,-1.796195,EXPECTED
(13#)46,1381380,10.83011417,1381380,11.06149328,-2.113940e-02,0.119665,-1.933557,EXPECTED
(13#)93/2,1396395,10.61880174,1396395,10.94428355,-3.019109e-02,0.118833,-2.738985,EXPECTED
(13#)47,1411410,10.60638584,1411410,10.81602809,-1.957286e-02,0.118018,-1.776358,EXPECTED
(13#)95/2,1426425,10.88040167,1426425,11.20493732,-2.939135e-02,0.117218,-2.768650,EXPECTED
(13#)48,1452990,10.41000615,1452990,10.60874174,-1.891088e-02,0.116432,-1.706881,EXPECTED
(13#)97/2,1456455,10.42302775,1456455,10.69012439,-2.530280e-02,0.115660,-2.309326,EXPECTED
(13#)49,1471470,10.29100886,1471470,10.57986902,-2.768246e-02,0.114905,-2.513904,EXPECTED
(13#)99/2,1492260,10.66009978,1492260,10.90944807,-2.312143e-02,0.114162,-2.184162,EXPECTED
(13#)50,1514205,10.44481923,1514205,10.68536648,-2.276910e-02,0.113433,-2.120611,EXPECTED
(13#)101/2,1516515,10.39160965,1516515,10.67913510,-2.729313e-02,0.112716,-2.550884,EXPECTED
(17#)3,1531530,10.91105796,1531530,11.29416949,-3.450985e-02,0.112012,-3.420272,EXPECTED
(13#)103/2,1546545,10.44066288,1546545,10.67394258,-2.209742e-02,0.111322,-2.095540,EXPECTED
(13#)52,1561560,10.29958853,1561560,10.57031000,-2.594518e-02,0.110641,-2.446846,EXPECTED
