START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
(11#)17,39992,2.425829,40423,2.079479,1.540559e-01,0.071277,4.859211e+00
(11#)35/2,40597,2.307754,41579,2.082566,1.026740e-01,0.124344,1.811008e+00
(11#)18,41851,2.392174,42727,2.085503,1.371925e-01,0.068782,4.458594e+00
(11#)37/2,43531,2.348344,43889,2.088158,1.174281e-01,0.119299,2.180957e+00
(11#)19,44533,2.418503,45013,2.090626,1.456852e-01,0.115592,2.836503e+00
(13#)3/2,45259,2.407217,46199,2.092918,1.399120e-01,0.134585,2.335320e+00
(11#)20,46369,2.380141,47353,2.095029,1.275923e-01,0.132023,2.159563e+00
(11#)41/2,47834,2.378831,48497,2.096933,1.261334e-01,0.128773,2.189108e+00
(11#)21,48931,2.430664,49663,2.098704,1.468445e-01,0.126451,2.625207e+00
(11#)43/2,50461,2.416903,50789,2.100303,1.404053e-01,0.124227,2.548560e+00
(11#)22,51826,2.346624,51973,2.101778,1.101940e-01,0.122086,2.005521e+00
(11#)45/2,52876,2.469593,53129,2.103121,1.606309e-01,0.120033,3.053094e+00
(11#)23,53624,2.388364,54277,2.104350,1.266020e-01,0.118053,2.405818e+00
(11#)47/2,54421,2.447211,55439,2.105433,1.504279e-01,0.058287,5.863709e+00
(11#)24,56176,2.444148,56591,2.106421,1.487063e-01,0.057536,5.869838e+00
(11#)49/2,57172,2.426083,57737,2.107303,1.408691e-01,0.056809,5.611435e+00
(11#)25,58789,2.355012,58901,2.108081,1.107678e-01,0.056107,4.401073e+00
(11#)51/2,59074,2.411060,60041,2.108768,1.339626e-01,0.055427,5.453876e+00
(13#)2,61058,2.418361,61211,2.109372,1.366998e-01,0.054762,5.642398e+00
(11#)53/2,61444,2.421746,62351,2.109875,1.378601e-01,0.054131,5.761412e+00
(11#)27,63421,2.436905,63521,2.110304,1.438968e-01,0.053511,6.103437e+00
(11#)55/2,64198,2.443219,64679,2.110650,1.463205e-01,0.052341,6.353891e+00
(11#)28,65336,2.468498,65536,2.110929,1.564817e-01,0.051779,6.905676e+00
(11#)57/2,66602,2.429966,66977,2.111131,1.406534e-01,0.051237,6.222749e+00
(11#)29,67904,2.413565,68141,2.111266,1.338171e-01,0.050701,5.962387e+00
(11#)59/2,69239,2.447118,69263,2.111335,1.475906e-01,0.050199,6.689038e+00
(11#)30,69911,2.449157,70451,2.111292,1.484438e-01,0.049682,6.800552e+00
(11#)61/2,70544,2.431070,71597,2.111185,1.410821e-01,0.049197,6.502124e+00
(11#)31,71633,2.358847,72763,2.111018,1.110026e-01,0.048717,5.087115e+00
(11#)63/2,73016,2.438849,73907,2.110803,1.444578e-01,0.048258,6.797754e+00
(11#)32,74716,2.474061,75041,2.110541,1.589166e-01,0.047802,7.604703e+00
(13#)5/2,75968,2.467098,76213,2.110220,1.562504e-01,0.047368,7.534158e+00
(11#)33,77144,2.383605,77383,2.109848,1.219981e-01,0.046934,5.832808e+00
(11#)67/2,78427,2.494035,78539,2.109437,1.674808e-01,0.046515,8.268258e+00
(11#)34,79312,2.406904,79693,2.108983,1.321354e-01,0.046107,6.461513e+00
(11#)69/2,79784,2.452666,80849,2.108484,1.512064e-01,0.045708,7.530017e+00
(11#)35,81749,2.460417,82003,2.107944,1.546178e-01,0.045319,7.777599e+00
(11#)71/2,82252,2.460452,83137,2.107377,1.549010e-01,0.044939,7.856761e+00
(11#)36,84046,2.459958,84313,2.106748,1.549988e-01,0.044568,7.925193e+00
(11#)73/2,84562,2.471941,85469,2.106092,1.601696e-01,0.044205,8.276190e+00
(11#)37,86248,2.426071,86599,2.105414,1.417610e-01,0.043858,7.311255e+00
(11#)75/2,87316,2.472748,87767,2.104680,1.611666e-01,0.043503,8.460750e+00
(11#)38,88498,2.433762,88919,2.103921,1.456355e-01,0.043168,7.640868e+00
(11#)77/2,89459,2.383150,90089,2.103118,1.250021e-01,0.042831,6.538068e+00
(13#)3,90526,2.492321,91243,2.102291,1.701867e-01,0.042506,9.175881e+00
(11#)79/2,92357,2.434532,92399,2.101432,1.471355e-01,0.042187,7.895797e+00
(11#)40,92656,2.473194,93553,2.100546,1.633131e-01,0.041876,8.898844e+00
(11#)81/2,94228,2.450231,94709,2.099627,1.544226e-01,0.041570,8.434063e+00
(11#)41,95467,2.446013,95857,2.098686,1.531479e-01,0.041272,8.415560e+00
(11#)83/2,96361,2.470995,97007,2.097715,1.637722e-01,0.040980,9.108834e+00
(11#)42,97684,2.508166,98143,2.096729,1.791733e-01,0.040692,1.011100e+01
(11#)85/2,98764,2.453349,99317,2.095685,1.575736e-01,0.040408,8.851317e+00
(11#)43,99581,2.468655,100483,2.094618,1.643023e-01,0.040131,9.320401e+00
(11#)87/2,101467,2.483060,101627,2.093548,1.706314e-01,0.039862,9.771512e+00
(11#)44,102352,2.491281,102793,2.092433,1.744695e-01,0.039593,1.007370e+01
(11#)89/2,103214,2.468903,103919,2.091331,1.659732e-01,0.039332,9.599614e+00
(11#)45,104056,2.467765,105097,2.090155,1.660747e-01,0.039077,9.663229e+00
(13#)7/2,105883,2.452749,106243,2.088987,1.605302e-01,0.038823,9.369755e+00
(11#)46,106298,2.480088,107377,2.087810,1.721784e-01,0.038579,1.016817e+01
(11#)93/2,107684,2.498534,108557,2.086562,1.801864e-01,0.038335,1.074663e+01
(11#)47,109717,2.499467,109721,2.085308,1.811609e-01,0.038095,1.087174e+01
(11#)95/2,110281,2.415536,110879,2.084039,1.476134e-01,0.037860,8.755864e+00
(11#)48,111058,2.464714,112031,2.082755,1.683842e-01,0.037630,1.015039e+01
(11#)97/2,112681,2.478536,113189,2.081446,1.746052e-01,0.037402,1.061681e+01
(11#)49,113389,2.460935,114343,2.080119,1.681163e-01,0.037180,1.024250e+01
(11#)99/2,115426,2.500222,115499,2.078771,1.846027e-01,0.036960,1.140290e+01
(11#)50,116371,2.460027,116639,2.077422,1.690446e-01,0.036748,1.041159e+01
(11#)101/2,116728,2.402456,117809,2.076019,1.460394e-01,0.036533,8.935401e+00
(11#)51,118894,2.444233,118931,2.074654,1.639370e-01,0.036324,1.017451e+01
(11#)103/2,119458,2.462122,120103,2.073211,1.719250e-01,0.036120,1.076719e+01
