START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(7#)137/2,14411,2.316236,14489,2.119695,8.867124e-02
(7#)69,14528,2.225437,14593,2.122378,4.741614e-02
(7#)139/2,14699,2.430591,14699,2.125077,1.343264e-01
(7#)70,14779,2.470069,14797,2.127122,1.494762e-01
(7#)141/2,14831,2.313924,14897,2.129378,8.311487e-02
(7#)71,14951,2.398094,15013,2.131792,1.177113e-01
(13#)/2,15784,2.297078,16141,2.133843,7.371330e-02
(11#)7,17218,2.342733,16384,2.157476,8.237918e-02
(11#)15/2,18322,2.313856,18461,2.177966,6.052398e-02
(11#)8,18637,2.262025,19609,2.196394,2.944351e-02
(11#)17/2,20509,2.288028,20789,2.213273,3.321790e-02
(11#)9,20816,2.279925,21943,2.228057,2.301264e-02
(11#)19/2,22354,2.333078,23099,2.241560,4.001637e-02
(11#)10,23201,2.282149,24251,2.253928,1.244307e-02
(11#)21/2,24256,2.336632,25409,2.265351,3.098086e-02
(11#)11,25496,2.309603,26561,2.275540,1.485826e-02
(11#)23/2,27182,2.331847,27701,2.285230,2.019398e-02
(11#)12,27904,2.328254,28871,2.294188,1.473966e-02
(11#)25/2,29738,2.340355,30029,2.302411,1.634579e-02
(13#),30332,2.331433,31183,2.310227,9.137312e-03
(11#)27/2,31294,2.341935,32327,2.317373,1.054329e-02
(11#)14,32972,2.389670,32768,2.324126,2.781123e-02
(11#)29/2,34274,2.354215,34649,2.330519,1.011635e-02
(11#)15,35792,2.297694,35803,2.336466,-1.673352e-02
(11#)31/2,36436,2.373766,36947,2.342124,1.341951e-02
(11#)16,37201,2.393769,38113,2.347492,1.952159e-02
(11#)33/2,38188,2.401751,39251,2.352490,2.072371e-02
(11#)17,39992,2.425829,40423,2.357346,2.863691e-02
(11#)35/2,40597,2.307754,41579,2.361794,-2.314674e-02
(11#)18,41851,2.392174,42727,2.366146,1.094010e-02
(11#)37/2,43531,2.348344,43889,2.370208,-9.267316e-03
(11#)19,44533,2.418503,45013,2.374112,1.852528e-02
(13#)3/2,45259,2.407217,46199,2.377866,1.226786e-02
(11#)20,46369,2.380141,47353,2.381458,-5.531755e-04
(11#)41/2,47834,2.378831,48497,2.384830,-2.518652e-03
(11#)21,48931,2.430664,49663,2.388104,1.766473e-02
(11#)43/2,50461,2.416903,50789,2.391197,1.069289e-02
(11#)22,51826,2.346624,51973,2.394193,-2.006852e-02
(11#)45/2,52876,2.469593,53129,2.397071,2.980578e-02
(11#)23,53624,2.388364,54277,2.399866,-4.804290e-03
(11#)47/2,54421,2.447211,55439,2.402487,1.844456e-02
(11#)24,56176,2.444148,56591,2.405042,1.612923e-02
(11#)49/2,57172,2.426083,57737,2.407505,7.687081e-03
(11#)25,58789,2.355012,58901,2.409872,-2.302781e-02
(11#)51/2,59074,2.411060,60041,2.412160,-4.561268e-04
(13#)2,61058,2.418361,61211,2.414396,1.640886e-03
(11#)53/2,61444,2.421746,62351,2.416507,2.165659e-03
(11#)27,63421,2.436905,63521,2.418572,7.551508e-03
(11#)55/2,64198,2.443219,64679,2.420542,9.324950e-03
(11#)28,65336,2.468498,65536,2.422484,1.881641e-02
(11#)57/2,66602,2.429966,66977,2.424327,2.323305e-03
(11#)29,67904,2.413565,68141,2.426144,-5.198258e-03
(11#)59/2,69239,2.447118,69263,2.427873,7.895440e-03
(11#)30,69911,2.449157,70451,2.429581,8.025069e-03
(11#)61/2,70544,2.431070,71597,2.431205,-5.552956e-05
(11#)31,71633,2.358847,72763,2.432823,-3.087937e-02
(11#)63/2,73016,2.438849,73907,2.434337,1.851766e-03
(11#)32,74716,2.474061,75041,2.435857,1.556228e-02
(13#)5/2,75968,2.467098,76213,2.437292,1.215497e-02
(11#)33,77144,2.383605,77383,2.438702,-2.285188e-02
(11#)67/2,78427,2.494035,78539,2.440113,2.185753e-02
(11#)34,79312,2.406904,79693,2.441413,-1.423570e-02
(11#)69/2,79784,2.452666,80849,2.442713,4.066289e-03
(11#)35,81749,2.460417,82003,2.443987,6.700126e-03
(11#)71/2,82252,2.460452,83137,2.445205,6.216109e-03
(11#)36,84046,2.459958,84313,2.446419,5.518954e-03
(11#)73/2,84562,2.471941,85469,2.447570,9.907976e-03
(11#)37,86248,2.426071,86599,2.448719,-9.291954e-03
(11#)75/2,87316,2.472748,87767,2.449812,9.318796e-03
(11#)38,88498,2.433762,88919,2.450902,-7.017912e-03
(11#)77/2,89459,2.383150,90089,2.451943,-2.845763e-02
(13#)3,90526,2.492321,91243,2.452981,1.591039e-02
(11#)79/2,92357,2.434532,92399,2.453972,-7.953395e-03
(11#)40,92656,2.473194,93553,2.454945,7.406075e-03
(11#)81/2,94228,2.450231,94709,2.455899,-2.310580e-03
(11#)41,95467,2.446013,95857,2.456837,-4.415398e-03
(11#)83/2,96361,2.470995,97007,2.457739,5.379082e-03
(11#)42,97684,2.508166,98143,2.458624,1.994996e-02
(11#)85/2,98764,2.453349,99317,2.459491,-2.500388e-03
(11#)43,99581,2.468655,100483,2.460347,3.371071e-03
(11#)87/2,101467,2.483060,101627,2.461169,8.855230e-03
(11#)44,102352,2.491281,102793,2.461972,1.183438e-02
(11#)89/2,103214,2.468903,103919,2.462764,2.489626e-03
(11#)45,104056,2.467765,105097,2.463535,1.715572e-03
(13#)7/2,105883,2.452749,106243,2.464292,-4.695109e-03
(11#)46,106298,2.480088,107377,2.465031,6.089660e-03
(11#)93/2,107684,2.498534,108557,2.465770,1.320003e-02
(11#)47,109717,2.499467,109721,2.466462,1.329277e-02
(11#)95/2,110281,2.415536,110879,2.467164,-2.114810e-02
(11#)48,111058,2.464714,112031,2.467833,-1.264661e-03
(11#)97/2,112681,2.478536,113189,2.468511,4.052928e-03
(11#)49,113389,2.460935,114343,2.469157,-3.335438e-03
(11#)99/2,115426,2.500222,115499,2.469796,1.224397e-02
(11#)50,116371,2.460027,116639,2.470413,-4.213018e-03
(11#)101/2,116728,2.402456,117809,2.471018,-2.813866e-02
(11#)51,118894,2.444233,118931,2.471614,-1.114001e-02
(11#)103/2,119458,2.462122,120103,2.472201,-4.085267e-03
(13#)4,121234,2.463828,121271,2.472776,-3.625168e-03
(11#)105/2,121612,2.502568,122401,2.473341,1.174754e-02
(11#)53,123059,2.504951,123583,2.473895,1.247534e-02
(11#)107/2,124447,2.517146,124739,2.474434,1.711404e-02
(11#)54,125479,2.491172,125887,2.474966,6.526624e-03
(11#)109/2,126397,2.546025,127037,2.475481,2.809860e-02
(11#)55,127189,2.428594,128203,2.475989,-1.932742e-02
(11#)111/2,129263,2.490514,129347,2.476493,5.645668e-03
(11#)56,130307,2.503745,130513,2.476980,1.074753e-02
(11#)113/2,131641,2.512217,131072,2.477461,1.393138e-02
(11#)57,131888,2.478781,132817,2.477932,3.425657e-04
(11#)115/2,133174,2.475614,133979,2.478398,-1.123938e-03
(11#)58,134087,2.503206,135131,2.478850,9.777567e-03
(13#)9/2,135802,2.501586,136277,2.479300,8.948668e-03
(11#)59,136649,2.492808,137443,2.479736,5.257683e-03
(11#)119/2,137587,2.515309,138599,2.480161,1.407218e-02
(11#)60,139511,2.466330,139753,2.480589,-5.764816e-03
(11#)121/2,140009,2.495139,140909,2.480997,5.683944e-03
(11#)61,141676,2.498497,142061,2.481408,6.863210e-03
(11#)123/2,142258,2.505830,143197,2.481800,9.635914e-03
(11#)62,143896,2.509536,144349,2.482197,1.095382e-02
(11#)125/2,145144,2.491578,145517,2.482576,3.619514e-03
(11#)63,146176,2.504029,146683,2.482952,8.452860e-03
(11#)127/2,147401,2.521313,147827,2.483328,1.518020e-02
(11#)64,148696,2.533538,148991,2.483690,1.987139e-02
(11#)129/2,149846,2.509766,150131,2.484044,1.030164e-02
(13#)5,150292,2.507348,151303,2.484394,9.196854e-03
(11#)131/2,151909,2.518866,152459,2.484748,1.363755e-02
(11#)66,152914,2.505061,153611,2.485078,8.009038e-03
(11#)133/2,154702,2.506776,154769,2.485411,8.559427e-03
(11#)67,155816,2.502854,155921,2.485741,6.860877e-03
(11#)135/2,156007,2.496651,157061,2.486079,4.243463e-03
(11#)68,157901,2.486203,158233,2.486373,-6.837502e-05
(11#)137/2,158419,2.533724,159389,2.486684,1.874006e-02
(11#)69,159407,2.542242,160541,2.486989,2.197363e-02
(11#)139/2,161659,2.491347,161683,2.487287,1.630970e-03
(11#)70,162353,2.507294,162853,2.487583,7.892528e-03
(11#)141/2,163297,2.519915,163997,2.487868,1.279905e-02
(11#)71,164954,2.477786,165161,2.488151,-4.174445e-03
(13#)11/2,165701,2.520785,166319,2.488432,1.291757e-02
(11#)72,166351,2.526473,167471,2.488711,1.505935e-02
