FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
1095,1109,(5#)73/2,1109,22,1095,78,1109,1.952088,1095,6.98422798,1102,44.266667,3.945217175
1110,1124,(5#)37,1123,24,1110,84,1123,2.110511,1110,7.44190976,1117,46.533333,4.106924269
1125,1139,(5#)75/2,1126,24,1125,78,1126,2.104611,1125,6.85042475,1132,45.866667,4.009979435
1140,1154,(5#)38,1147,26,1140,82,1147,2.252003,1140,7.12745061,1147,45.200000,3.914327530
1155,1259,(11#)/2,1244,26,1155,106,1244,2.122683,1155,9.13559580,1206,47.104762,3.934787166
1260,1364,(7#)6,1319,22,1260,108,1319,1.723241,1260,8.73658664,1311,49.104762,3.861564000
1365,1469,(7#)13/2,1402,22,1365,112,1402,1.647631,1365,8.55809036,1416,52.361905,3.893629533
1470,1574,(7#)7,1489,26,1530,110,1489,1.865276,1470,7.81539530,1521,54.457143,3.844801073
1575,1679,(7#)15/2,1676,32,1575,124,1676,2.104753,1575,8.53964513,1626,59.390476,3.994843238
1680,1784,(7#)8,1774,32,1680,128,1774,2.019039,1680,8.40436284,1731,59.771429,3.840675899
1785,1889,(7#)17/2,1849,36,1785,140,1849,2.204669,1785,8.79830470,1836,65.047619,4.002058697
1890,1994,(7#)9,1966,34,1890,140,1966,1.989272,1890,8.43214029,1941,67.866667,4.008652265
1995,2099,(7#)19/2,2029,30,1995,148,2029,1.715762,1995,8.57059128,2046,69.047619,3.923622191
2100,2204,(7#)10,2104,36,2145,148,2104,2.003507,2145,8.12379559,2151,70.704762,3.871466541
2205,2309,(7#)21/2,2287,38,2205,150,2287,1.989104,2205,8.06714663,2256,72.533333,3.834198965
2310,2414,(11#),2347,42,2310,176,2347,2.156625,2310,9.14058186,2361,77.142857,3.941891684
2415,2519,(7#)23/2,2447,44,2415,172,2447,2.190317,2415,8.64639902,2466,79.828571,3.949622247
2520,2624,(7#)12,2623,50,2565,166,2623,2.363446,2520,7.98399457,2571,82.704762,3.967331880
2625,2729,(7#)25/2,2633,46,2625,182,2633,2.168203,2625,8.59805030,2676,84.742857,3.944871856
2730,2834,(7#)13,2809,46,2730,208,2809,2.065835,2730,9.53914578,2782,88.800000,4.016695881
2835,2939,(7#)27/2,2909,52,2835,192,2909,2.274897,2835,8.56334577,2887,91.161905,4.011163743
2940,3044,(7#)14,2974,48,2940,200,2974,2.064698,2940,8.67739172,2992,92.476190,3.961016497
3045,3149,(7#)29/2,3076,44,3135,214,3076,1.845344,3135,8.85070812,3097,94.857143,3.958834679
3150,3254,(7#)15,3221,52,3150,196,3221,2.107297,3150,8.07464822,3202,95.866667,3.902500735
3255,3359,(7#)31/2,3334,56,3255,226,3334,2.210551,3255,9.08651900,3307,98.323810,3.906135426
3360,3464,(7#)16,3386,60,3360,218,3386,2.340982,3360,8.55513325,3412,101.409524,3.934966538
3465,3569,(11#)3/2,3559,54,3465,240,3559,2.029695,3465,9.20509845,3517,103.504762,3.925535040
3570,3674,(7#)17,3571,60,3570,226,3571,2.249487,3570,8.47248673,3622,105.409524,3.909336161
3675,3779,(7#)35/2,3769,54,3675,236,3769,1.943543,3675,8.65796828,3727,108.895238,3.952743740
3780,3884,(7#)18,3799,58,3795,228,3799,2.075010,3795,8.16344904,3832,111.333333,3.956935876
3885,3989,(7#)37/2,3964,64,3885,246,3964,2.216472,3885,8.65284260,3937,115.771429,4.031398137
3990,4094,(7#)19,4051,60,3990,250,4051,2.044491,3990,8.61525608,4042,115.904762,3.955871380
4095,4199,(7#)39/2,4153,70,4095,274,4153,2.340594,4095,9.26020575,4147,118.438095,3.964584714
4200,4304,(7#)20,4282,68,4290,250,4282,2.220909,4200,8.21978002,4252,122.590476,4.026057242
4305,4409,(7#)41/2,4393,72,4305,260,4393,2.306710,4305,8.45913368,4357,122.895238,3.961866554
4410,4514,(7#)21,4486,68,4410,270,4486,2.143577,4410,8.62279023,4462,126.038095,3.990033304
4515,4619,(7#)43/2,4603,68,4515,280,4603,2.102361,4515,8.78519237,4567,128.514286,3.997205638
4620,4724,(11#)2,4651,68,4620,306,4651,2.085780,4620,9.43200294,4672,131.409524,4.016741935
4725,4829,(7#)45/2,4801,62,4725,280,4801,1.856187,4725,8.48560494,4777,131.752381,3.959575554
4830,4934,(7#)23,4909,74,4830,310,4909,2.178086,4830,9.23639960,4882,133.295238,3.940226253
