START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(11#)131/2,151909,2.518866,152459,0.421667,1.787348e+00,0.030417,6.894825e+01
(11#)66,152914,2.505061,153611,0.434213,1.752533e+00,0.030228,6.850761e+01
(11#)133/2,154702,2.506776,154769,0.446424,1.725484e+00,0.030029,6.861207e+01
(11#)67,155816,2.502854,155921,0.458267,1.697735e+00,0.029852,6.849079e+01
(11#)135/2,156007,2.496651,157061,0.470638,1.668616e+00,0.029650,6.833096e+01
(11#)68,157901,2.486203,158233,0.481513,1.641579e+00,0.029486,6.798786e+01
(11#)137/2,158419,2.533724,159389,0.493587,1.635746e+00,0.029305,6.961737e+01
(11#)69,159407,2.542242,160541,0.504273,1.617684e+00,0.029129,6.996358e+01
(11#)139/2,161659,2.491347,161683,0.515923,1.574621e+00,0.030506,6.475526e+01
(11#)70,162353,2.507294,162853,0.526441,1.560820e+00,0.030324,6.532295e+01
(11#)141/2,163297,2.519915,163997,0.537721,1.544641e+00,0.030145,6.575532e+01
(11#)71,164954,2.477786,165161,0.548006,1.508834e+00,0.029966,6.439899e+01
(13#)11/2,165701,2.520785,166319,0.558991,1.506192e+00,0.029793,6.584748e+01
(11#)72,166351,2.526473,167471,0.570167,1.488650e+00,0.029617,6.605348e+01
(11#)145/2,167809,2.490909,168629,0.579673,1.457939e+00,0.029450,6.489766e+01
(11#)73,168814,2.509419,169783,0.590290,1.447193e+00,0.029282,6.553955e+01
(11#)147/2,170539,2.495056,170927,0.599792,1.425484e+00,0.029116,6.509356e+01
(11#)74,171694,2.497959,172093,0.610309,1.409264e+00,0.028950,6.520380e+01
(11#)149/2,172849,2.504239,173249,0.620500,1.395215e+00,0.028790,6.543032e+01
(11#)75,174214,2.457750,174389,0.629652,1.361834e+00,0.028629,6.385476e+01
(11#)151/2,174814,2.514062,175543,0.639660,1.368718e+00,0.028471,6.583548e+01
(11#)76,176551,2.496728,176713,0.648611,1.347903e+00,0.028315,6.526989e+01
(11#)153/2,177841,2.524335,177841,0.658400,1.343920e+00,0.028160,6.626190e+01
(11#)77,178898,2.502055,179021,0.668099,1.320431e+00,0.028007,6.548206e+01
(11#)155/2,179083,2.529322,180179,0.676613,1.318607e+00,0.027857,6.650784e+01
(13#)6,180379,2.501151,181303,0.686064,1.293535e+00,0.027708,6.550769e+01
(11#)157/2,181919,2.535068,182489,0.695592,1.293212e+00,0.027559,6.674683e+01
(11#)79,182519,2.515243,183637,0.703745,1.273709e+00,0.027414,6.607930e+01
(11#)159/2,184696,2.506373,184777,0.712837,1.257339e+00,0.027271,6.576715e+01
(11#)80,185578,2.512282,185951,0.721708,1.247326e+00,0.027116,6.603385e+01
(11#)161/2,187024,2.533868,187091,0.729798,1.244734e+00,0.026987,6.684959e+01
(11#)81,187471,2.522543,188261,0.738637,1.228216e+00,0.026848,6.644465e+01
(11#)163/2,189094,2.510677,189407,0.747159,1.212030e+00,0.026700,6.604936e+01
(11#)82,189817,2.521375,190573,0.755031,1.205801e+00,0.026575,6.646638e+01
(11#)165/2,191626,2.523077,191717,0.763595,1.195197e+00,0.026440,6.654622e+01
(11#)83,191768,2.509171,192883,0.772015,1.178704e+00,0.026294,6.606663e+01
(11#)167/2,193639,2.501153,194027,0.779435,1.165938e+00,0.026175,6.577719e+01
(11#)84,194767,2.519507,195193,0.787737,1.162654e+00,0.026045,6.649146e+01
(13#)13/2,195751,2.518018,196337,0.795903,1.151750e+00,0.027305,6.306958e+01
(11#)85,197402,2.512439,197479,0.803097,1.140534e+00,0.027170,6.291285e+01
(11#)171/2,198046,2.523633,198659,0.811044,1.135133e+00,0.027038,6.334008e+01
(11#)86,199021,2.495353,199813,0.819058,1.114031e+00,0.026905,6.230422e+01
(11#)173/2,200899,2.517394,200929,0.825871,1.114541e+00,0.026776,6.317310e+01
(11#)87,201904,2.515768,202121,0.833614,1.104563e+00,0.026647,6.312733e+01
(11#)175/2,203128,2.520731,203279,0.841306,1.097349e+00,0.026520,6.332673e+01
(11#)88,203417,2.508934,204431,0.848864,1.083714e+00,0.026381,6.292673e+01
(11#)177/2,204928,2.464243,205589,0.855485,1.057971e+00,0.026269,6.124169e+01
(11#)89,205924,2.529874,206699,0.862970,1.075545e+00,0.026145,6.375613e+01
(11#)179/2,206984,2.513240,207877,0.870320,1.060467e+00,0.026023,6.313338e+01
(11#)90,208129,2.513207,209039,0.876943,1.052873e+00,0.025898,6.318110e+01
(11#)181/2,209362,2.520880,210209,0.883934,1.047981e+00,0.025782,6.349182e+01
(13#)7,210557,2.506060,211349,0.891078,1.034035e+00,0.025664,6.292791e+01
(11#)183/2,211459,2.494267,212507,0.898137,1.021428e+00,0.025546,6.248062e+01
(11#)92,212644,2.547725,213659,0.904230,1.035872e+00,0.025430,6.462820e+01
(11#)185/2,213784,2.541986,214817,0.911189,1.025951e+00,0.025315,6.442019e+01
(11#)93,215854,2.563496,215983,0.918016,1.026912e+00,0.025201,6.529423e+01
(11#)187/2,216917,2.525146,217121,0.924921,1.004346e+00,0.025087,6.378702e+01
(11#)94,217697,2.481485,218287,0.930756,9.806153e-01,0.024975,6.209125e+01
