START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
6e3,6353,2.124621,6997,2.671684,6930,9.57022794,6930,9.49810045,6480,4.021600106,4.048898021,6005,0.797421,6930,11.358306,6998,0.000000
7e3,7219,2.055910,7993,2.671125,7770,9.12968576,7140,9.11771327,7483,3.972488543,4.045504590,7010,1.071277,7140,10.908479,7999,0.000000
8e3,8777,2.179478,8999,2.670631,8925,9.64346441,8085,9.49598970,8485,3.976808668,4.043489246,8000,1.275316,8085,11.219730,8999,0.000000
9e3,9649,2.163663,9973,2.670244,9240,9.63749652,9240,9.49418124,9486,3.991146103,4.047203895,9005,1.448450,9240,11.111313,9998,0.000000
1e4,11272,2.131467,19997,2.667815,15015,10.42234789,15015,10.35083057,14142,4.004160101,4.042291932,10000,1.586747,15015,11.663974,19985,0.000000
2e4,20816,2.279925,29989,2.666592,21945,10.03630588,21945,10.04198433,24494,4.010741835,4.039739161,20011,1.958821,21945,11.185891,29470,0.000000
3e4,35792,2.297694,39989,2.665794,30030,10.29324643,30030,10.34278742,34641,4.011840629,4.038745115,30011,2.042432,30030,11.392901,36400,0.045197
4e4,40597,2.307754,49999,2.665207,45045,10.26764128,45045,10.33859678,44721,4.011234884,4.037459524,40009,2.081458,45045,11.313091,49280,0.423189
5e4,51826,2.346624,59999,2.664751,58905,10.14218881,58905,10.10632240,54772,4.015061764,4.036622289,50021,2.100772,58905,11.057240,50435,0.531575
6e4,67904,2.413565,69997,2.664381,60060,10.28857922,60060,10.33582324,64807,4.024569613,4.036293983,60013,2.109342,60060,11.290136,69997,0.728828
7e4,71633,2.358847,79999,2.664067,75075,10.18649755,75075,10.33378523,74833,4.012789857,4.035593587,79999,2.108854,75075,11.293218,79999,0.711120
8e4,89459,2.383150,89989,2.663800,87780,9.96005196,87780,10.02851528,84852,4.016448120,4.035111955,89989,2.103188,87780,10.998782,89989,0.682583
9e4,92357,2.434532,99991,2.663563,90090,10.38468869,90090,10.33218950,94868,4.025405630,4.034994133,99991,2.095071,90090,11.311170,99998,0.645624
1e5,116728,2.402456,199999,2.662132,150150,10.40441005,105105,10.33087844,141421,4.020834696,4.033439140,148229,2.033556,150150,11.443490,148229,0.387895
2e5,204928,2.464243,299993,2.661377,255255,10.98879350,255255,11.01228466,244949,4.022875487,4.031895599,200003,2.156187,255255,11.774590,200003,0.827059
3e5,366794,2.499164,399989,2.660873,345345,10.82307543,345345,10.81343727,346410,4.023491244,4.031003982,300007,2.282257,345345,11.430743,300002,1.279184
4e5,463549,2.513127,499979,2.660498,435435,10.80823080,435435,10.70261344,447213,4.022715545,4.030322573,400009,2.350204,435435,11.229968,400009,1.523281
5e5,548461,2.531963,599999,2.660202,510510,11.02689928,510510,11.00731275,547722,4.024811728,4.029812180,500009,2.393253,510510,11.482002,511259,1.626783
6e5,686398,2.527108,699967,2.659959,690690,10.75535033,690690,10.80879355,648074,4.023686228,4.029446477,600011,2.423205,690690,11.199173,600011,1.786045
7e5,770558,2.532269,799999,2.659754,765765,10.99909949,765765,11.00465781,748331,4.022216893,4.029086664,700001,2.445361,765765,11.370872,700001,1.865938
8e5,804191,2.552045,899981,2.659576,855855,10.95061370,855855,10.92304735,848528,4.025351254,4.028784503,800011,2.462479,855855,11.264853,800011,1.927730
9e5,915961,2.547074,999983,2.659420,930930,10.67473805,930930,10.67143888,948683,4.024419885,4.028573351,900001,2.476134,930930,10.996320,900001,1.977065
