START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio
(7#)50,10500,8.524160,10500,9.773416,-1.367615e-01,1.555039,-8.033597e-01
(7#)101/2,10605,8.847616,10605,9.852912,-1.076190e-01,1.560138,-6.443636e-01
(7#)51,10710,8.907306,10710,10.329329,-1.481155e-01,1.565520,-9.083389e-01
(7#)103/2,10815,8.648719,10815,9.837654,-1.288060e-01,1.570990,-7.568061e-01
(7#)52,10920,9.437686,10920,10.524571,-1.090018e-01,1.576750,-6.893200e-01
(7#)105/2,11025,8.550569,11025,9.740041,-1.302474e-01,1.582273,-7.517486e-01
(7#)53,11130,8.579993,11130,9.901089,-1.432116e-01,1.587887,-8.319834e-01
(7#)107/2,11235,8.734519,11235,9.808714,-1.159883e-01,1.594040,-6.738820e-01
(7#)54,11385,8.429395,11340,9.721106,-1.425744e-01,1.598911,-8.078695e-01
(7#)109/2,11445,8.577796,11445,9.794980,-1.326930e-01,1.605456,-7.581546e-01
(11#)5,11550,9.485451,11550,10.682750,-1.188711e-01,1.610403,-7.434777e-01
(7#)111/2,11655,8.606500,11655,9.947301,-1.447835e-01,1.616493,-8.294507e-01
(7#)56,11760,8.395878,11760,9.697369,-1.441138e-01,1.623191,-8.018103e-01
(7#)113/2,11865,8.367746,11865,9.768722,-1.548011e-01,1.626188,-8.615095e-01
(7#)57,11970,8.986934,11970,10.188539,-1.254917e-01,1.614632,-7.441974e-01
(7#)115/2,12075,8.574915,12075,10.087320,-1.624382e-01,1.606353,-9.415150e-01
(7#)58,12180,8.864733,12180,9.991401,-1.196440e-01,1.597277,-7.053679e-01
(7#)117/2,12285,9.181055,12285,10.447815,-1.292507e-01,1.587441,-7.979887e-01
(7#)59,12390,8.402070,12390,9.814254,-1.553577e-01,0.701823,-2.012165e+00
(7#)119/2,12495,8.660430,12495,10.228707,-1.664338e-01,1.569398,-9.992856e-01
(7#)60,12600,8.631114,12600,9.654002,-1.119989e-01,0.695457,-1.470814e+00
(11#)11/2,12705,9.165957,12705,10.622478,-1.474760e-01,0.692301,-2.103884e+00
(7#)61,12810,8.463508,12810,9.788725,-1.454675e-01,0.688981,-1.923445e+00
(7#)123/2,12915,8.715155,12915,9.858059,-1.232258e-01,0.686215,-1.665518e+00
(7#)62,13020,8.714150,13020,9.928648,-1.304762e-01,0.682920,-1.778390e+00
(7#)125/2,13125,8.495334,13125,9.629429,-1.253068e-01,0.680286,-1.667085e+00
(7#)63,13230,8.332516,13230,9.624638,-1.441608e-01,0.677136,-1.908216e+00
(7#)127/2,13335,8.768441,13335,9.688325,-9.976257e-02,0.674520,-1.363761e+00
(7#)64,13440,8.632976,13440,9.615338,-1.077703e-01,0.671722,-1.462454e+00
(7#)129/2,13545,8.821299,13545,9.819189,-1.071694e-01,0.668750,-1.492172e+00
(7#)65,13650,8.952978,13650,10.384282,-1.483071e-01,0.666071,-2.148876e+00
(7#)131/2,13755,8.371422,13755,9.668152,-1.440134e-01,0.663446,-1.954537e+00
(11#)6,13860,9.554326,13860,10.570809,-1.011023e-01,0.660490,-1.538983e+00
(7#)133/2,13965,8.871930,13965,10.095671,-1.292144e-01,0.658126,-1.859433e+00
(7#)67,14070,8.326095,14070,9.720382,-1.548303e-01,0.655542,-2.126922e+00
(7#)135/2,14175,8.406814,14175,9.584822,-1.311382e-01,0.652943,-1.804151e+00
(7#)68,14280,8.793110,14280,10.150021,-1.435073e-01,0.650425,-2.086191e+00
(7#)137/2,14385,8.309587,14385,9.639869,-1.484976e-01,0.647891,-2.053250e+00
(7#)69,14490,8.894874,14490,9.979176,-1.150254e-01,0.645333,-1.680221e+00
(7#)139/2,14595,8.441621,14595,9.630883,-1.318006e-01,0.642540,-1.850876e+00
(7#)70,14700,8.493504,14700,9.564557,-1.187627e-01,0.640517,-1.672170e+00
(7#)141/2,14805,8.919746,14805,9.750509,-8.905200e-02,0.638027,-1.302081e+00
(7#)71,14910,8.472977,14910,9.680606,-1.332426e-01,0.635729,-1.899598e+00
(13#)/2,15015,10.422348,15015,11.390348,-8.881399e-02,0.633476,-1.528077e+00
(11#)7,16170,9.362340,16170,10.487131,-1.134536e-01,0.609540,-1.845311e+00
(11#)15/2,17745,9.322075,17325,10.452673,-1.144725e-01,0.588536,-1.921035e+00
(11#)8,18480,9.317703,18480,10.421909,-1.119941e-01,0.569806,-1.937863e+00
(11#)17/2,19635,9.854074,19635,11.026843,-1.124476e-01,0.552990,-2.120778e+00
(11#)9,20790,9.509176,20790,10.369604,-8.662160e-02,0.537763,-1.600013e+00
(11#)19/2,21945,10.036306,21945,10.905027,-8.301477e-02,0.524130,-1.657454e+00
(11#)10,23205,9.963427,23205,10.750343,-7.601654e-02,0.511623,-1.538077e+00
(11#)21/2,24255,9.263166,24255,10.307882,-1.068630e-01,0.499981,-2.089512e+00
(11#)11,25935,10.005154,25935,10.635501,-6.109719e-02,0.489721,-1.287155e+00
(11#)23/2,26565,9.689038,26565,10.726346,-1.017078e-01,0.479992,-2.161095e+00
(11#)12,28665,9.643002,27720,10.260115,-6.203156e-02,0.471016,-1.310174e+00
(11#)25/2,28875,9.338060,28875,10.246530,-9.284063e-02,0.462793,-1.963017e+00
(13#),30030,10.293246,30030,11.097387,-7.522168e-02,0.455075,-1.767051e+00
(11#)27/2,31395,9.616924,31395,10.467538,-8.475434e-02,0.447901,-1.899111e+00
(11#)14,32340,9.255797,32340,10.211073,-9.822263e-02,0.441206,-2.165147e+00
(11#)29/2,33495,9.866028,33495,10.551884,-6.720710e-02,0.434886,-1.577094e+00
(11#)15,34650,9.321536,34650,10.191114,-8.918871e-02,0.429029,-2.026851e+00
(11#)31/2,35805,9.802526,35805,10.508912,-6.958351e-02,0.423476,-1.668065e+00
(11#)16,36960,9.338029,36960,10.173476,-8.568871e-02,0.418225,-1.997601e+00
(11#)33/2,38115,9.353586,38115,10.165431,-8.323309e-02,0.413350,-1.964063e+00
(11#)17,39270,10.201100,39270,10.789788,-5.610459e-02,0.408637,-1.440614e+00
(11#)35/2,41055,9.763031,41055,10.175392,-4.136930e-02,0.404332,-1.019856e+00
(11#)18,42315,9.558485,42315,10.264026,-7.121592e-02,0.400142,-1.763227e+00
(11#)37/2,42735,9.801362,42735,10.408183,-6.007093e-02,0.396245,-1.531428e+00
(11#)19,43890,9.903415,43890,10.688778,-7.631475e-02,0.392514,-2.000853e+00
(13#)3/2,45045,10.267641,45045,10.988736,-6.787342e-02,0.388947,-1.853967e+00
