alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.5,3656304,0.01424835,3683058,0.01722408
0.5,3408882,0.01449067,3444423,0.01756063
0.5,3212007,0.01552896,3160818,0.01791111
0.5,3050574,0.01491587,2992959,0.01790241
0.5,2956434,0.01467729,2825154,0.01934909
0.5,2690064,0.0145724,2718264,0.01925743
0.5,2595354,0.01520641,2460501,0.02043195
0.5,2330979,0.01758703,2276574,0.02179744
0.5,2191176,0.01701562,2122161,0.02325945
0.5,1976988,0.01875216,1915716,0.02381144
0.5,1844751,0.02075538,1851651,0.02538019
0.5,1650951,0.02238021,1618494,0.02651252
0.5,1441914,0.02455033,1390143,0.03056138
0.5,1332267,0.02802872,1193595,0.03241693
0.5,1108536,0.03089688,1006122,0.03534489
0.5,938496,0.03492806,824562,0.04595415
0.5,764712,0.04189679,690183,0.05317685
0.5,614916,0.05196011,475761,0.06914187
0.5,444222,0.07023807,288561,0.10719394
0.5,260661,0.11295199,249237,0.13507507
0.5,228735,0.12509694,234156,0.14454405
0.5,220077,0.12221652,224367,0.13705628
0.5,207966,0.11559703,204168,0.12990119
0.5,187374,0.10928424,189006,0.12430818
0.5,175956,0.11010683,179556,0.12352799
0.5,164901,0.09928241,170214,0.11910145
0.5,148161,0.09940341,151962,0.11740323
0.5,144573,0.09132156,139854,0.11531313
0.5,121974,0.08069231,126108,0.11337633
0.5,111369,0.09282158,108537,0.10658359
0.5,91314,0.09047838,90915,0.10967551
0.5,85734,0.08623975,77781,0.11036771
0.5,71874,0.07802701,64020,0.10745593
0.5,52701,0.08083458,49302,0.11280818
0.5,48312,0.08449056,38907,0.11803552
0.5,31713,0.1051933,24519,0.14949085
0.5,19536,0.14255119,14586,0.22177904
0.5,14079,0.1777279,13548,0.22541431
0.5,12903,0.15203067,12147,0.25967949
0.5,11253,0.21180299,10686,0.29539631
0.5,9570,0.24068706,9291,0.30712453
0.5,8721,0.2672259,8424,0.33185332
0.5,7854,0.30875427,6732,0.38506933
0.5,6138,0.2887579,5916,0.40906565
0.5,5382,0.42506569,4356,0.51202284
0.5,4026,0.54431492,2964,0.68653341
0.5,2184,0.76598035,2409,1.010258
1.0,8311854,0.00893284,9452781,0.01061591
1.0,5685186,0.00844315,4804743,0.01121811
1.0,4663191,0.00976305,4639287,0.0112679
1.0,4583319,0.00893826,4541418,0.01110516
1.0,4411377,0.0099737,4381767,0.0112694
1.0,4217064,0.00965398,4163112,0.01132611
1.0,4028142,0.00915054,3958587,0.01095751
1.0,3716211,0.00900853,3832413,0.0114535
1.0,3637626,0.00949697,3662139,0.01124937
1.0,3462186,0.00830013,3387228,0.01131147
1.0,3312954,0.0098668,3177681,0.01162283
1.0,3140604,0.00967751,3049254,0.01162754
1.0,2926989,0.00890328,2877339,0.01220625
1.0,2678526,0.00995221,2653539,0.0132972
1.0,2441064,0.00976796,2511759,0.01257493
1.0,2285751,0.00858793,2302473,0.01254006
