n,ratio,c_pred,baseline,c_meas,lambda,status
7410,1.46792618,5.38182339,-2.82935980,7.90011946,0.38385064,EXPECTED
7548,1.48730511,3.74928565,-2.10003279,5.57633172,0.39696583,EXPECTED
7656,1.47042911,4.06013369,-2.08296986,5.97013876,0.38555427,EXPECTED
7689,1.40797845,3.87136388,-2.07796820,5.45079692,0.34215495,EXPECTED
7854,1.39652671,5.11851739,-2.46365358,7.14814623,0.33398823,EXPECTED
7917,1.42949097,4.78434290,-2.45305808,6.83917497,0.35731842,EXPECTED
8034,1.38121039,3.84602499,-2.02725474,5.31216966,0.32296021,EXPECTED
8151,1.35670732,4.83116111,-2.01071538,6.55447166,0.30506068,EXPECTED
8250,1.35561530,5.23447803,-2.66309735,7.09593848,0.30425544,EXPECTED
8385,1.38504970,5.30403931,-2.63898277,7.34635803,0.32573602,EXPECTED
8469,1.40088218,3.36834241,-1.96806706,4.71865084,0.33710216,EXPECTED
8547,1.34104013,4.96064507,-2.35000576,6.65242412,0.29344553,EXPECTED
8646,1.38086705,4.02319167,-1.94559935,5.55549281,0.32271160,EXPECTED
8721,1.34123578,4.08396836,-1.93643550,5.47756449,0.29359141,EXPECTED
8892,1.39658474,4.24118198,-1.91585639,5.92317005,0.33402979,EXPECTED
8943,1.38108456,4.03512152,-1.90958351,5.57284404,0.32286911,EXPECTED
9114,1.39996936,4.34902982,-2.26784059,6.08850848,0.33645035,EXPECTED
9204,1.39845220,4.03737882,-1.87941669,5.64608128,0.33536605,EXPECTED
9291,1.36893714,3.80871843,-1.87002336,5.21389611,0.31403463,EXPECTED
9405,1.33270924,5.88456208,-2.47641016,7.84241028,0.28721390,EXPECTED
9492,1.36484145,4.23614531,-2.21751478,5.78166672,0.31103827,EXPECTED
9570,1.34908268,5.73550528,-2.45322947,7.73767081,0.29942486,EXPECTED
9729,1.37261778,3.88437511,-1.82341694,5.33176232,0.31671970,EXPECTED
9867,1.30456707,4.95878009,-1.80926859,6.46906121,0.26587124,EXPECTED
9876,1.31342624,3.52787700,-1.80841073,4.63360620,0.27263917,EXPECTED
10032,1.35230805,4.47700320,-1.79324949,6.05428748,0.30181280,EXPECTED
10098,1.36224485,4.52967970,-1.78696667,6.17053284,0.30913396,EXPECTED
10200,1.35679792,5.21025420,-2.36961328,7.06926207,0.30512745,EXPECTED
10374,1.30905025,5.27400116,-2.11320014,6.90393251,0.26930187,EXPECTED
10473,1.34644235,3.57884708,-1.75212777,4.81871127,0.29746582,EXPECTED
10527,1.33498863,4.39369949,-1.74722431,5.86553885,0.28892277,EXPECTED
10686,1.36314300,4.12370118,-1.73320049,5.62119438,0.30979306,EXPECTED
10725,1.34978351,6.30665451,-2.30638757,8.51261823,0.29994421,EXPECTED
10857,1.32765413,5.20117811,-2.06237636,6.90536558,0.28341357,EXPECTED
10998,1.33790649,4.23605749,-1.70676576,5.66744880,0.29110607,EXPECTED
11124,1.33928709,3.68547354,-1.69639160,4.93590714,0.29213745,EXPECTED
11136,1.31410701,3.83093605,-1.69554401,5.03425990,0.27315735,EXPECTED
11253,1.26906365,4.43926355,-1.68607242,5.63370798,0.23827934,EXPECTED
11406,1.31412548,3.65769050,-1.67408888,4.80666430,0.27317141,EXPECTED
11466,1.33013159,4.97288155,-2.00320240,6.61458682,0.28527787,EXPECTED
11649,1.30315998,4.28239171,-1.65542632,5.58064150,0.26479207,EXPECTED
11682,1.26621010,4.37180248,-1.65299204,5.53562046,0.23602827,EXPECTED
11781,1.26590818,5.60379904,-1.97491106,7.09389503,0.23578979,EXPECTED
11934,1.29811173,4.56600354,-1.63468332,5.92718276,0.26091069,EXPECTED
12012,1.26618322,5.79593697,-1.95487476,7.33871814,0.23600704,EXPECTED
12141,1.30096015,4.10382697,-1.62001985,5.33891537,0.26310257,EXPECTED
12210,1.29911056,5.96619294,-2.15354318,7.75074427,0.26167985,EXPECTED
12363,1.30450336,4.22665246,-1.60474435,5.51368235,0.26582240,EXPECTED
12441,1.24721928,5.09854580,-1.59945669,6.35900463,0.22091650,EXPECTED
12507,1.31578842,4.34110052,-1.59512146,5.71196981,0.27443605,EXPECTED
12660,1.27275917,5.02497855,-2.11350713,6.39558754,0.24118712,EXPECTED
12738,1.30895689,4.37131933,-1.58005503,5.72186857,0.26923056,EXPECTED
12903,1.21840976,5.04621182,-1.56952580,6.14835374,0.19754653,EXPECTED
12948,1.25936299,4.31755707,-1.56683432,5.43737157,0.23060603,EXPECTED
13038,1.25100829,4.01068552,-1.56130833,5.01740085,0.22394986,EXPECTED
13158,1.26496288,4.26800047,-1.55397961,5.39886216,0.23504278,EXPECTED
13233,1.25247548,4.38564874,-1.54934242,5.49291752,0.22512198,EXPECTED
13422,1.26963406,3.79236461,-1.53807794,4.81491527,0.23872871,EXPECTED
13464,1.25632793,4.77905836,-1.53567209,6.00406447,0.22819312,EXPECTED
13572,1.27474809,4.49810080,-1.52951884,5.73394538,0.24274858,EXPECTED
13728,1.25007768,4.93753218,-1.52056567,6.17229878,0.22320569,EXPECTED
13761,1.26958581,4.44439098,-1.51873448,5.64253571,0.23869071,EXPECTED
13899,1.27024847,4.00261064,-1.51111165,5.08431005,0.23921253,EXPECTED
14022,1.25199348,4.28159861,-1.50428525,5.36053354,0.22473707,EXPECTED
14079,1.21528130,4.65281226,-1.50122649,5.65447575,0.19497558,EXPECTED
14250,1.27575059,5.53194367,-1.98957009,7.05738041,0.24353471,EXPECTED
14352,1.24046647,4.60199413,-1.48679286,5.70861943,0.21548750,EXPECTED
14469,1.24997267,5.33433943,-1.77682144,6.66777851,0.22312169,EXPECTED
14586,1.25448204,5.41340714,-1.47481908,6.79102201,0.22672277,EXPECTED
14619,1.24309551,4.45981313,-1.47317133,5.54397368,0.21760465,EXPECTED
14751,1.21287308,4.49327725,-1.46649058,5.44977502,0.19299199,EXPECTED
14877,1.20232600,4.38956601,-1.46024569,5.27768935,0.18425801,EXPECTED
14982,1.23471217,4.49056351,-1.45516205,5.54455341,0.21083788,EXPECTED
16074,1.19109260,4.36015162,-1.40564307,5.19334436,0.17487104,EXPECTED
17148,1.20044102,3.96825189,-1.36223130,4.76365235,0.18268901,EXPECTED
18381,1.18609169,4.61081396,-1.31806700,5.46884812,0.17066361,EXPECTED
19536,1.15198722,4.80583231,-1.28113713,5.53625742,0.14148847,EXPECTED
20064,1.19483667,5.00029180,-1.26554761,5.97453201,0.17800950,EXPECTED
21021,1.14945499,6.25966869,-1.48685988,7.19520742,0.13928791,EXPECTED
22671,1.17057283,4.74495729,-1.19817800,5.55431806,0.15749322,EXPECTED
23463,1.15786172,4.81331543,-1.18039969,5.57315369,0.14657496,EXPECTED
25080,1.17969049,6.82310971,-1.52963656,8.04915766,0.16525211,EXPECTED
25674,1.15050429,4.79565292,-1.13603685,5.51741928,0.14020036,EXPECTED
26679,1.15856585,4.20708382,-1.11810081,4.87418366,0.14718291,EXPECTED
28404,1.14624096,4.25461987,-1.09007015,4.87681956,0.13648786,EXPECTED
28899,1.12510758,5.06729398,-1.08260030,5.70125086,0.11787866,EXPECTED
30399,1.13683895,4.26315817,-1.06135038,4.84652426,0.12825156,EXPECTED
32292,1.12528980,5.04698421,-1.03724404,5.67931985,0.11804060,EXPECTED
32712,1.11566884,4.61126516,-1.03222934,5.14464485,0.10945408,EXPECTED
33858,1.11191478,5.24371406,-1.01921219,5.83056317,0.10608356,EXPECTED
35178,1.09911411,5.61277548,-1.00518478,6.16908071,0.09450450,EXPECTED
36465,1.12773673,7.85331222,-1.32331333,8.85646864,0.12021273,EXPECTED
37752,1.12583441,5.47150180,-0.98063185,6.16000499,0.11852446,EXPECTED
38907,1.11950107,4.98949027,-0.97066664,5.58573970,0.11288311,EXPECTED
39666,1.08635215,4.95966069,-0.96442136,5.38793804,0.08282543,EXPECTED
41145,1.13270473,6.50853773,-1.27052268,7.37225149,0.12460834,EXPECTED
42624,1.12130585,4.53236208,-0.94219699,5.08216412,0.11449395,EXPECTED
43446,1.11216533,4.88014936,-0.93657001,5.42753294,0.10630887,EXPECTED
44682,1.10271221,4.99387653,-0.92853029,5.50680861,0.09777279,EXPECTED
46134,1.11018301,5.01946319,-0.91963439,5.57252275,0.10452488,EXPECTED
47058,1.11710417,5.49434880,-0.91427031,6.13775994,0.11073977,EXPECTED
48312,1.08810939,5.10616830,-0.90734778,5.55606967,0.08444169,EXPECTED
49302,1.11759802,5.08405177,-0.90214853,5.68192619,0.11118176,EXPECTED
50622,1.10414701,5.66822730,-0.89556522,6.25855621,0.09907310,EXPECTED
51651,1.12162383,4.43379043,-0.89068259,4.97304502,0.11477749,EXPECTED
52701,1.11638857,5.03066820,-0.88592875,5.61618048,0.11009898,EXPECTED
53502,1.11014864,4.61404125,-0.88244158,5.12227162,0.10449392,EXPECTED
55161,1.10726553,4.46949658,-0.87557031,4.94891950,0.10189349,EXPECTED
56292,1.11435998,4.45130515,-0.87116401,4.96035630,0.10828023,EXPECTED
57321,1.11579185,5.07614644,-0.86732079,5.66392283,0.10956433,EXPECTED
58806,1.11421934,5.05034045,-0.86205652,5.62718703,0.10815402,EXPECTED
58956,1.12745091,4.81435487,-0.86153959,5.42794877,0.11995925,EXPECTED
60489,1.11091378,5.73662423,-0.85646231,6.37289488,0.10518290,EXPECTED
62073,1.11252706,5.40839559,-0.85154293,6.01698645,0.10663406,EXPECTED
62781,1.10236245,4.83080783,-0.84943819,5.32530117,0.09745556,EXPECTED
64020,1.10938043,6.83780709,-1.12787362,7.58572936,0.10380169,EXPECTED
65274,1.10468645,5.50201909,-0.84250322,6.07800591,0.09956154,EXPECTED
66861,1.10097454,5.45691712,-0.83844382,6.00792682,0.09619573,EXPECTED
67932,1.09664507,5.00160416,-0.83584319,5.48498457,0.09225559,EXPECTED
69186,1.11535939,4.97782818,-0.83293624,5.55206743,0.10917668,EXPECTED
69432,1.10494932,5.10194274,-0.83238108,5.63738813,0.09979947,EXPECTED
71424,1.10617774,4.67576882,-0.82809258,5.17223137,0.10091059,EXPECTED
72633,1.10801714,5.37829899,-0.82565998,5.95924747,0.10257206,EXPECTED
73086,1.11265867,4.98540814,-0.82477523,5.54705761,0.10675235,EXPECTED
74961,1.09500000,4.49955474,-0.82129837,4.92701242,0.09075436,EXPECTED
76032,1.10727118,5.09186132,-0.81942662,5.63807131,0.10189860,EXPECTED
77187,1.11093023,5.09626375,-0.81749525,5.66159349,0.10519771,EXPECTED
77481,1.10741562,4.50369087,-0.81701762,4.98745762,0.10202903,EXPECTED
78861,1.09911716,4.58114248,-0.81486508,5.03521230,0.09450727,EXPECTED
80223,1.09745266,6.06548222,-0.81285158,6.65657957,0.09299173,EXPECTED
81171,1.10205173,4.72328587,-0.81151803,5.20530536,0.09717365,EXPECTED
82863,1.10587282,5.30547839,-0.80927931,5.86718437,0.10063491,EXPECTED
83691,1.10267025,4.87663010,-0.80823823,5.37731495,0.09773474,EXPECTED
85371,1.11448936,5.67464034,-0.80624719,6.32432628,0.10839633,EXPECTED
85734,1.09526446,5.11867359,-0.80583278,5.60630129,0.09099585,EXPECTED
87153,1.09753756,5.49979907,-0.80429442,6.03623604,0.09306909,EXPECTED
88869,1.10872665,5.11028059,-0.80256093,5.66590429,0.10321220,EXPECTED
89934,1.10928553,5.00661151,-0.80155746,5.55376171,0.10371614,EXPECTED
90480,1.11671332,6.95597028,-1.06807833,7.76782469,0.11038984,EXPECTED
91314,1.09327076,4.89680054,-0.80033016,5.35352883,0.08917390,EXPECTED
92706,1.08787814,4.52058937,-0.79917921,4.91785036,0.08422914,EXPECTED
93678,1.09633947,5.00938584,-0.79842153,5.49198740,0.09197687,EXPECTED
94809,1.10108443,6.07994850,-0.79758841,6.69453660,0.09629554,EXPECTED
95931,1.10544897,5.87838558,-0.79681619,6.49825529,0.10025156,EXPECTED
97812,1.11694078,6.03118825,-0.79562798,6.73648011,0.11059350,EXPECTED
98901,1.10422820,5.28408062,-0.79499554,5.83483086,0.09914663,EXPECTED
100266,1.09825447,4.88526746,-0.79426544,5.36526683,0.09372207,EXPECTED
101376,1.09389346,5.11639442,-0.79371924,5.59679037,0.08974331,EXPECTED
101706,1.10538936,5.49321960,-0.79356613,6.07214650,0.10019764,EXPECTED
103248,1.10056499,4.54858712,-0.79289228,5.00601574,0.09582368,EXPECTED
104481,1.11054875,5.48798582,-0.79240928,6.09467577,0.10485426,EXPECTED
105699,1.10460764,5.11981783,-0.79197509,5.65538988,0.09949019,EXPECTED
106458,1.10729900,5.12185947,-0.79172837,5.67142988,0.10192372,EXPECTED
108537,1.10636372,5.96296764,-0.79113927,6.59721106,0.10107871,EXPECTED
108627,1.09589612,4.52788370,-0.79111738,4.96209017,0.09157240,EXPECTED
110331,1.11037796,5.44376158,-0.79072963,6.04463290,0.10470046,EXPECTED
111369,1.10026597,4.52837957,-0.79053112,4.98242193,0.09555194,EXPECTED
112530,1.11416389,7.09752445,-1.05378779,7.90780542,0.10810425,EXPECTED
113883,1.10300984,6.89631818,-0.94819921,7.60670683,0.09804266,EXPECTED
115302,1.10049150,5.12296208,-0.79002934,5.63777622,0.09575690,EXPECTED
115863,1.11143203,5.12128070,-0.78998979,5.69195540,0.10564930,EXPECTED
116763,1.10055712,4.52879931,-0.78994008,4.98420231,0.09581652,EXPECTED
118404,1.10179649,5.96381529,-0.78990057,6.57091078,0.09694202,EXPECTED
119184,1.10556479,5.04282834,-0.78990181,5.57517347,0.10035633,EXPECTED
120549,1.09794760,5.67981941,-0.78993995,6.23614407,0.09344262,EXPECTED
121803,1.08556625,5.12098725,-0.79000842,5.55917094,0.08210174,EXPECTED
122538,1.11358565,5.01556061,-0.79006404,5.58525633,0.10758512,EXPECTED
124674,1.10591597,5.12214884,-0.79028729,5.66466618,0.10067392,EXPECTED
125544,1.11455827,4.52896116,-0.79040478,5.04779112,0.10845816,EXPECTED
126108,1.11548952,4.76079826,-0.79049018,5.31062056,0.10929334,EXPECTED
127857,1.11324121,5.20772698,-0.79078991,5.79745631,0.10727577,EXPECTED
129030,1.11335929,7.74965560,-1.05469714,8.62815104,0.10738183,EXPECTED
130251,1.11968674,5.11934379,-0.79129209,5.73206137,0.11304895,EXPECTED
131214,1.10550495,4.84440923,-0.79152440,5.35551838,0.10030220,EXPECTED
132624,1.11587329,4.54370548,-0.79189164,5.07019958,0.10963732,EXPECTED
133584,1.11394224,5.39826051,-0.79216204,6.01335039,0.10790529,EXPECTED
134805,1.11219381,7.48889135,-1.05670363,8.32909859,0.10633447,EXPECTED
135135,1.11714619,9.04567474,-1.26821011,10.10534106,0.11077739,EXPECTED
136884,1.11266249,5.61649995,-0.79320734,6.24926880,0.10675578,EXPECTED
138039,1.08909418,5.31604031,-0.79361395,5.78966856,0.08534632,EXPECTED
139194,1.09951086,5.64117929,-0.79404265,6.20253790,0.09486541,EXPECTED
140160,1.11631303,6.13127843,-1.05922149,6.84442599,0.11003132,EXPECTED
141816,1.11283685,4.85388543,-0.79508935,5.40158256,0.10691247,EXPECTED
142131,1.11224376,5.30193193,-0.79522127,5.89704070,0.10637938,EXPECTED
144279,1.11119755,5.29872597,-0.79616325,5.88793130,0.10543830,EXPECTED
144573,1.10751556,5.66884699,-0.79629709,6.27833627,0.10211928,EXPECTED
146058,1.12141858,5.11438455,-0.79699335,5.73536585,0.11459447,EXPECTED
147261,1.12271381,4.56932995,-0.79757841,5.13004986,0.11574880,EXPECTED
148161,1.11059716,5.26469148,-0.79802882,5.84695140,0.10489785,EXPECTED
149454,1.10815765,5.09999250,-0.79869575,5.65159570,0.10269886,EXPECTED
150579,1.10917297,5.64644494,-0.79929290,6.26288412,0.10361467,EXPECTED
152130,1.12224694,6.82837885,-1.06685718,7.66312728,0.11533287,EXPECTED
152559,1.10427174,5.48475041,-0.80038307,6.05665490,0.09918606,EXPECTED
153846,1.10452856,6.33145037,-0.96134152,6.99326775,0.09941860,EXPECTED
155763,1.11236936,4.52369244,-0.80224962,5.03201685,0.10649230,EXPECTED
156774,1.11524487,5.19465778,-0.80286380,5.79331546,0.10907400,EXPECTED
158139,1.12423546,4.51476686,-0.80371220,5.07566101,0.11710322,EXPECTED
158631,1.12048011,5.74983321,-0.80402354,6.44257378,0.11375727,EXPECTED
159984,1.11389278,5.16315512,-0.80489323,5.75120121,0.10786089,EXPECTED
160908,1.10542708,5.50556500,-0.80549868,6.08600066,0.10023176,EXPECTED
162393,1.11925445,6.75373148,-0.96778987,7.55914404,0.11266280,EXPECTED
163020,1.11059775,8.02352174,-1.07589084,8.91090523,0.10489839,EXPECTED
