START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
7PR45/2,4801,1.856187,4817,1.279990,3.716721e-01,1.219288,4.725684e-01,EXPECTED
7PR23,4909,2.178086,4933,1.296090,5.190945e-01,1.210962,7.283433e-01,EXPECTED
7PR47/2,4987,2.151973,5039,1.312280,4.946190e-01,1.195950,7.021138e-01,EXPECTED
7PR24,5086,2.176695,5119,1.328458,4.937888e-01,1.177239,7.205308e-01,EXPECTED
7PR49/2,5242,2.126897,5237,1.342590,4.600635e-01,1.166036,6.726267e-01,EXPECTED
7PR25,5308,2.217466,5351,1.358221,4.901893e-01,1.151176,7.464063e-01,EXPECTED
7PR51/2,5416,1.965120,5449,1.372779,3.587162e-01,1.135602,5.216097e-01,EXPECTED
7PR26,5557,2.301782,5563,1.385048,5.079488e-01,1.120509,8.181407e-01,EXPECTED
7PR53/2,5596,2.182571,5669,1.397639,4.457192e-01,1.109586,7.074098e-01,EXPECTED
7PR27,5728,2.248387,5749,1.410883,4.659973e-01,1.095477,7.645108e-01,EXPECTED
11PR5/2,5857,2.159168,5879,1.422425,4.173598e-01,1.083021,6.802666e-01,EXPECTED
7PR28,5906,2.349289,5981,1.433952,4.936785e-01,1.066178,8.585217e-01,EXPECTED
7PR57/2,6038,2.309643,6089,1.445527,4.686190e-01,1.063791,8.122987e-01,EXPECTED
7PR29,6131,2.233345,6173,1.456570,4.274161e-01,1.053556,7.372888e-01,EXPECTED
7PR59/2,6218,2.356115,6299,1.467521,4.734395e-01,1.042351,8.524902e-01,EXPECTED
7PR30,6353,2.124621,6397,1.477937,3.629462e-01,1.032452,6.263574e-01,EXPECTED
7PR61/2,6421,2.298798,6469,1.488715,4.344730e-01,1.019752,7.943922e-01,EXPECTED
7PR31,6568,2.399779,6607,1.498922,4.706305e-01,1.010449,8.915413e-01,EXPECTED
7PR63/2,6719,2.265862,6719,1.508014,4.071617e-01,1.000490,7.574768e-01,EXPECTED
7PR32,6791,2.430712,6823,1.517785,4.709322e-01,0.989941,9.222034e-01,EXPECTED
7PR65/2,6863,2.365471,6917,1.526393,4.380697e-01,0.981592,8.548134e-01,EXPECTED
11PR3,7024,2.323062,7027,1.536006,4.137006e-01,0.975230,8.070465e-01,EXPECTED
7PR67/2,7108,2.390305,7129,1.544161,4.369403e-01,0.959801,8.815827e-01,EXPECTED
7PR34,7219,2.055910,7243,1.552975,2.805461e-01,0.958220,5.248638e-01,EXPECTED
7PR69/2,7246,2.136908,7349,1.560721,3.142120e-01,0.950431,6.062376e-01,EXPECTED
7PR35,7351,2.199762,7451,1.568697,3.381038e-01,0.943123,6.691227e-01,EXPECTED
7PR71/2,7522,2.372402,7559,1.576647,4.086025e-01,0.934654,8.513899e-01,EXPECTED
7PR36,7561,2.321013,7649,1.584243,3.818970e-01,0.926688,7.950572e-01,EXPECTED
7PR73/2,7727,2.199214,7759,1.591941,3.231460e-01,0.916857,6.623421e-01,EXPECTED
7PR37,7846,2.336977,7873,1.599968,3.788746e-01,0.909974,8.099231e-01,EXPECTED
7PR75/2,7951,2.232082,7963,1.606252,3.290313e-01,0.902628,6.933421e-01,EXPECTED
7PR38,8062,2.328303,8081,1.613953,3.664532e-01,0.892596,8.003061e-01,EXPECTED
11PR7/2,8116,2.236375,8179,1.620036,3.224079e-01,0.891166,6.916096e-01,EXPECTED
7PR39,8224,2.292547,8192,1.626473,3.432496e-01,0.879432,7.573911e-01,EXPECTED
7PR79/2,8311,2.234912,8389,1.633246,3.136324e-01,0.878207,6.851073e-01,EXPECTED
7PR40,8429,2.249292,8501,1.640034,3.158985e-01,0.868829,7.012404e-01,EXPECTED
7PR81/2,8599,2.329117,8609,1.646214,3.470111e-01,0.865512,7.890162e-01,EXPECTED
7PR41,8614,2.287560,8713,1.652602,3.251347e-01,0.858712,7.394307e-01,EXPECTED
7PR83/2,8777,2.179478,8819,1.658066,2.734335e-01,0.853614,6.108288e-01,EXPECTED
7PR42,8839,2.279660,8923,1.663773,3.149384e-01,0.845730,7.282312e-01,EXPECTED
7PR85/2,9014,2.281605,9029,1.669676,3.122495e-01,0.840858,7.277436e-01,EXPECTED
7PR43,9091,2.412999,9133,1.675667,3.646591e-01,0.835351,8.826613e-01,EXPECTED
7PR87/2,9173,2.323530,9239,1.680701,3.238766e-01,0.826526,7.777481e-01,EXPECTED
11PR4,9283,2.301998,9343,1.686051,3.113883e-01,0.825528,7.461249e-01,EXPECTED
7PR89/2,9349,2.396602,9439,1.691496,3.484386e-01,0.820476,8.593865e-01,EXPECTED
7PR45,9511,2.294051,9551,1.697028,3.014408e-01,0.815065,7.324851e-01,EXPECTED
7PR91/2,9649,2.163663,9649,1.702462,2.397272e-01,0.809263,5.699025e-01,EXPECTED
7PR46,9748,2.284701,9749,1.706628,2.917157e-01,0.804992,7.181102e-01,EXPECTED
7PR93/2,9817,2.375649,9829,1.711562,3.278643e-01,0.796926,8.333107e-01,EXPECTED
7PR47,9941,2.284239,9973,1.716326,2.858470e-01,0.795271,7.141125e-01,EXPECTED
7PR95/2,10078,2.360845,10079,1.721840,3.156261e-01,0.789900,8.089695e-01,EXPECTED
7PR48,10174,2.343381,10181,1.726120,3.057186e-01,0.782281,7.890528e-01,EXPECTED
7PR97/2,10273,2.292671,10289,1.730547,2.812800e-01,0.778428,7.221272e-01,EXPECTED
7PR49,10369,2.243034,10391,1.735137,2.567430e-01,0.774799,6.555210e-01,EXPECTED
11PR9/2,10462,2.194423,10499,1.739217,2.324841e-01,0.771620,5.899355e-01,EXPECTED
7PR50,10501,2.449522,10601,1.743417,3.400459e-01,0.764781,9.232774e-01,EXPECTED
7PR101/2,10687,2.319381,10709,1.747682,2.830100e-01,0.762776,7.494979e-01,EXPECTED
