START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
7PR17,3646,2.455534,3673,2.875906,3570,9.60081056,3570,9.81672946,3622,4.244202029,4.359341164,3571,2.555063,3570,10.13855779,3673,1.343084,3570,11.34736998
7PR35/2,3754,2.438505,3739,2.875875,3675,9.27612589,3675,9.20039252,3727,4.193317663,4.349258233,3677,2.556401,3675,9.51993894,3779,1.340360,3675,10.73326029
7PR18,3856,2.461009,3881,2.874925,3780,8.74613782,3780,9.20009129,3832,4.225888182,4.353412187,3793,2.558699,3780,9.51749825,3881,1.336476,3780,10.73561122
7PR37/2,3931,2.460542,3947,2.874887,3885,9.21090464,3885,9.46016660,3937,4.257518367,4.349519496,3889,2.559596,3885,9.77556621,3989,1.332902,3885,10.99873615
7PR19,4021,2.312876,4093,2.873962,3990,9.34051886,3990,9.73805545,4042,4.223035858,4.361236282,4013,2.560863,3990,10.05157046,4093,1.328272,3990,11.28004732
7PR39/2,4162,2.490765,4096,2.873200,4095,9.77935650,4095,10.03028563,4147,4.214460380,4.352493594,4096,2.561437,4095,10.34206533,4198,1.323884,4095,11.57610400
7PR20,4276,2.439237,4297,2.873027,4200,8.87827639,4290,9.28422306,4252,4.229494740,4.351673391,4201,2.562990,4290,9.59299436,4297,1.319044,4290,10.83790648
7PR41/2,4376,2.593592,4409,2.872179,4305,9.04285036,4305,9.42721200,4357,4.199377771,4.348404599,4327,2.564779,4305,9.73576092,4409,1.313195,4305,10.98153755
7PR21,4423,2.571975,4513,2.872106,4410,8.84322146,4410,9.18871638,4462,4.240471196,4.347553901,4421,2.565247,4410,9.49579319,4513,1.308187,4410,10.74774705
7PR43/2,4612,2.584675,4583,2.871316,4515,9.38858517,4515,9.41281225,4567,4.247102017,4.344890287,4583,2.566466,4515,9.71850454,4618,1.302697,4515,10.97682830
11PR2,4702,2.515295,4723,2.871212,4620,10.00988298,4620,10.20663834,4672,4.253822921,4.350933867,4621,2.566911,4620,10.51102836,4723,1.296546,4620,11.77590609
7PR45/2,4801,2.322255,4789,2.870452,4725,8.84723064,4725,9.18592852,4777,4.265264480,4.347774369,4783,2.567925,4725,9.48909366,4817,1.290633,4725,10.76070160
7PR23,4933,2.423397,4933,2.870341,4830,9.57974544,4830,9.62059301,4882,4.262918580,4.346349278,4831,2.568419,4830,9.92260617,4933,1.283958,4830,11.20111339
7PR47/2,4987,2.610945,4999,2.869608,4935,9.09232218,4935,9.38729676,4987,4.291509691,4.349022307,4957,2.568909,4935,9.68822669,5039,1.276938,4935,10.97379569
