START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR18,552583,2.707739,555523,2.664753,1.600260e-02,0.126989,3.385018e-01,EXPECTED
13PR37/2,562924,2.700983,570569,2.666493,1.285165e-02,0.124529,2.769636e-01,EXPECTED
13PR19,575074,2.707553,585581,2.668397,1.456736e-02,0.122333,3.200772e-01,EXPECTED
13PR39/2,597196,2.719362,600577,2.670158,1.825965e-02,0.120305,4.089938e-01,EXPECTED
13PR20,612022,2.699256,615607,2.671523,1.032746e-02,0.118551,2.339331e-01,EXPECTED
13PR41/2,627961,2.704537,630613,2.673214,1.164924e-02,0.116626,2.685765e-01,EXPECTED
13PR21,641764,2.705741,645641,2.674827,1.149111e-02,0.114830,2.692154e-01,EXPECTED
13PR43/2,651143,2.714979,660659,2.676216,1.438036e-02,0.112968,3.431326e-01,EXPECTED
13PR22,661378,2.712894,675643,2.677597,1.309621e-02,0.111281,3.171880e-01,EXPECTED
13PR45/2,676849,2.707465,690689,2.678953,1.058673e-02,0.109758,2.597715e-01,EXPECTED
13PR23,691816,2.696229,705689,2.680097,6.001142e-03,0.108349,1.488892e-01,EXPECTED
13PR47/2,712717,2.711910,720703,2.681408,1.131115e-02,0.106723,2.858053e-01,EXPECTED
13PR24,722341,2.717417,735733,2.682573,1.290539e-02,0.105388,3.306259e-01,EXPECTED
13PR49/2,750157,2.718731,750749,2.683742,1.295314e-02,0.103804,3.370679e-01,EXPECTED
13PR25,762766,2.709254,765763,2.684676,9.113270e-03,0.102659,2.394140e-01,EXPECTED
17PR3/2,767212,2.718867,780733,2.685657,1.228986e-02,0.101456,3.273340e-01,EXPECTED
13PR26,784864,2.715502,795793,2.686745,1.064641e-02,0.100112,2.872483e-01,EXPECTED
13PR53/2,798256,2.715503,810809,2.687918,1.021029e-02,0.098978,2.786983e-01,EXPECTED
13PR27,813091,2.709646,825821,2.688655,7.776930e-03,0.097791,2.146517e-01,EXPECTED
13PR55/2,827227,2.723557,840839,2.689495,1.258530e-02,0.096784,3.519383e-01,EXPECTED
13PR28,842383,2.721490,855851,2.690351,1.150786e-02,0.095628,3.256264e-01,EXPECTED
13PR57/2,867668,2.719625,870853,2.691420,1.042507e-02,0.094323,2.990257e-01,EXPECTED
