START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
17PR233/2,59489687,2.516009,59729633,2.289191,9.447544e-02,86.115508,7.667273e+00
17PR117,59914369,2.514548,59984921,2.289533,9.374520e-02,86.115508,7.635197e+00
17PR235/2,60031603,2.527287,60240179,2.289873,9.865004e-02,86.943694,8.009338e+00
17PR118,60457972,2.513486,60495433,2.290190,9.303585e-02,86.943694,7.561407e+00
17PR237/2,60739508,2.516671,60750689,2.290523,9.415682e-02,86.943694,7.686683e+00
17PR119,60794542,2.512618,61005929,2.290834,9.240929e-02,86.943694,7.566483e+00
17PR239/2,61122664,2.515439,61261199,2.291161,9.338867e-02,86.943694,7.680008e+00
17PR120,61360844,2.520177,61516447,2.291466,9.513735e-02,86.943694,7.860794e+00
17PR241/2,61669714,2.503617,61771691,2.291787,8.840462e-02,86.943694,7.307429e+00
17PR121,61783354,2.508194,62026961,2.292087,9.010022e-02,87.787965,7.410379e+00
17PR243/2,62050424,2.513876,62282179,2.292384,9.223346e-02,87.787965,7.622794e+00
17PR122,62397541,2.521932,62537473,2.292695,9.529729e-02,87.787965,7.918071e+00
17PR245/2,62556371,2.518878,62792693,2.292986,9.395867e-02,87.787965,7.830821e+00
17PR123,62840422,2.532402,63047981,2.293275,9.918733e-02,88.632236,8.240321e+00
19PR13/2,63278701,2.515504,63303217,2.293565,9.236581e-02,88.632236,7.675530e+00
17PR124,63436831,2.511884,63558491,2.293861,9.079665e-02,88.632236,7.567114e+00
17PR249/2,63709222,2.499094,63813731,2.294141,8.556978e-02,88.632236,7.138864e+00
17PR125,64055518,2.500642,64069003,2.294418,8.606828e-02,88.632236,7.208666e+00
17PR251/2,64324174,2.517731,64324237,2.294693,9.275903e-02,88.632236,7.824006e+00
17PR126,64498708,2.506541,64579511,2.294965,8.818612e-02,88.632236,7.448100e+00
17PR253/2,64742518,2.512222,64834751,2.295235,9.033239e-02,89.492903,7.591691e+00
17PR127,64986949,2.505094,65090021,2.295502,8.737470e-02,89.492903,7.358619e+00
17PR255/2,65163442,2.492070,65345279,2.295766,8.204713e-02,89.492903,6.916106e+00
17PR128,65578417,2.506502,65600489,2.296028,8.770748e-02,89.492903,7.441075e+00
17PR257/2,65613622,2.533115,65855771,2.296288,9.815586e-02,90.353570,8.321681e+00
17PR129,66050896,2.515060,66111043,2.296545,9.089084e-02,90.353570,7.704681e+00
17PR259/2,66211177,2.529710,66366281,2.296794,9.659043e-02,90.353570,8.240629e+00
17PR130,66518266,2.525570,66621551,2.297036,9.484718e-02,90.353570,8.113234e+00
17PR261/2,66694819,2.533952,66876791,2.297285,9.805215e-02,90.353570,8.430575e+00
17PR131,66935164,2.528346,67108864,2.297532,9.572983e-02,90.353570,8.247439e+00
17PR263/2,67291058,2.532522,67387291,2.297775,9.727438e-02,90.353570,8.418905e+00
17PR132,67525193,2.513006,67642571,2.298005,8.943829e-02,90.353570,7.736704e+00
17PR265/2,67707368,2.497161,67897807,2.298244,8.300913e-02,91.230953,7.112868e+00
19PR7,68118623,2.489865,68153077,2.298478,7.998133e-02,91.230953,6.866482e+00
17PR267/2,68277257,2.504852,68408339,2.298703,8.588460e-02,91.230953,7.420730e+00
17PR134,68504393,2.519971,68663593,2.298936,9.180099e-02,91.230953,7.982972e+00
17PR269/2,68745296,2.515756,68918771,2.299152,9.003300e-02,92.108335,7.774022e+00
17PR135,69051863,2.510050,69174101,2.299381,8.766272e-02,92.108335,7.585916e+00
17PR271/2,69332183,2.528104,69429337,2.299593,9.473746e-02,92.108335,8.255375e+00
17PR136,69554384,2.492717,69684611,2.299817,8.054373e-02,92.108335,6.991643e+00
17PR273/2,69829418,2.511493,69939847,2.300025,8.795740e-02,92.108335,7.689598e+00
17PR137,69966158,2.522050,70195093,2.300237,9.205990e-02,92.108335,8.091945e+00
17PR275/2,70424516,2.525844,70450379,2.300447,9.347181e-02,92.108335,8.249281e+00
17PR138,70677791,2.521935,70705627,2.300649,9.183521e-02,93.002758,8.046775e+00
17PR277/2,70744162,2.518057,70960871,2.300856,9.020634e-02,93.002758,7.923581e+00
17PR139,71094883,2.532901,71216129,2.301060,9.599540e-02,93.002758,8.484707e+00
17PR279/2,71233268,2.512663,71471363,2.301255,8.788852e-02,93.002758,7.761576e+00
17PR140,71708044,2.527060,71726651,2.301449,9.351765e-02,93.002758,8.309330e+00
17PR281/2,71810524,2.511604,71981879,2.301645,8.729751e-02,93.897180,7.683438e+00
17PR141,72002842,2.512037,72237163,2.301843,8.738387e-02,93.897180,7.716298e+00
