START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR173/2,2612419,2.590050,2612549,2.576804,5.127309e-03,0.081319,1.628894e-01,EXPECTED
13PR87,2622619,2.592665,2627617,2.577086,6.027001e-03,0.081034,1.922526e-01,EXPECTED
13PR175/2,2640928,2.597647,2642639,2.577325,7.853996e-03,0.080781,2.515691e-01,EXPECTED
13PR88,2653489,2.589649,2657651,2.577551,4.682622e-03,0.080553,1.501868e-01,EXPECTED
13PR177/2,2662903,2.599814,2672639,2.577865,8.478367e-03,0.080254,2.734942e-01,EXPECTED
13PR89,2683354,2.590833,2687677,2.578038,4.950801e-03,0.080040,1.598576e-01,EXPECTED
13PR179/2,2695961,2.593039,2702681,2.578323,5.691359e-03,0.079750,1.845266e-01,EXPECTED
13PR90,2717602,2.598752,2717713,2.578540,7.807983e-03,0.079530,2.541431e-01,EXPECTED
13PR181/2,2719121,2.594914,2732701,2.578874,6.200506e-03,0.079214,2.024895e-01,EXPECTED
13PR91,2739127,2.593271,2747713,2.579062,5.494246e-03,0.078990,1.798835e-01,EXPECTED
13PR183/2,2759311,2.597895,2762759,2.579285,7.189273e-03,0.078757,2.362965e-01,EXPECTED
13PR92,2774917,2.605239,2777771,2.579528,9.917981e-03,0.078522,3.274369e-01,EXPECTED
13PR185/2,2781718,2.593394,2792773,2.579772,5.266420e-03,0.078262,1.740564e-01,EXPECTED
13PR93,2798351,2.597376,2807789,2.579994,6.714631e-03,0.078029,2.227633e-01,EXPECTED
17PR11/2,2812492,2.599243,2822819,2.580201,7.352946e-03,0.077834,2.446489e-01,EXPECTED
13PR94,2825503,2.600128,2837803,2.580420,7.608498e-03,0.077597,2.539789e-01,EXPECTED
13PR189/2,2849842,2.600123,2852849,2.580713,7.493034e-03,0.077312,2.510606e-01,EXPECTED
13PR95,2863901,2.601423,2867861,2.580934,7.907254e-03,0.077087,2.657906e-01,EXPECTED
13PR191/2,2873672,2.596843,2882863,2.581159,6.057954e-03,0.076906,2.039373e-01,EXPECTED
13PR96,2895122,2.601897,2897893,2.581428,7.898060e-03,0.076564,2.673450e-01,EXPECTED
13PR193/2,2904764,2.591674,2912893,2.581544,3.916329e-03,0.076431,1.325378e-01,EXPECTED
13PR97,2919424,2.602268,2927917,2.581776,7.905838e-03,0.076191,2.689557e-01,EXPECTED
13PR195/2,2936938,2.587620,2942909,2.581960,2.189734e-03,0.076008,7.446585e-02,EXPECTED
13PR98,2949664,2.600223,2957947,2.582227,6.945006e-03,0.075812,2.373767e-01,EXPECTED
13PR197/2,2970467,2.599407,2972969,2.582412,6.559496e-03,0.075608,2.247778e-01,EXPECTED
13PR99,2980234,2.595608,2987983,2.582647,5.005944e-03,0.075331,1.720540e-01,EXPECTED
13PR199/2,2997242,2.598877,3002981,2.582784,6.211542e-03,0.075159,2.141194e-01,EXPECTED
13PR100,3004042,2.591117,3018013,2.582980,3.145286e-03,0.074966,1.085425e-01,EXPECTED
13PR201/2,3021439,2.592341,3033011,2.583265,3.507226e-03,0.074682,1.215286e-01,EXPECTED
13PR101,3040787,2.595932,3048043,2.583449,4.820276e-03,0.074506,1.675436e-01,EXPECTED
13PR203/2,3053924,2.607868,3063059,2.583574,9.359318e-03,0.074363,3.266947e-01,EXPECTED
17PR6,3066709,2.591466,3078073,2.583745,2.983842e-03,0.074165,1.041057e-01,EXPECTED
13PR205/2,3092806,2.597068,3093071,2.584010,5.040661e-03,0.073928,1.766313e-01,EXPECTED
13PR103,3107012,2.604617,3108103,2.584204,7.868109e-03,0.073711,2.769329e-01,EXPECTED
13PR207/2,3115766,2.600286,3123091,2.584339,6.151670e-03,0.073572,2.167537e-01,EXPECTED
13PR104,3127703,2.602558,3138131,2.584553,6.942235e-03,0.073328,2.455406e-01,EXPECTED
13PR209/2,3144191,2.605823,3153149,2.584721,8.130984e-03,0.073167,2.884087e-01,EXPECTED
13PR105,3159916,2.603373,3168119,2.584885,7.126892e-03,0.073001,2.532568e-01,EXPECTED
13PR211/2,3177964,2.601562,3183179,2.585106,6.345521e-03,0.072772,2.261309e-01,EXPECTED
13PR106,3192643,2.602437,3198191,2.585230,6.633835e-03,0.072628,2.369196e-01,EXPECTED
13PR213/2,3201973,2.598668,3213163,2.585438,5.104073e-03,0.072415,1.826970e-01,EXPECTED
13PR107,3226558,2.596537,3228223,2.585634,4.207895e-03,0.072237,1.509337e-01,EXPECTED
13PR215/2,3235957,2.604722,3243239,2.585824,7.281732e-03,0.072019,2.624030e-01,EXPECTED
13PR108,3245252,2.608783,3258247,2.585975,8.781216e-03,0.071862,3.173861e-01,EXPECTED
13PR217/2,3260314,2.604682,3273269,2.586170,7.132578e-03,0.071673,2.582842e-01,EXPECTED
13PR109,3275093,2.605763,3288269,2.586296,7.498794e-03,0.071538,2.721211e-01,EXPECTED
13PR219/2,3290396,2.600457,3303281,2.586562,5.357618e-03,0.071260,1.949902e-01,EXPECTED
13PR110,3317926,2.603487,3318307,2.586660,6.484232e-03,0.071176,2.364140e-01,EXPECTED
17PR13/2,3326234,2.605172,3333313,2.586847,7.058940e-03,0.070973,2.581968e-01,EXPECTED
13PR111,3341761,2.604131,3348307,2.587079,6.569590e-03,0.070741,2.410483e-01,EXPECTED
13PR223/2,3354079,2.597185,3363343,2.587166,3.865098e-03,0.070639,1.418338e-01,EXPECTED
13PR112,3364727,2.596771,3378373,2.587387,3.620264e-03,0.070486,1.331328e-01,EXPECTED
13PR225/2,3380669,2.605672,3393373,2.587508,6.995357e-03,0.070338,2.582388e-01,EXPECTED
13PR113,3395806,2.609983,3408389,2.587643,8.596285e-03,0.070155,3.184377e-01,EXPECTED
13PR227/2,3411274,2.603699,3423419,2.587870,6.097983e-03,0.069914,2.264067e-01,EXPECTED
13PR114,3434458,2.611137,3438419,2.587946,8.921248e-03,0.069830,3.321065e-01,EXPECTED
13PR229/2,3439621,2.611954,3453409,2.588129,9.163379e-03,0.069644,3.420970e-01,EXPECTED
13PR115,3464267,2.603425,3468463,2.588349,5.807665e-03,0.069421,2.171677e-01,EXPECTED
