START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
7PR65,13729,2.650184,13751,2.849420,-7.248639e-02
7PR131/2,13807,2.611516,13859,2.849353,-8.716106e-02
11PR6,13954,2.536756,13963,2.849288,-1.161830e-01
7PR133/2,14029,2.591831,14057,2.848978,-9.459576e-02
7PR67,14164,2.624206,14173,2.848908,-8.215739e-02
7PR135/2,14258,2.649455,14243,2.848865,-7.256671e-02
7PR68,14374,2.632459,14369,2.848542,-7.888889e-02
7PR137/2,14479,2.617117,14489,2.848470,-8.470868e-02
7PR69,14566,2.643041,14593,2.848408,-7.483009e-02
7PR139/2,14629,2.672066,14699,2.848344,-6.388582e-02
7PR70,14767,2.614281,14797,2.848045,-8.564369e-02
7PR141/2,14821,2.619218,14897,2.847986,-8.373628e-02
7PR71,14944,2.614567,15013,2.847918,-8.548970e-02
13PR/2,15901,2.583324,16141,2.846359,-9.696369e-02
11PR7,16519,2.517418,17321,2.845081,-1.223578e-01
11PR15/2,18451,2.589383,18461,2.843892,-9.375391e-02
11PR8,18859,2.606662,19609,2.842759,-8.670458e-02
11PR17/2,20101,2.565478,20789,2.841669,-1.022467e-01
11PR9,21304,2.598940,21943,2.840806,-8.898415e-02
11PR19/2,22447,2.582260,23099,2.839819,-9.507533e-02
11PR10,23719,2.582388,24251,2.838877,-9.469400e-02
11PR21/2,24919,2.581163,25409,2.838118,-9.490108e-02
11PR11,26008,2.621855,26561,2.837250,-7.895319e-02
11PR23/2,26704,2.558655,27701,2.836553,-1.031079e-01
11PR12,28384,2.599822,28871,2.835742,-8.686065e-02
11PR25/2,29177,2.586378,30029,2.835089,-9.181489e-02
13PR,30169,2.616827,31183,2.834340,-7.984659e-02
11PR27/2,31981,2.638378,32327,2.833735,-7.143130e-02
11PR14,32749,2.614675,33493,2.833141,-8.024618e-02
11PR29/2,34274,2.641644,34649,2.832568,-6.978227e-02
11PR15,35792,2.587385,35803,2.831909,-9.030333e-02
11PR31/2,36118,2.617519,36947,2.831374,-7.853518e-02
11PR16,37594,2.622787,38113,2.830848,-7.633882e-02
11PR33/2,38593,2.596521,39251,2.830344,-8.622579e-02
11PR17,39841,2.654850,40423,2.829843,-6.383308e-02
11PR35/2,41011,2.576329,41579,2.829360,-9.368502e-02
11PR18,41851,2.621287,42727,2.828891,-7.621934e-02
11PR37/2,42808,2.637632,43889,2.828431,-6.984060e-02
11PR19,44236,2.646010,45013,2.827990,-6.651337e-02
13PR3/2,45328,2.650025,46199,2.827546,-6.484012e-02
11PR20,46681,2.671875,47353,2.827119,-5.647770e-02
11PR41/2,47638,2.578883,48497,2.826781,-9.178225e-02
11PR21,49549,2.625421,49663,2.826369,-7.375158e-02
11PR43/2,50671,2.638319,50789,2.825975,-6.871147e-02
11PR22,51826,2.667897,51973,2.825578,-5.742242e-02
11PR45/2,53069,2.643542,53129,2.825194,-6.645735e-02
11PR23,54134,2.667073,54277,2.824889,-5.748746e-02
11PR47/2,55201,2.650804,55439,2.824520,-6.347545e-02
11PR24,56209,2.650294,56591,2.824159,-6.354004e-02
11PR49/2,56752,2.599759,57737,2.823807,-8.266723e-02
11PR25,58789,2.653543,58901,2.823522,-6.208931e-02
11PR51/2,59734,2.643482,60041,2.823184,-6.576834e-02
13PR2,61207,2.662977,61211,2.822847,-5.830128e-02
11PR53/2,62207,2.671100,62351,2.822581,-5.516134e-02
11PR27,62956,2.621547,63521,2.822256,-7.377196e-02
11PR55/2,64606,2.658014,64679,2.821938,-5.984466e-02
11PR28,65449,2.648748,65831,2.821684,-6.324679e-02
11PR57/2,66721,2.662907,66977,2.821379,-5.780739e-02
11PR29,67904,2.676026,68141,2.821131,-5.280501e-02
11PR59/2,68416,2.677734,69263,2.820839,-5.206344e-02
11PR30,70264,2.648131,70451,2.820596,-6.309410e-02
11PR61/2,71419,2.655006,71597,2.820309,-6.039954e-02
11PR31,72064,2.590047,72763,2.820076,-8.508781e-02
11PR63/2,73624,2.681921,73907,2.819799,-5.013228e-02
11PR32,74584,2.677169,75041,2.819578,-5.182734e-02
13PR5/2,76036,2.671692,76213,2.819304,-5.377807e-02
11PR33,76861,2.681116,77383,2.819084,-5.017888e-02
11PR67/2,77899,2.690908,78539,2.818821,-4.644003e-02
11PR34,79214,2.650757,79693,2.818610,-6.139860e-02
11PR69/2,79784,2.683249,80849,2.818354,-4.912465e-02
11PR35,81526,2.664230,82003,2.818149,-5.616520e-02
11PR71/2,83086,2.681835,83137,2.817903,-4.949173e-02
11PR36,83719,2.649635,84313,2.817700,-6.149905e-02
11PR73/2,84874,2.671665,85469,2.817502,-5.314880e-02
11PR37,86134,2.684522,86599,2.817267,-4.826458e-02
11PR75/2,86974,2.660086,87767,2.817073,-5.733995e-02
11PR38,88012,2.660779,88919,2.816840,-5.699675e-02
11PR77/2,89809,2.669063,90089,2.816651,-5.382112e-02
13PR3,91006,2.648635,91243,2.816466,-6.143849e-02
11PR79/2,92107,2.679408,92399,2.816241,-4.980714e-02
11PR40,92431,2.691537,93553,2.816061,-4.522669e-02
11PR81/2,94441,2.683140,94709,2.815882,-4.828778e-02
11PR41,94936,2.679891,95857,2.815667,-4.942306e-02
11PR83/2,95917,2.659929,97007,2.815493,-5.683795e-02
11PR42,97684,2.690615,98143,2.815323,-4.530721e-02
11PR85/2,98377,2.680317,99317,2.815112,-4.906698e-02
11PR43,99364,2.682330,100483,2.814943,-4.825619e-02
11PR87/2,101006,2.677823,101627,2.814777,-4.987889e-02
11PR44,102356,2.687699,102793,2.814611,-4.613863e-02
11PR89/2,102859,2.669019,103919,2.814415,-5.304344e-02
11PR45,104506,2.690566,105097,2.814251,-4.494457e-02
13PR7/2,105832,2.672747,106243,2.814093,-5.153322e-02
11PR46,106531,2.698635,107377,2.813937,-4.183848e-02
11PR93/2,107684,2.697172,108557,2.813744,-4.231216e-02
11PR47,109297,2.708645,109721,2.813588,-3.801203e-02
11PR95/2,110281,2.698393,110879,2.813435,-4.174975e-02
11PR48,111064,2.689901,112031,2.813284,-4.484809e-02
11PR97/2,112771,2.687402,113189,2.813101,-4.571251e-02
11PR49,113623,2.704198,114343,2.812953,-3.942944e-02
11PR99/2,115114,2.679817,115499,2.812806,-4.843405e-02
11PR50,116386,2.685977,116639,2.812662,-4.608683e-02
11PR101/2,117244,2.695314,117809,2.812517,-4.256510e-02
11PR51,118894,2.696508,118931,2.812346,-4.206141e-02
11PR103/2,120091,2.676432,120103,2.812203,-4.948360e-02
13PR4,120914,2.672663,121271,2.812062,-5.084267e-02
11PR105/2,121879,2.700255,122401,2.811926,-4.052344e-02
11PR53,123094,2.687034,123583,2.811787,-4.538224e-02
11PR107/2,124541,2.663272,124739,2.811651,-5.421641e-02
11PR54,125854,2.690756,125887,2.811486,-4.389097e-02
11PR109/2,126754,2.668277,127037,2.811353,-5.223292e-02
11PR55,127189,2.682496,128203,2.811220,-4.687085e-02
11PR111/2,129049,2.706322,129347,2.811090,-3.798179e-02
11PR56,129874,2.677014,130513,2.810960,-4.882407e-02
11PR113/2,131374,2.702505,131641,2.810833,-3.930176e-02
11PR57,132274,2.680844,132817,2.810704,-4.730332e-02
11PR115/2,133384,2.670642,133979,2.810548,-5.106059e-02
11PR58,134033,2.689117,135131,2.810423,-4.412212e-02
13PR9/2,135721,2.712890,136277,2.810300,-3.527675e-02
11PR59,136711,2.717060,137443,2.810176,-3.369670e-02
11PR119/2,138064,2.694854,138599,2.810054,-4.185967e-02
11PR60,139408,2.675224,139753,2.809933,-4.912752e-02
11PR121/2,139939,2.686906,140909,2.809812,-4.472723e-02
11PR61,141748,2.698152,142061,2.809693,-4.050813e-02
11PR123/2,142684,2.653671,143197,2.809577,-5.708997e-02
11PR62,144094,2.683126,144349,2.809460,-4.600976e-02
11PR125/2,144709,2.667739,145517,2.809342,-5.171900e-02
11PR63,146359,2.689210,146683,2.809200,-4.365228e-02
11PR127/2,147304,2.682542,147827,2.809086,-4.609431e-02
11PR64,148927,2.694478,148991,2.808972,-4.161409e-02
11PR129/2,149764,2.691421,150131,2.808860,-4.270940e-02
13PR5,150796,2.683622,151303,2.808747,-4.557110e-02
11PR131/2,152143,2.695733,152459,2.808636,-4.102880e-02
11PR66,152506,2.699742,153611,2.808526,-3.950358e-02
11PR133/2,154114,2.709674,154769,2.808417,-3.579265e-02
11PR67,154894,2.698295,155921,2.808309,-3.996243e-02
11PR135/2,156476,2.681000,157061,2.808202,-4.635456e-02
11PR68,157639,2.697308,158233,2.808094,-4.025172e-02
11PR137/2,158986,2.685472,159389,2.807988,-4.461171e-02
11PR69,159886,2.694465,160541,2.807883,-4.123115e-02
11PR139/2,160612,2.680713,161683,2.807779,-4.631098e-02
11PR70,161983,2.692056,162853,2.807674,-4.205117e-02
11PR141/2,163396,2.699159,163997,2.807572,-3.937981e-02
11PR71,164839,2.695215,165161,2.807469,-4.080539e-02
13PR11/2,166186,2.711867,166319,2.807367,-3.460971e-02
11PR72,167149,2.705744,167471,2.807266,-3.683414e-02
11PR145/2,167809,2.693386,168629,2.807166,-4.137630e-02
11PR73,169249,2.713763,169783,2.807066,-3.380358e-02
11PR147/2,169948,2.712993,170927,2.806968,-3.405244e-02
11PR74,171733,2.719967,172093,2.806869,-3.144988e-02
11PR149/2,172751,2.664331,173249,2.806772,-5.208207e-02
11PR75,174016,2.722014,174389,2.806676,-3.062882e-02
11PR151/2,175129,2.705876,175543,2.806580,-3.654096e-02
11PR76,176224,2.678521,176713,2.806483,-4.666732e-02
11PR153/2,177076,2.692558,177841,2.806390,-4.140729e-02
11PR77,178792,2.695557,179021,2.806294,-4.025989e-02
11PR155/2,179356,2.713026,180179,2.806200,-3.376664e-02
13PR6,180904,2.701729,181303,2.806109,-3.790689e-02
11PR157/2,181606,2.704331,182489,2.806015,-3.691077e-02
11PR79,182899,2.720541,183637,2.805923,-3.090178e-02
11PR159/2,184271,2.719586,184777,2.805833,-3.122080e-02
11PR80,185578,2.700366,185951,2.805741,-3.828036e-02
11PR161/2,187027,2.712894,187091,2.805652,-3.361999e-02
11PR81,187987,2.717028,188261,2.805562,-3.206524e-02
11PR163/2,189226,2.716220,189407,2.805493,-3.233807e-02
11PR82,190276,2.706788,190573,2.805404,-3.578487e-02
11PR165/2,190999,2.687332,191717,2.805317,-4.296767e-02
11PR83,192292,2.661382,192883,2.805229,-5.263964e-02
11PR167/2,193174,2.718916,194027,2.805143,-3.122125e-02
11PR84,194869,2.696034,195193,2.805056,-3.964170e-02
13PR13/2,195919,2.690015,196337,2.804970,-4.184607e-02
11PR85,197254,2.709534,197479,2.804886,-3.458623e-02
11PR171/2,197998,2.711552,198659,2.804799,-3.381071e-02
11PR86,199039,2.690668,199813,2.804715,-4.151244e-02
11PR173/2,200929,2.690293,200929,2.804634,-4.162294e-02
11PR87,201979,2.696364,202121,2.804548,-3.933819e-02
11PR175/2,202231,2.697985,203279,2.804465,-3.870759e-02
11PR88,204046,2.692561,204431,2.804402,-4.069754e-02
11PR177/2,204928,2.696021,205589,2.804320,-3.938410e-02
11PR89,206086,2.718302,206699,2.804241,-3.112549e-02
11PR179/2,207574,2.675878,207877,2.804159,-4.682612e-02
11PR90,208928,2.701678,209039,2.804078,-3.720172e-02
11PR181/2,209929,2.682270,210209,2.803997,-4.438245e-02
13PR7,210334,2.696571,211349,2.803918,-3.903676e-02
11PR183/2,211873,2.695799,212507,2.803839,-3.929491e-02
11PR92,212833,2.721061,213659,2.803760,-2.993950e-02
11PR185/2,214702,2.684285,214817,2.803700,-4.352558e-02
11PR93,215032,2.692089,215983,2.803621,-4.059432e-02
11PR187/2,216991,2.706587,217121,2.803545,-3.519626e-02
11PR94,217577,2.714400,218287,2.803467,-3.228593e-02
11PR189/2,218368,2.722809,219437,2.803391,-2.916569e-02
11PR95,220309,2.712319,220589,2.803315,-3.299866e-02
11PR191/2,221528,2.714884,221747,2.803239,-3.202631e-02
11PR96,222634,2.717216,222913,2.803163,-3.114060e-02
11PR193/2,223954,2.710568,224069,2.803105,-3.356952e-02
11PR97,225223,2.704512,225223,2.803030,-3.577949e-02
13PR15/2,225943,2.709420,226379,2.802956,-3.393998e-02
11PR98,226456,2.693497,227533,2.802882,-3.980782e-02
11PR197/2,227764,2.700612,228677,2.802809,-3.714371e-02
11PR99,229234,2.690065,229841,2.802736,-4.103073e-02
11PR199/2,230189,2.704611,230999,2.802663,-3.561194e-02
11PR100,231271,2.703240,232153,2.802608,-3.609936e-02
11PR201/2,232489,2.699251,233297,2.802536,-3.755039e-02
11PR101,233528,2.712781,234463,2.802464,-3.252472e-02
11PR203/2,234712,2.693448,235607,2.802393,-3.965154e-02
11PR102,236086,2.708888,236773,2.802322,-3.391014e-02
11PR205/2,237602,2.712472,237929,2.802251,-3.256263e-02
11PR103,238892,2.687289,239081,2.802198,-4.187123e-02
11PR207/2,239566,2.669376,240209,2.802129,-4.853475e-02
13PR8,241036,2.687643,241393,2.802058,-4.168955e-02
11PR209/2,241954,2.717299,242533,2.801990,-3.069151e-02
11PR105,242779,2.704457,243703,2.801920,-3.540374e-02
11PR211/2,243994,2.700730,244859,2.801852,-3.675852e-02
11PR106,245486,2.696998,246011,2.801799,-3.812241e-02
11PR213/2,246724,2.705664,247141,2.801733,-3.489080e-02
11PR107,247868,2.717640,248323,2.801664,-3.044967e-02
11PR215/2,249061,2.717889,249463,2.801597,-3.033414e-02
11PR108,249811,2.723430,250619,2.801531,-2.827394e-02
11PR217/2,251194,2.723166,251789,2.801463,-2.834661e-02
11PR109,252664,2.704928,252937,2.801413,-3.504864e-02
11PR219/2,253321,2.678193,254083,2.801347,-4.495806e-02
11PR110,254788,2.720112,255253,2.801281,-2.940376e-02
17PR/2,259801,2.693910,270269,2.800499,-3.880395e-02
13PR9,283903,2.691665,285283,2.799760,-3.937374e-02
13PR19/2,299479,2.682900,300299,2.799061,-4.238570e-02
13PR10,303904,2.684643,315313,2.798397,-4.149900e-02
13PR21/2,316189,2.695075,330329,2.797777,-3.739914e-02
13PR11,333934,2.687372,345329,2.797186,-4.005015e-02
13PR23/2,352771,2.687174,360337,2.796621,-3.992182e-02
13PR12,367261,2.692325,375373,2.796079,-3.781295e-02
13PR25/2,383524,2.697450,390389,2.795560,-3.572556e-02
13PR13,394369,2.696179,405401,2.795072,-3.602228e-02
13PR27/2,409246,2.696437,420419,2.794601,-3.575807e-02
13PR14,421276,2.696549,435427,2.794149,-3.555478e-02
13PR29/2,448306,2.710361,450431,2.793712,-3.028934e-02
13PR15,453949,2.701259,465463,2.793289,-3.350179e-02
13PR31/2,477329,2.692752,480463,2.792882,-3.651032e-02
13PR16,480967,2.701860,495491,2.792495,-3.299504e-02
13PR33/2,495658,2.704691,510481,2.792113,-3.181098e-02
17PR,521068,2.702278,525517,2.791750,-3.257352e-02
13PR35/2,535342,2.694373,540539,2.791390,-3.537416e-02
13PR18,552583,2.707739,555523,2.791049,-3.030354e-02
13PR37/2,562924,2.700983,570569,2.790716,-3.268241e-02
13PR19,575074,2.707553,585581,2.790392,-3.013681e-02
13PR39/2,597196,2.719362,600577,2.790078,-2.567226e-02
13PR20,612022,2.699256,615607,2.789771,-3.298333e-02
13PR41/2,627961,2.704537,630613,2.789479,-3.092411e-02
13PR21,641764,2.705741,645641,2.789188,-3.037470e-02
13PR43/2,651143,2.714979,660659,2.788910,-2.686662e-02
13PR22,661378,2.712894,675643,2.788633,-2.753555e-02
13PR45/2,676849,2.707465,690689,2.788367,-2.944335e-02
13PR23,691816,2.696229,705689,2.788102,-3.350695e-02
