START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
7PR81/2,8580,9.126609,8580,9.239572,-1.230135e-02
7PR41,8610,9.372431,8610,9.381644,-9.824959e-04
7PR83/2,8715,9.091844,8715,9.258562,-1.817091e-02
7PR42,8820,9.063733,8820,9.145322,-8.961418e-03
7PR85/2,8925,9.770536,8925,9.753497,1.745365e-03
7PR43,9030,9.008609,9030,9.366594,-3.896884e-02
7PR87/2,9135,9.296781,9135,9.482053,-1.973261e-02
11PR4,9240,10.202765,9240,10.157638,4.432818e-03
7PR89/2,9345,9.295522,9345,9.246782,5.257117e-03
7PR45,9450,9.141219,9450,9.141383,-1.799525e-05
7PR91/2,9555,9.739977,9555,9.970951,-2.343718e-02
7PR46,9660,9.285168,9660,9.574947,-3.073168e-02
7PR93/2,9765,9.083743,9765,9.453523,-3.990117e-02
7PR47,9870,9.407528,9870,9.341164,7.079341e-03
7PR95/2,9975,9.397483,9975,9.675449,-2.914976e-02
7PR48,10080,8.721751,10080,9.136502,-4.645764e-02
7PR97/2,10185,8.939202,10185,9.232506,-3.228414e-02
7PR49,10290,9.101914,10290,9.136026,-3.740780e-03
11PR9/2,10395,10.030794,10395,10.149750,-1.178927e-02
7PR50,10500,8.842225,10500,9.134473,-3.251700e-02
7PR101/2,10605,9.200283,10605,9.225502,-2.737343e-03
7PR51,10710,9.633524,10710,9.741815,-1.117833e-02
7PR103/2,10815,9.025891,10815,9.223207,-2.162560e-02
7PR52,10920,9.968668,10920,9.961591,7.101654e-04
7PR105/2,11025,8.841363,11025,9.131293,-3.226635e-02
7PR53,11130,9.154953,11130,9.310040,-1.679845e-02
7PR107/2,11235,9.259992,11235,9.216783,4.677157e-03
7PR54,11340,9.052011,11340,9.129546,-8.529001e-03
7PR109/2,11445,9.248486,11445,9.214700,3.659831e-03
11PR5,11550,10.011164,11550,10.142353,-1.301908e-02
7PR111/2,11655,9.330042,11655,9.388752,-6.272869e-03
7PR56,11760,8.990908,11760,9.127671,-1.509666e-02
7PR113/2,11865,9.168459,11865,9.208776,-4.387699e-03
7PR57,11970,9.746649,11970,9.663117,8.607260e-03
7PR115/2,12075,9.234112,12075,9.560690,-3.475540e-02
7PR58,12180,9.333046,12180,9.462869,-1.381415e-02
7PR117/2,12285,9.884001,12285,9.954270,-7.084219e-03
7PR59,12390,9.061740,12390,9.284553,-2.429085e-02
7PR119/2,12495,9.491912,12495,9.731634,-2.494175e-02
7PR60,12600,9.142668,12600,9.123139,2.138418e-03
11PR11/2,12705,10.035859,12705,10.136641,-9.992151e-03
7PR61,12810,9.206984,12810,9.276434,-7.514895e-03
7PR123/2,12915,9.302247,12915,9.355557,-5.714554e-03
7PR62,13020,9.172276,13020,9.435935,-2.833981e-02
7PR125/2,13125,9.044761,13125,9.120382,-8.326006e-03
7PR63,13230,9.001645,13230,9.120122,-1.307584e-02
7PR127/2,13335,9.095449,13335,9.192924,-1.065981e-02
7PR64,13440,8.957430,13440,9.118862,-1.786173e-02
7PR129/2,13545,9.172952,13545,9.341115,-1.816643e-02
7PR65,13650,9.761711,13650,9.947402,-1.884372e-02
7PR131/2,13755,8.954190,13755,9.188150,-2.579295e-02
11PR6,13860,10.042073,13860,10.130245,-8.741905e-03
7PR133/2,13965,9.546434,13965,9.653364,-1.113877e-02
7PR67,14070,9.109250,14070,9.256256,-1.600923e-02
7PR135/2,14175,8.950664,14175,9.115858,-1.828778e-02
7PR68,14280,9.482136,14280,9.723318,-2.511730e-02
7PR137/2,14385,9.014504,14385,9.182186,-1.843049e-02
7PR69,14490,9.526138,14490,9.548447,-2.339138e-03
7PR139/2,14595,9.153014,14595,9.180804,-3.031558e-03
7PR70,14700,8.808939,14700,9.114033,-3.404834e-02
7PR141/2,14805,9.339065,14805,9.315628,2.512733e-03
7PR71,14910,8.973492,14910,9.244946,-2.980204e-02
13PR/2,15015,11.103934,15015,11.045728,5.255766e-03
11PR7,16170,9.914102,16170,10.119658,-2.052177e-02
11PR15/2,17745,10.021104,17325,10.115252,-9.351067e-03
11PR8,18480,10.122747,18480,10.110994,1.161772e-03
11PR17/2,19635,10.617544,19635,10.780831,-1.526189e-02
11PR9,20790,10.112389,20790,10.103188,9.103238e-04
11PR19/2,21945,10.647729,21945,10.693692,-4.307332e-03
11PR10,23205,10.442947,23205,10.573827,-1.245499e-02
