START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
11PR125/2,144709,2.667739,145517,1.388600,6.529353e-01,0.019560,6.539565e+01
11PR63,146359,2.689210,146683,1.395538,6.559675e-01,0.019431,6.657774e+01
11PR127/2,147304,2.682542,147827,1.402509,6.485021e-01,0.019301,6.631952e+01
11PR64,148927,2.694478,148991,1.409252,6.481454e-01,0.019176,6.702263e+01
11PR129/2,149764,2.691421,150131,1.415618,6.425031e-01,0.019046,6.698535e+01
13PR5,150796,2.683622,151303,1.421824,6.352268e-01,0.018930,6.665600e+01
11PR131/2,152143,2.695733,152459,1.428256,6.352160e-01,0.018810,6.738315e+01
11PR66,152506,2.699742,153611,1.434626,6.322520e-01,0.018691,6.768584e+01
11PR133/2,154114,2.709674,154769,1.440969,6.315125e-01,0.018573,6.830910e+01
11PR67,154894,2.698295,155921,1.447189,6.229970e-01,0.018458,6.778123e+01
11PR135/2,156476,2.681000,157061,1.453347,6.123207e-01,0.018343,6.692760e+01
11PR68,157639,2.697308,158233,1.459284,6.143083e-01,0.018232,6.790391e+01
11PR137/2,158986,2.685472,159389,1.465282,6.058088e-01,0.018120,6.733940e+01
11PR69,159886,2.694465,160541,1.471147,6.051573e-01,0.018010,6.792438e+01
11PR139/2,160612,2.680713,161683,1.476923,5.961219e-01,0.017902,6.724332e+01
11PR70,161983,2.692056,162853,1.482713,5.964317e-01,0.017795,6.795971e+01
11PR141/2,163396,2.699159,163997,1.488279,5.953198e-01,0.017690,6.844997e+01
11PR71,164839,2.695215,165161,1.493826,5.901374e-01,0.017586,6.831508e+01
13PR11/2,166186,2.711867,166319,1.499357,5.926010e-01,0.017483,6.935366e+01
11PR72,167149,2.705744,167471,1.504896,5.866531e-01,0.017379,6.909765e+01
11PR145/2,167809,2.693386,168629,1.510123,5.786080e-01,0.018207,6.498945e+01
11PR73,169249,2.713763,169783,1.515363,5.826812e-01,0.018103,6.619897e+01
11PR147/2,169948,2.712993,170927,1.520591,5.789534e-01,0.018000,6.624456e+01
11PR74,171733,2.719967,172093,1.525784,5.781114e-01,0.017898,6.672159e+01
11PR149/2,172751,2.664331,173249,1.530803,5.541606e-01,0.017798,6.368850e+01
11PR75,174016,2.722014,174389,1.535844,5.722920e-01,0.017699,6.701904e+01
11PR151/2,175129,2.705876,175543,1.540770,5.631434e-01,0.017601,6.619544e+01
11PR76,176224,2.678521,176713,1.545716,5.497775e-01,0.017504,6.471692e+01
11PR153/2,177076,2.692558,177841,1.550530,5.518949e-01,0.017409,6.559986e+01
11PR77,178792,2.695557,179021,1.555292,5.499416e-01,0.017314,6.585798e+01
11PR155/2,179356,2.713026,180179,1.559988,5.533865e-01,0.017220,6.695923e+01
13PR6,180904,2.701729,181303,1.564627,5.462445e-01,0.017128,6.638849e+01
11PR157/2,181606,2.704331,182489,1.569329,5.442064e-01,0.017036,6.662374e+01
11PR79,182899,2.720541,183637,1.573817,5.473269e-01,0.016946,6.766930e+01
11PR159/2,184271,2.719586,184777,1.578271,5.441497e-01,0.016857,6.770570e+01
11PR80,185578,2.700366,185951,1.582864,5.341515e-01,0.016766,6.665287e+01
11PR161/2,187027,2.712894,187091,1.587620,5.357799e-01,0.016673,6.749079e+01
11PR81,187987,2.717028,188261,1.591962,5.345714e-01,0.016596,6.779140e+01
11PR163/2,189226,2.716220,189407,1.596273,5.315697e-01,0.016510,6.783446e+01
11PR82,190276,2.706788,190573,1.600468,5.254666e-01,0.016426,6.735176e+01
11PR165/2,190999,2.687332,191717,1.604658,5.156382e-01,0.016343,6.624696e+01
11PR83,192292,2.661382,192883,1.608830,5.033383e-01,0.016260,6.473260e+01
11PR167/2,193174,2.718916,194027,1.612873,5.222162e-01,0.016179,6.836288e+01
11PR84,194869,2.696034,195193,1.617030,5.111907e-01,0.016096,6.703554e+01
13PR13/2,195919,2.690015,196337,1.621437,5.062340e-01,0.016010,6.674441e+01
11PR85,197254,2.709534,197479,1.625428,5.110055e-01,0.016793,6.455702e+01
11PR171/2,197998,2.711552,198659,1.629289,5.093774e-01,0.016711,6.476351e+01
11PR86,199039,2.690668,199813,1.633198,4.992494e-01,0.016629,6.359192e+01
11PR173/2,200929,2.690293,200929,1.636975,4.968001e-01,0.016549,6.364844e+01
11PR87,201979,2.696364,202121,1.640785,4.967294e-01,0.016469,6.409491e+01
11PR175/2,202231,2.697985,203279,1.644999,4.947654e-01,0.016391,6.424172e+01
11PR88,204046,2.692561,204431,1.648700,4.905057e-01,0.016313,6.398952e+01
11PR177/2,204928,2.696021,205589,1.652340,4.895845e-01,0.016235,6.428586e+01
11PR89,206086,2.718302,206699,1.655970,4.956205e-01,0.016159,6.574243e+01
11PR179/2,207574,2.675878,207877,1.659528,4.777443e-01,0.016083,6.319406e+01
11PR90,208928,2.701678,209039,1.663523,4.849354e-01,0.016001,6.488063e+01
11PR181/2,209929,2.682270,210209,1.667087,4.755857e-01,0.015934,6.371175e+01
13PR7,210334,2.696571,211349,1.670545,4.788310e-01,0.015860,6.469269e+01
11PR183/2,211873,2.695799,212507,1.673951,4.765079e-01,0.015788,6.472308e+01
11PR92,212833,2.721061,213659,1.677460,4.837411e-01,0.015714,6.641218e+01
11PR185/2,214702,2.684285,214817,1.681218,4.678959e-01,0.015645,6.411422e+01
11PR93,215032,2.692089,215983,1.684498,4.688499e-01,0.015574,6.469699e+01
11PR187/2,216991,2.706587,217121,1.687832,4.722436e-01,0.015503,6.571341e+01
11PR94,217577,2.714400,218287,1.691035,4.732302e-01,0.015435,6.630159e+01
11PR189/2,218368,2.722809,219437,1.694812,4.740922e-01,0.015366,6.690075e+01
11PR95,220309,2.712319,220589,1.697913,4.684041e-01,0.015299,6.630538e+01
11PR191/2,221528,2.714884,221747,1.701082,4.674847e-01,0.015231,6.656175e+01
11PR96,222634,2.717216,222913,1.704297,4.664551e-01,0.015163,6.680202e+01
11PR193/2,223954,2.710568,224069,1.707757,4.619774e-01,0.015099,6.641572e+01
11PR97,225223,2.704512,225223,1.710799,4.579610e-01,0.015034,6.609771e+01
13PR15/2,225943,2.709420,226379,1.713821,4.580092e-01,0.014969,6.651072e+01
11PR98,226456,2.693497,227533,1.717109,4.501983e-01,0.014900,6.552940e+01
11PR197/2,227764,2.700612,228677,1.720257,4.510047e-01,0.014841,6.605721e+01
11PR99,229234,2.690065,229841,1.723224,4.453684e-01,0.014778,6.542435e+01
11PR199/2,230189,2.704611,230999,1.726090,4.490994e-01,0.015504,6.311410e+01
11PR100,231271,2.703240,232153,1.729442,4.466522e-01,0.015439,6.307390e+01
11PR201/2,232489,2.699251,233297,1.732337,4.435030e-01,0.015374,6.289281e+01
11PR101,233528,2.712781,234463,1.735124,4.468954e-01,0.015311,6.385324e+01
11PR203/2,234712,2.693448,235607,1.738367,4.378760e-01,0.015240,6.266936e+01
11PR102,236086,2.708888,236773,1.741133,4.420022e-01,0.015185,6.373098e+01
11PR205/2,237602,2.712472,237929,1.743876,4.417502e-01,0.015122,6.405211e+01
11PR103,238892,2.687289,239081,1.746974,4.306477e-01,0.015054,6.246280e+01
11PR207/2,239566,2.669376,240209,1.749732,4.223821e-01,0.015000,6.130960e+01
13PR8,241036,2.687643,241393,1.752402,4.276772e-01,0.014939,6.260399e+01
11PR209/2,241954,2.717299,242533,1.755380,4.369530e-01,0.014873,6.467552e+01
11PR105,242779,2.704457,243703,1.758097,4.306692e-01,0.014819,6.386126e+01
11PR211/2,243994,2.700730,244859,1.760680,4.278220e-01,0.014760,6.368902e+01
11PR106,245486,2.696998,246011,1.763669,4.247430e-01,0.014695,6.351337e+01
11PR213/2,246724,2.705664,247141,1.766237,4.264961e-01,0.014644,6.415098e+01
11PR107,247868,2.717640,248323,1.768778,4.294749e-01,0.014586,6.505293e+01
11PR215/2,249061,2.717889,249463,1.771747,4.278894e-01,0.014529,6.512093e+01
11PR108,249811,2.723430,250619,1.774201,4.285419e-01,0.014472,6.559073e+01
11PR217/2,251194,2.723166,251789,1.776614,4.270859e-01,0.014416,6.565982e+01
11PR109,252664,2.704928,252937,1.779468,4.187609e-01,0.014361,6.444259e+01
11PR219/2,253321,2.678193,254083,1.781874,4.074767e-01,0.014306,6.265336e+01
11PR110,254788,2.720112,255253,1.784510,4.215292e-01,0.014247,6.567011e+01
17PR/2,259801,2.693910,270269,1.784682,4.117534e-01,0.011293,8.051253e+01
13PR9,283903,2.691665,285283,1.817991,3.924279e-01,0.014256,6.128465e+01
13PR19/2,299479,2.682900,300299,1.846204,3.737667e-01,0.013621,6.142691e+01
13PR10,303904,2.684643,315313,1.871709,3.606958e-01,0.013045,6.231767e+01
13PR21/2,316189,2.695075,330329,1.895223,3.520895e-01,0.013190,6.064079e+01
13PR11,333934,2.687372,345329,1.916908,3.378503e-01,0.012678,6.077173e+01
13PR23/2,352771,2.687174,360337,1.936574,3.275697e-01,0.012216,6.144401e+01
13PR12,367261,2.692325,375373,1.954978,3.200262e-01,0.012415,5.939162e+01
13PR25/2,383524,2.697450,390389,1.972174,3.131704e-01,0.011995,6.046486e+01
13PR13,394369,2.696179,405401,1.988093,3.046597e-01,0.011604,6.102085e+01
13PR27/2,409246,2.696437,420419,2.002871,2.973496e-01,0.011239,6.171065e+01
13PR14,421276,2.696549,435427,2.016640,2.905400e-01,0.011482,5.921521e+01
13PR29/2,448306,2.710361,450431,2.029700,2.891938e-01,0.011146,6.106774e+01
13PR15,453949,2.701259,465463,2.041932,2.798215e-01,0.010831,6.087407e+01
13PR31/2,477329,2.692752,480463,2.053547,2.709952e-01,0.011095,5.761199e+01
13PR16,480967,2.701860,495491,2.064422,2.690901e-01,0.010803,5.900565e+01
13PR33/2,495658,2.704691,510481,2.074776,2.651345e-01,0.010525,5.984941e+01
17PR,521068,2.702278,525517,2.084519,2.595570e-01,0.010262,6.019869e+01
13PR35/2,535342,2.694373,540539,2.093690,2.522375e-01,0.010549,5.694217e+01
13PR18,552583,2.707739,555523,2.102570,2.529536e-01,0.010295,5.878281e+01
13PR37/2,562924,2.700983,570569,2.110811,2.465435e-01,0.010063,5.864772e+01
13PR19,575074,2.707553,585581,2.118827,2.451826e-01,0.009837,5.984812e+01
13PR39/2,597196,2.719362,600577,2.126410,2.459622e-01,0.009622,6.162461e+01
13PR20,612022,2.699256,615607,2.133624,2.351542e-01,0.009922,5.700786e+01
13PR41/2,627961,2.704537,630613,2.140710,2.337932e-01,0.009716,5.803077e+01
13PR21,641764,2.705741,645641,2.147222,2.312009e-01,0.009518,5.868029e+01
13PR43/2,651143,2.714979,660659,2.153640,2.316248e-01,0.009330,6.016495e+01
13PR22,661378,2.712894,675643,2.159772,2.280133e-01,0.009149,6.045710e+01
13PR45/2,676849,2.707465,690689,2.165643,2.232955e-01,0.009456,5.729928e+01
13PR23,691816,2.696229,705689,2.171217,2.165663e-01,0.009281,5.656847e+01
13PR47/2,712717,2.711910,720703,2.176541,2.199163e-01,0.009113,5.874783e+01
13PR24,722341,2.717417,735733,2.181891,2.194899e-01,0.008950,5.983531e+01
13PR49/2,750157,2.718731,750749,2.186754,2.177470e-01,0.008794,6.049318e+01
13PR25,762766,2.709254,765763,2.191664,2.120122e-01,0.008644,5.987853e+01
17PR3/2,767212,2.718867,780733,2.196354,2.134165e-01,0.008955,5.834874e+01
13PR26,784864,2.715502,795793,2.200863,2.101273e-01,0.008803,5.846177e+01
13PR53/2,798256,2.715503,810809,2.205188,2.081644e-01,0.008666,5.888703e+01
13PR27,813091,2.709646,825821,2.209347,2.041210e-01,0.008529,5.865858e+01
13PR55/2,827227,2.723557,840839,2.213334,2.074388e-01,0.008396,6.076977e+01
13PR28,842383,2.721490,855851,2.217290,2.048938e-01,0.008317,6.062282e+01
13PR57/2,867668,2.719625,870853,2.221081,2.025000e-01,0.008194,6.084257e+01
13PR29,881446,2.717750,885883,2.224774,2.001490e-01,0.008071,6.107992e+01
13PR59/2,891991,2.715980,900869,2.228261,1.979314e-01,0.007957,6.129433e+01
13PR30,915253,2.707576,915911,2.231764,1.932615e-01,0.007843,6.066709e+01
13PR61/2,922639,2.714421,930911,2.235137,1.942761e-01,0.007733,6.197905e+01
13PR31,933458,2.722771,945943,2.238394,1.958915e-01,0.007626,6.351652e+01
13PR63/2,954094,2.707340,960941,2.241538,1.888044e-01,0.007569,6.154076e+01
13PR32,968911,2.720188,975967,2.244571,1.921866e-01,0.007468,6.368733e+01
13PR65/2,990532,2.715933,990989,2.247502,1.893162e-01,0.007370,6.355916e+01
13PR33,998287,2.720834,1006003,2.250416,1.898234e-01,0.007273,6.468005e+01
13PR67/2,1007119,2.713696,1021019,2.253273,1.859277e-01,0.007181,6.411684e+01
17PR2,1030384,2.719654,1036027,2.255921,1.869464e-01,0.007090,6.540663e+01
13PR69/2,1045292,2.717688,1051027,2.258671,1.850049e-01,0.007002,6.555513e+01
13PR35,1052873,2.723598,1066063,2.261208,1.860546e-01,0.006959,6.644489e+01
13PR71/2,1074559,2.728568,1081079,2.263725,1.867652e-01,0.006876,6.760369e+01
13PR36,1093418,2.726444,1096079,2.266234,1.848788e-01,0.006794,6.773771e+01
13PR73/2,1109492,2.727534,1111091,2.268636,1.842191e-01,0.006711,6.837997e+01
13PR37,1114444,2.725505,1126093,2.270942,1.824590e-01,0.006634,6.852020e+01
13PR75/2,1135261,2.712789,1141139,2.273207,1.767856e-01,0.006559,6.701967e+01
13PR38,1151383,2.731348,1156151,2.275435,1.826240e-01,0.006484,7.031354e+01
13PR77/2,1168532,2.727386,1171133,2.277618,1.802135e-01,0.006411,7.015567e+01
13PR39,1174144,2.724530,1186181,2.279744,1.782328e-01,0.006383,6.968291e+01
13PR79/2,1200616,2.718360,1201183,2.281770,1.750773e-01,0.006314,6.914634e+01
