START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
5PR37/2,555,7.49631626,555,10.27583322,-3.153831e-01,0.681711,-4.077266,EXPECTED
5PR19,570,8.11352032,570,10.47432324,-2.553950e-01,0.673742,-3.504016,EXPECTED
5PR39/2,585,8.10475159,585,10.70284303,-2.780589e-01,0.663906,-3.913342,EXPECTED
5PR20,600,7.24260337,600,9.97717310,-3.203191e-01,0.656595,-4.164774,EXPECTED
5PR41/2,615,7.25206503,615,10.15726028,-3.369025e-01,0.647550,-4.486442,EXPECTED
7PR3,630,8.95295440,630,11.47803618,-2.484517e-01,0.640815,-3.940422,EXPECTED
5PR43/2,645,7.69677235,645,10.09877199,-2.716128e-01,0.632466,-3.797832,EXPECTED
5PR22,660,8.10561117,660,10.75255184,-2.825865e-01,0.625453,-4.232038,EXPECTED
5PR45/2,675,7.58358759,675,9.87666610,-2.641886e-01,0.618503,-3.707465,EXPECTED
5PR23,690,7.59033246,690,10.22853870,-2.983063e-01,0.611994,-4.310837,EXPECTED
5PR47/2,705,7.09309659,705,10.00683828,-3.441467e-01,0.604655,-4.818850,EXPECTED
5PR24,720,6.98170105,720,9.81823251,-3.409485e-01,0.596940,-4.751787,EXPECTED
7PR7/2,735,8.37419073,735,11.35534544,-3.045342e-01,0.591981,-5.035896,EXPECTED
5PR25,750,7.51996491,750,9.79113819,-2.639162e-01,0.587794,-3.863893,EXPECTED
5PR51/2,765,7.89453670,765,10.29544410,-2.655305e-01,0.580786,-4.133893,EXPECTED
5PR26,780,8.03025702,780,10.45948850,-2.642930e-01,0.574648,-4.227338,EXPECTED
5PR53/2,795,7.67951383,795,9.89541763,-2.535155e-01,0.571015,-3.880640,EXPECTED
5PR27,819,7.04724497,810,9.73023030,-3.226008e-01,0.566062,-4.739738,EXPECTED
5PR55/2,825,8.16796570,825,10.58181860,-2.589174e-01,0.561121,-4.301840,EXPECTED
7PR4,840,8.96560046,840,11.25817023,-2.276990e-01,0.556135,-4.122326,EXPECTED
5PR57/2,855,8.39877845,855,10.15387257,-1.897689e-01,0.551302,-3.183544,EXPECTED
5PR29,870,7.85673315,870,9.96484401,-2.376924e-01,0.545575,-3.864017,EXPECTED
5PR59/2,885,7.42824574,885,9.80432431,-2.775338e-01,0.542550,-4.379465,EXPECTED
5PR30,900,7.55030353,900,9.65749479,-2.461465e-01,0.537140,-3.922983,EXPECTED
5PR61/2,915,7.67852346,915,9.78103038,-2.420176e-01,0.533715,-3.939381,EXPECTED
