START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
5PR27,821,1.976976,823,2.685928,810,6.64448411,810,7.15472752,817,3.804628348,4.048771525,821,0.796043,819,8.06809056,824,0.000000,810,10.06218732
5PR55/2,839,2.379710,839,2.685726,825,7.66200530,825,7.94924953,832,3.989216972,4.044591596,827,1.072826,825,8.96596124,839,0.000000,825,10.84283365
7PR4,841,2.159749,853,2.685775,840,8.20414590,840,8.58407866,847,3.938706151,4.088456198,842,0.801991,840,9.61106671,854,0.000000,840,11.59172248
5PR57/2,859,1.914982,859,2.685482,855,7.47170017,855,7.57379415,862,3.918842651,4.101293412,857,0.961537,855,8.74457782,868,0.000000,855,10.41360737
5PR29,883,2.295458,883,2.685200,870,7.79339087,870,7.41823750,877,4.052500582,4.058916009,877,0.811399,870,8.60888604,883,0.000000,870,10.23352147
5PR59/2,886,2.287381,887,2.685154,885,7.91710221,885,7.27842450,892,3.949772972,4.033426486,886,0.823368,885,8.47552677,899,0.000000,885,10.07461321
5PR30,904,2.050129,911,2.684886,900,6.78664426,900,7.15208551,907,3.780000887,4.064786978,907,0.831295,900,8.29079883,914,0.000000,900,9.92508173
5PR61/2,919,1.825774,919,2.684799,915,6.91869875,915,7.27296264,922,3.763694936,4.053397612,926,0.893409,924,8.09630160,929,0.000000,915,10.02789028
5PR31,943,1.991920,941,2.684762,930,6.63119009,930,7.39862282,937,3.707657468,4.022543427,941,0.831648,930,8.36759848,944,0.000000,930,10.13158318
7PR9/2,958,2.164457,953,2.684635,945,7.55793189,945,8.58200080,952,3.745684025,4.124528939,947,0.932919,945,9.51576061,959,0.000000,945,11.44666029
5PR32,967,1.761041,971,2.684260,960,7.07321591,960,7.15088425,967,3.873249109,4.045980643,961,0.963707,960,8.23670595,974,0.000000,960,9.84587883
5PR65/2,982,1.933461,977,2.684389,975,7.58665247,975,7.80062493,982,3.779939666,4.087387381,982,0.886103,975,8.94011724,989,0.000000,975,10.47984753
5PR33,997,2.106150,997,2.684190,990,7.49719194,990,7.94534790,997,3.802745832,4.028534520,997,0.842782,990,9.04412888,1004,0.000000,990,10.61192732
5PR67/2,1009,1.898450,1019,2.683801,1005,6.85377083,1005,7.26051298,1012,3.775321640,4.035938687,1016,1.140895,1005,8.37879781,1019,0.000000,1005,9.90399561
5PR34,1024,2.252124,1024,2.681141,1020,7.33980895,1020,7.62643108,1027,3.986142026,4.091310305,1031,0.853691,1020,8.37923200,1033,0.000000,1020,10.25109402
5PR69/2,1048,2.030676,1039,2.683619,1035,7.08454356,1035,7.48994347,1042,3.809637589,4.013576344,1046,0.944136,1035,8.38367135,1049,0.000000,1035,10.09987381
7PR5,1063,2.195023,1063,2.683407,1050,8.66474534,1050,8.57966186,1057,4.027402448,4.107318004,1061,0.868913,1050,9.47713782,1064,0.000000,1050,11.32166142
5PR71/2,1072,2.361462,1069,2.683525,1071,6.91378853,1065,7.25304850,1072,4.035681771,4.072007053,1072,1.160701,1065,8.24385334,1079,0.000000,1065,9.83100521
5PR36,1094,2.506504,1093,2.683318,1092,7.70861537,1080,7.14875727,1087,4.127242638,4.072164836,1082,0.895408,1092,8.32158733,1094,0.000000,1080,9.70958906
5PR73/2,1109,1.952088,1097,2.683284,1095,6.98422798,1095,7.24917329,1102,3.945217175,4.013617643,1096,0.883886,1095,8.32424403,1109,0.000000,1095,9.79662296
5PR37,1123,2.110511,1123,2.682909,1110,7.44190976,1110,7.35295362,1117,4.106924269,4.093406572,1117,0.879879,1110,8.38801452,1124,0.000000,1110,9.88404696
5PR75/2,1126,2.104611,1129,2.683020,1125,6.85042475,1125,7.14844049,1132,4.009979435,4.029500575,1136,0.952705,1125,7.85104815,1139,0.000000,1125,9.66674817
5PR38,1147,2.252003,1153,2.682829,1140,7.12745061,1140,7.56826738,1147,3.914327530,3.986986642,1151,0.870875,1140,8.42352451,1154,0.000000,1140,10.07093615
11PR/2,1244,2.122683,1259,2.681915,1155,9.13559580,1155,9.53007910,1206,3.934787166,4.066096303,1172,0.888189,1155,10.34976630,1259,0.000000,1155,12.18003787
7PR6,1319,1.723241,1361,2.681396,1260,8.73658664,1260,8.57531312,1311,3.861564000,4.056123221,1361,0.889702,1260,9.37751228,1363,0.000000,1260,11.12838293
7PR13/2,1402,1.647631,1459,2.680712,1365,8.55809036,1365,9.35356312,1416,3.893629533,4.058655761,1381,0.896015,1365,10.10407122,1468,0.000000,1365,11.83287232
7PR7,1489,1.865276,1571,2.680140,1470,7.81539530,1470,8.57264344,1521,3.844801073,4.057023369,1502,0.896381,1470,9.30368933,1532,0.000000,1470,10.98427104
7PR15/2,1676,2.104753,1669,2.679787,1575,8.53964513,1575,8.57093822,1626,3.994843238,4.057375302,1592,0.906925,1575,9.26268197,1579,0.039879,1575,10.92534232
7PR8,1774,2.019039,1783,2.679205,1680,8.40436284,1680,8.56975153,1731,3.840675899,4.054329069,1712,0.913802,1680,9.24437899,1684,0.146311,1680,10.87161710
7PR17/2,1849,2.204669,1889,2.678883,1785,8.79830470,1785,9.14018451,1836,4.002058697,4.059906922,1801,0.887891,1785,9.78409648,1787,0.229037,1785,11.39674410
7PR9,1966,1.989272,1993,2.678508,1890,8.43214029,1890,8.56789132,1941,4.008652265,4.050431210,1942,0.882130,1890,9.15813634,1894,0.315377,1890,10.78230996
7PR19/2,2029,1.715762,2048,2.676937,1995,8.57059128,1995,9.07056300,2046,3.923622191,4.054266154,1997,0.872370,1995,9.67533860,1997,0.386403,1995,11.24831023
7PR10,2104,2.003507,2203,2.677756,2145,8.12379559,2145,8.65214719,2151,3.871466541,4.054758954,2186,0.865237,2145,9.39317047,2102,0.457343,2100,10.70911698
7PR21/2,2287,1.989104,2309,2.677521,2205,8.06714663,2205,8.56514666,2256,3.834198965,4.049360901,2306,0.846146,2205,9.13702958,2207,0.518358,2205,10.67834921
11PR,2347,2.156625,2411,2.677177,2310,9.14058186,2310,9.51595498,2361,3.941891684,4.058853150,2362,0.836850,2310,10.04953571,2311,0.576285,2310,11.60982896
7PR23/2,2447,2.190317,2503,2.676943,2415,8.64639902,2415,8.97116580,2466,3.949622247,4.052954097,2426,0.827222,2415,9.51466643,2417,0.631092,2415,11.03077780
7PR12,2623,2.363446,2621,2.676720,2520,7.98399457,2520,8.56269466,2571,3.967331880,4.055017224,2536,0.884012,2520,9.07642607,2521,0.681042,2520,10.59844382
7PR25/2,2633,2.168203,2729,2.676474,2625,8.59805030,2625,8.56221025,2676,3.944871856,4.046580476,2636,0.910591,2625,9.07751464,2633,0.731129,2625,10.57685695
7PR13,2809,2.065835,2833,2.676249,2730,9.53914578,2730,9.33990552,2782,4.016695881,4.056090943,2746,0.960422,2730,9.83390712,2731,0.772066,2730,11.33499415
7PR27/2,2909,2.274897,2939,2.675980,2835,8.56334577,2835,8.56078760,2887,4.011163743,4.052522119,2866,1.000851,2835,9.05412372,2837,0.813783,2835,10.53739852
7PR14,2974,2.064698,3041,2.675833,2940,8.67739172,2940,8.56022332,2992,3.961016497,4.051758738,2956,1.038318,2940,9.03669929,2942,0.853988,2940,10.51968523
7PR29/2,3076,1.845344,3137,2.675654,3135,8.85070812,3045,8.87685877,3097,3.958834679,4.052138177,3076,1.074180,3045,9.31438893,3049,0.889761,3045,10.82109613
7PR15,3221,2.107297,3253,2.675448,3150,8.07464822,3150,8.55930633,3202,3.902500735,4.049715610,3152,1.110064,3150,9.01973077,3158,0.926782,3150,10.48888500
7PR31/2,3334,2.210551,3359,2.675223,3255,9.08651900,3255,8.85376750,3307,3.906135426,4.051199233,3307,1.144699,3255,9.28641340,3257,0.956163,3255,10.77032591
7PR16,3386,2.340982,3463,2.675056,3360,8.55513325,3360,8.55816779,3412,3.934966538,4.043316018,3371,1.183671,3360,9.00404796,3361,0.986760,3360,10.46215289
11PR3/2,3559,2.029695,3559,2.674908,3465,9.20509845,3465,9.50870704,3517,3.925535040,4.058052790,3517,1.201505,3465,9.92561611,3467,1.016308,3465,11.41171819
7PR17,3571,2.249487,3673,2.674779,3570,8.47248673,3570,9.12788635,3622,3.909336161,4.053419962,3581,1.217226,3570,9.56040498,3571,1.043899,3570,11.00992929
7PR35/2,3769,1.943543,3779,2.674587,3675,8.65796828,3675,8.55682377,3727,3.952743740,4.045011843,3691,1.263405,3675,8.96980164,3677,1.070705,3675,10.42925539
7PR18,3799,2.075010,3881,2.674486,3795,8.16344904,3780,8.55641678,3832,3.956935876,4.049350102,3812,1.280484,3780,8.97516561,3793,1.098543,3780,10.41955286
7PR37/2,3964,2.216472,3989,2.674342,3885,8.65284260,3885,8.80059383,3937,4.031398137,4.046217292,3902,1.301004,3885,9.20083667,3889,1.120518,3885,10.65550581
7PR19,4051,2.044491,4093,2.674208,3990,8.61525608,3990,9.05902910,4042,3.955871380,4.058063096,4001,1.311835,3990,9.46311919,3994,1.144510,3990,10.90595191
7PR39/2,4153,2.340594,4096,2.673517,4095,9.26020575,4095,9.33300293,4147,3.964584714,4.050031679,4111,1.341344,4095,9.72479959,4096,1.164534,4095,11.17356063
7PR20,4282,2.220909,4297,2.673959,4200,8.21978002,4290,8.64111668,4252,4.026057242,4.050209625,4231,1.361928,4290,9.00625752,4201,1.186032,4200,10.38791821
7PR41/2,4393,2.306710,4409,2.673829,4305,8.45913368,4305,8.77400021,4357,3.961866554,4.047390507,4372,1.410118,4305,9.15833223,4306,1.207160,4305,10.60100423
7PR21,4486,2.143577,4513,2.673712,4410,8.62279023,4410,8.55431361,4462,3.990033304,4.047303348,4441,1.396543,4410,8.91477787,4414,1.227092,4410,10.37545920
7PR43/2,4603,2.102361,4603,2.673583,4515,8.78519237,4515,8.76250498,4567,3.997205638,4.045239621,4517,1.411593,4515,9.13914420,4517,1.244503,4515,10.57853939
