START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
7PR63/2,6719,2.265862,6719,2.671839,-1.648117e-01
7PR32,6791,2.430712,6823,2.671772,-9.455770e-02
7PR65/2,6863,2.365471,6917,2.671733,-1.217502e-01
11PR3,7024,2.323062,7027,2.671646,-1.398086e-01
7PR67/2,7108,2.390305,7129,2.671604,-1.112581e-01
7PR34,7219,2.055910,7243,2.671518,-2.619283e-01
7PR69/2,7246,2.136908,7349,2.671475,-2.232708e-01
7PR35,7351,2.199762,7451,2.671399,-1.942531e-01
7PR71/2,7522,2.372402,7559,2.671338,-1.186765e-01
7PR36,7561,2.321013,7649,2.671307,-1.405641e-01
7PR73/2,7727,2.199214,7759,2.671230,-1.944390e-01
7PR37,7846,2.336977,7873,2.671187,-1.336647e-01
7PR75/2,7951,2.232082,7963,2.671123,-1.795642e-01
7PR38,8062,2.328303,8081,2.671080,-1.373432e-01
11PR7/2,8116,2.236375,8179,2.671014,-1.776019e-01
7PR39,8224,2.292547,8192,2.670682,-1.526704e-01
7PR79/2,8311,2.234912,8389,2.670927,-1.782237e-01
7PR40,8429,2.249292,8501,2.670873,-1.717899e-01
7PR81/2,8599,2.329117,8609,2.670822,-1.368971e-01
7PR41,8614,2.287560,8713,2.670774,-1.548826e-01
7PR83/2,8777,2.179478,8819,2.670711,-2.032593e-01
7PR42,8839,2.279660,8923,2.670664,-1.583008e-01
7PR85/2,9014,2.281605,9029,2.670632,-1.574360e-01
7PR43,9091,2.412999,9133,2.670587,-1.014279e-01
7PR87/2,9173,2.323530,9239,2.670527,-1.391883e-01
11PR4,9283,2.301998,9343,2.670483,-1.484819e-01
7PR89/2,9349,2.396602,9439,2.670444,-1.081928e-01
7PR45,9511,2.294051,9551,2.670398,-1.519083e-01
7PR91/2,9649,2.163663,9649,2.670372,-2.104152e-01
7PR46,9748,2.284701,9749,2.670332,-1.559676e-01
7PR93/2,9817,2.375649,9859,2.670275,-1.169108e-01
7PR47,9941,2.284239,9973,2.670244,-1.561369e-01
7PR95/2,10078,2.360845,10079,2.670190,-1.231300e-01
7PR48,10174,2.343381,10181,2.670165,-1.305455e-01
7PR97/2,10273,2.292671,10289,2.670125,-1.524078e-01
7PR49,10369,2.243034,10391,2.670075,-1.742771e-01
11PR9/2,10462,2.194423,10499,2.670035,-1.961724e-01
7PR50,10501,2.449522,10601,2.670011,-8.618969e-02
7PR101/2,10687,2.319381,10709,2.669973,-1.407680e-01
7PR51,10786,2.430362,10799,2.669930,-9.401204e-02
7PR103/2,10883,2.318296,10909,2.669903,-1.412097e-01
7PR52,11023,2.452351,11003,2.669860,-8.497888e-02
7PR105/2,11054,2.258518,11119,2.669821,-1.673026e-01
7PR53,11197,2.391314,11213,2.669801,-1.101609e-01
7PR107/2,11272,2.131467,11329,2.669763,-2.251792e-01
7PR54,11353,2.334737,11443,2.669714,-1.340721e-01
7PR109/2,11461,2.347919,11549,2.669692,-1.284337e-01
11PR5,11593,2.296655,11633,2.669665,-1.504993e-01
