START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
11PR49,113326,1.224349,114343,2.640690,113190,9.95703323,113190,9.38903931,113766,3.868106464,3.999984124,0.000000,0.000000,0.000000
11PR99/2,114859,1.362106,115499,2.640690,114345,9.87388852,114345,9.38903936,114921,3.906427701,3.999897394,0.000000,0.000000,0.000000
11PR50,116029,1.350922,116639,2.640690,115500,10.54549617,116025,9.83288473,116076,4.005979250,4.000182571,0.000000,0.000000,0.000000
11PR101/2,117032,1.341075,117809,2.640690,116655,9.86148181,116655,9.48387800,117231,3.968696302,3.999690935,0.000000,0.000000,0.000000
11PR51,118553,0.884418,118931,2.640689,118545,9.72848614,117810,10.01497497,118386,3.910289082,4.000478720,0.000000,0.000000,0.000000
11PR103/2,120103,1.750092,120103,2.640689,119805,9.79329905,118965,9.48199986,119541,4.054615162,3.999462366,0.000000,0.000000,0.000000
13PR4,121229,1.446856,121271,2.640689,120120,11.37587447,120120,10.24258789,120696,4.163919725,4.000078286,0.000000,0.000000,0.000000
11PR105/2,122041,1.439387,122401,2.640689,122115,10.49759702,121275,9.38903895,121851,4.189496218,4.000299183,0.000000,0.000000,0.000000
11PR53,122926,1.287589,123583,2.640689,122850,10.30499597,122430,9.57313757,123006,4.116792566,3.999986270,0.000000,0.000000,0.000000
11PR107/2,124379,1.274901,124739,2.640688,124215,10.49636490,123585,9.47845823,124161,4.025111720,3.999897084,0.000000,0.000000,0.000000
11PR54,125339,1.266793,125887,2.640688,124950,10.16010925,125580,9.65729691,125316,3.905389403,4.000255773,0.000000,0.000000,0.000000
11PR109/2,126839,1.254624,127037,2.640688,126945,9.61044864,126945,9.53620222,126471,3.936344619,3.999962668,0.000000,0.000000,0.000000
11PR55,128204,1.519351,128203,2.640688,127575,10.26378476,127050,9.38903866,127626,4.029437206,3.999703710,0.000000,0.000000,0.000000
11PR111/2,128281,1.518748,129347,2.640687,129090,9.20076180,128205,9.65729681,128781,4.054586212,3.999995943,0.000000,0.000000,0.000000
11PR56,129898,1.503232,130363,2.640687,129675,10.39830832,129675,9.76058340,129936,4.021095485,4.000416152,0.000000,0.000000,0.000000
11PR113/2,131162,1.491008,131072,2.640667,130515,9.66286503,130515,9.47362437,131091,3.974112399,3.999837640,0.000000,0.000000,0.000000
11PR57,132766,1.207699,132661,2.640687,131670,10.26818146,131670,9.94133479,132246,3.878180672,4.000050684,0.000000,0.000000,0.000000
11PR115/2,133618,1.201478,133979,2.640687,132825,10.59659942,132825,9.83613538,133401,3.932193156,4.000306215,0.000000,0.000000,0.000000
11PR58,135106,1.454504,134989,2.640687,133980,9.72183871,133980,9.73678046,134556,4.115635295,3.999441121,0.000000,0.000000,0.000000
13PR9/2,135844,1.448298,136277,2.640686,136080,10.77925863,135135,10.24258713,135711,4.110058008,4.000475491,0.000000,0.000000,0.000000
11PR59,136558,1.179906,137443,2.640686,136290,10.76687792,136290,9.55375815,136866,4.175953135,3.999423506,0.000000,0.000000,0.000000
11PR119/2,138454,1.555009,138599,2.640686,137445,10.43108090,137445,10.01497396,138021,4.110765168,4.000404856,0.000000,0.000000,0.000000
11PR60,139189,1.419481,139753,2.640686,139230,11.22220425,139230,9.83288348,139176,4.026284540,4.000370651,0.000000,0.000000,0.000000
11PR121/2,140876,1.660363,140909,2.640686,140595,9.72556013,139755,9.38903798,140331,4.057421869,3.999919569,0.000000,0.000000,0.000000
11PR61,141307,1.401825,142061,2.640685,141015,9.69953705,140910,9.54817419,141486,3.937214540,3.999607909,0.000000,0.000000,0.000000
11PR123/2,142897,1.388741,143197,2.640685,142065,9.64165281,142065,9.62978243,142641,3.816754724,4.000036427,0.000000,0.000000,0.000000
11PR62,143551,1.132045,144349,2.640685,143220,9.32510100,143220,9.71279777,143796,3.768750438,4.000093056,0.000000,0.000000,0.000000
11PR125/2,145228,1.369822,145517,2.640685,145320,9.08759840,144690,9.39907947,144951,3.771546649,4.000446132,0.000000,0.000000,0.000000
