START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)97/2,112771,2.687402,113189,2.813101,112035,10.04237463,112035,10.10799004,112611,4.242872387,4.261599169,111.717577,2.679446
(11#)49,113623,2.704198,114343,2.812953,113295,10.04083543,113190,10.00204195,113766,4.241827485,4.261054372,112.205944,2.679837
(11#)99/2,115114,2.679817,115499,2.812806,114345,10.07141952,114345,10.00152198,114921,4.245557665,4.260739001,112.692446,2.680222
(11#)50,116386,2.685977,116639,2.812662,116025,10.45159808,116025,10.47346357,116076,4.249440588,4.260772259,113.169597,2.680596
(11#)101/2,117244,2.695314,117809,2.812517,116655,10.17501289,116655,10.10150107,117231,4.241901211,4.260030289,113.656644,2.680975
(11#)51,118894,2.696508,118931,2.812346,117810,10.60106027,117810,10.66663485,118386,4.237566671,4.260653052,114.121216,2.681300
(11#)103/2,120091,2.676432,120103,2.812203,118965,10.09361928,118965,10.09835917,119541,4.231856234,4.259356339,114.603924,2.681668
(13#)4,120914,2.672663,121271,2.812062,120120,10.74931470,120120,10.90783671,120696,4.237005304,4.259799972,115.082413,2.682029
(11#)105/2,121879,2.700255,122401,2.811926,121275,9.99478556,121275,9.99835976,121851,4.238163436,4.259777433,115.542928,2.682373
(11#)53,123094,2.687034,123583,2.811787,122430,10.19554323,122430,10.19390014,123006,4.238678566,4.259236179,116.022139,2.682729
(11#)107/2,124541,2.663272,124739,2.811651,123585,9.99115061,123585,10.09259501,124161,4.240821701,4.258935013,116.488377,2.683072
(11#)54,125854,2.690756,125887,2.811486,125580,10.21385010,125580,10.28213177,125316,4.243524356,4.259112569,116.949043,2.683376
(11#)109/2,126754,2.668277,127037,2.811353,126945,10.11152231,126945,10.15254891,126471,4.241248065,4.258597938,117.408201,2.683706
(11#)55,127189,2.682496,128203,2.811220,127050,9.91900923,127050,9.99583586,127626,4.239458486,4.258121472,117.871419,2.684038
(11#)111/2,129049,2.706322,129347,2.811090,128205,10.20640030,128205,10.28095387,128781,4.239612289,4.258188677,118.323652,2.684358
(11#)56,129874,2.677014,130513,2.810960,129675,10.31822010,129675,10.39032605,129936,4.239019264,4.258439056,118.782323,2.684681
(11#)113/2,131374,2.702505,131072,2.810860,130515,10.00894513,130515,10.08448631,131091,4.234574191,4.257627988,119.001420,2.684796
(11#)57,132274,2.680844,132817,2.810704,131670,10.51004163,131670,10.58186625,132246,4.233894955,4.257661185,119.682074,2.685304
(11#)115/2,133384,2.670642,133979,2.810548,132825,10.45703642,132825,10.46941913,133401,4.235961618,4.257741204,120.132601,2.685583
(11#)58,134033,2.689117,135131,2.810423,133980,10.30889942,133980,10.36309179,134556,4.242066757,4.256630125,120.577135,2.685884
(13#)9/2,135721,2.712890,136277,2.810300,135135,10.74143751,135135,10.90095418,135711,4.243919553,4.257542239,121.017292,2.686181
(11#)59,136711,2.717060,137443,2.810176,136290,10.15905526,136290,10.16739594,136866,4.240243220,4.256235481,121.463047,2.686478
(11#)119/2,138064,2.694854,138599,2.810054,137445,10.57654416,137445,10.65777408,138021,4.240023059,4.257094186,121.902933,2.686769
(11#)60,139408,2.675224,139753,2.809933,139230,10.42509133,139230,10.46324501,139176,4.240939638,4.256831993,122.340051,2.687056
(11#)121/2,139939,2.686906,140909,2.809812,139755,10.05773631,139755,9.99079939,140331,4.237797567,4.256169690,122.775942,2.687339
(11#)61,141748,2.698152,142061,2.809693,140910,10.17923889,140910,10.15969671,141486,4.239355739,4.255657220,123.208375,2.687618
(11#)123/2,142684,2.653671,143197,2.809577,142065,10.18779339,142065,10.24610202,142641,4.241716718,4.255933767,123.632918,2.687889
(11#)62,144094,2.683126,144349,2.809460,143220,10.29114853,143220,10.33399177,143796,4.237217976,4.255816029,124.061556,2.688161
(11#)125/2,144709,2.667739,145517,2.809342,144690,9.98259234,144690,9.99961075,144951,4.233852757,4.256015080,124.494232,2.688434
(11#)63,146359,2.689210,146683,2.809200,145530,10.05348695,145530,9.98860207,146106,4.235609163,4.255285720,124.924269,2.688677
(11#)127/2,147304,2.682542,147827,2.809086,146685,9.94483209,146685,10.06810243,147261,4.231356083,4.255161553,125.344370,2.688936
(11#)64,148927,2.694478,148991,2.808972,147840,9.95696330,147840,9.98778662,148416,4.230706384,4.255351736,125.769987,2.689199
(11#)129/2,149764,2.691421,150131,2.808860,148995,10.24810790,148995,10.23098246,149571,4.227234800,4.254131714,126.185062,2.689451
(13#)5,150796,2.683622,151303,2.808747,150150,10.86037478,150150,10.89489129,150726,4.228250549,4.254951382,126.609987,2.689709
(11#)131/2,152143,2.695733,152459,2.808636,151515,10.01145777,151515,10.08510367,151881,4.228481098,4.254680113,127.027343,2.689960
(11#)66,152506,2.699742,153611,2.808526,152460,9.97468670,152460,9.98619291,153036,4.234149227,4.254082445,127.441530,2.690207
(11#)133/2,154114,2.709674,154769,2.808417,153615,10.51212642,153615,10.57320622,154191,4.233916576,4.254357450,127.856159,2.690453
(11#)67,154894,2.698295,155921,2.808309,155610,10.29265154,155610,10.38024236,155346,4.232113735,4.254234507,128.266952,2.690694
(11#)135/2,156476,2.681000,157061,2.808202,156975,10.21970435,156975,10.26995355,156501,4.228714428,4.253882920,128.671829,2.690929
(11#)68,157639,2.697308,158233,2.808094,157080,10.62378835,157080,10.65028962,157656,4.232837019,4.253316343,129.086391,2.691170
(11#)137/2,158986,2.685472,159389,2.807988,158340,10.15523775,158340,10.16577214,158811,4.233034209,4.253399472,129.493646,2.691404
(11#)69,159886,2.694465,160541,2.807883,159390,10.42643885,159390,10.45931362,159966,4.239725726,4.253597417,129.897882,2.691635
(11#)139/2,160612,2.680713,161683,2.807779,160545,10.08716814,160545,10.05639239,161121,4.241602913,4.253201982,130.297040,2.691860
(11#)70,161983,2.692056,162853,2.807674,162435,10.46573724,162435,10.45480123,162276,4.239716685,4.253372696,130.704383,2.692089
(11#)141/2,163396,2.699159,163997,2.807572,162855,10.18585665,162855,10.20461948,163431,4.241292645,4.252777691,131.101123,2.692311
(11#)71,164839,2.695215,165161,2.807469,164010,10.13826504,164010,10.12708282,164586,4.241097750,4.252088187,131.503243,2.692534
(13#)11/2,166186,2.711867,166319,2.807367,165165,10.76837236,165165,10.88950947,165741,4.243249238,4.253017950,131.901749,2.692753
(11#)72,167149,2.705744,167471,2.807266,166320,9.92285381,166320,9.98168583,166896,4.241884915,4.252315676,132.296682,2.692968
