START,n_geom,C_avg,Cpred_avg,Lambda_avg
(7PR)17/2,1836,4.224824,4.381581,-3.643218e-02
(7PR)9,1941,4.219150,4.369772,-3.507706e-02
(7PR)19/2,2046,4.229834,4.372388,-3.314663e-02
(7PR)10,2151,4.258897,4.371407,-2.607471e-02
(7PR)21/2,2256,4.202611,4.366272,-3.820344e-02
(11PR),2361,4.226860,4.374976,-3.444172e-02
(7PR)23/2,2466,4.192403,4.367160,-4.083872e-02
(7PR)12,2571,4.237802,4.367946,-3.024816e-02
(7PR)25/2,2676,4.186677,4.359301,-4.040448e-02
(7PR)13,2782,4.204806,4.368124,-3.810533e-02
(7PR)27/2,2887,4.209332,4.362924,-3.583862e-02
(7PR)14,2992,4.256175,4.362439,-2.466030e-02
(7PR)29/2,3097,4.230764,4.361482,-3.042933e-02
(7PR)15,3202,4.239216,4.357568,-2.753587e-02
(7PR)31/2,3307,4.243604,4.359432,-2.692894e-02
(7PR)16,3412,4.213000,4.349674,-3.192585e-02
(11PR)3/2,3517,4.265661,4.364275,-2.285487e-02
(7PR)17,3622,4.244202,4.359483,-2.679973e-02
(7PR)35/2,3727,4.193318,4.349250,-3.651112e-02
(7PR)18,3832,4.225888,4.352744,-2.957706e-02
(7PR)37/2,3937,4.257518,4.349511,-2.137701e-02
(7PR)19,4042,4.223036,4.361103,-3.217084e-02
(7PR)39/2,4147,4.214460,4.352601,-3.225193e-02
(7PR)20,4252,4.229495,4.351683,-2.848002e-02
(7PR)41/2,4357,4.199378,4.348734,-3.494837e-02
(7PR)21,4462,4.240471,4.347562,-2.494094e-02
(7PR)43/2,4567,4.247102,4.344310,-2.263005e-02
(11PR)2,4672,4.253823,4.350942,-2.257424e-02
(7PR)45/2,4777,4.265264,4.347433,-1.908140e-02
(7PR)23,4882,4.262919,4.346357,-1.938395e-02
(7PR)47/2,4987,4.291510,4.348901,-1.328453e-02
(7PR)24,5092,4.257055,4.340156,-1.933259e-02
(7PR)49/2,5197,4.297764,4.350430,-1.217995e-02
(7PR)25,5302,4.246680,4.335908,-2.079358e-02
(7PR)51/2,5407,4.264883,4.349785,-1.971183e-02
(7PR)26,5512,4.245234,4.342080,-2.255658e-02
(7PR)53/2,5617,4.234122,4.344989,-2.584725e-02
(7PR)27,5722,4.229502,4.337485,-2.521044e-02
(11PR)5/2,5827,4.226340,4.343412,-2.732388e-02
(7PR)28,5932,4.199027,4.341883,-3.345516e-02
(7PR)57/2,6037,4.211565,4.336485,-2.922991e-02
(7PR)29,6142,4.214550,4.341524,-2.968276e-02
(7PR)59/2,6247,4.224606,4.338079,-2.650549e-02
(7PR)30,6352,4.250304,4.341762,-2.128975e-02
(7PR)61/2,6457,4.246400,4.332906,-2.016672e-02
(7PR)31,6562,4.259206,4.342510,-1.936995e-02
(7PR)63/2,6667,4.266147,4.334563,-1.590982e-02
(7PR)32,6772,4.237516,4.334295,-2.258168e-02
(7PR)65/2,6877,4.240086,4.336247,-2.242589e-02
(11PR)3,6982,4.260543,4.340785,-1.865850e-02
(7PR)67/2,7087,4.254209,4.338161,-1.954163e-02
(7PR)34,7192,4.215944,4.332167,-2.719431e-02
(7PR)69/2,7297,4.217514,4.336008,-2.770822e-02
(7PR)35,7402,4.239623,4.333122,-2.181388e-02
(7PR)71/2,7507,4.248324,4.331243,-1.932987e-02
(7PR)36,7612,4.252666,4.336817,-1.959448e-02
(7PR)73/2,7717,4.256423,4.331693,-1.752925e-02
(7PR)37,7822,4.278353,4.332121,-1.248924e-02
(7PR)75/2,7927,4.278949,4.327330,-1.124345e-02
(7PR)38,8032,4.287774,4.330719,-9.965858e-03
(11PR)7/2,8137,4.286236,4.335885,-1.151668e-02
(7PR)39,8242,4.272817,4.333674,-1.414222e-02
(7PR)79/2,8347,4.253468,4.332325,-1.836987e-02
(7PR)40,8452,4.246910,4.328178,-1.895487e-02
(7PR)81/2,8557,4.243880,4.325372,-1.902025e-02
(7PR)41,8662,4.255281,4.331616,-1.777998e-02
(7PR)83/2,8767,4.243580,4.329529,-2.005149e-02
(7PR)42,8872,4.251234,4.325792,-1.738590e-02
(7PR)85/2,8977,4.254838,4.333308,-1.827443e-02
(7PR)43,9082,4.260846,4.324788,-1.489544e-02
(7PR)87/2,9187,4.272466,4.324676,-1.214606e-02
(11PR)4,9292,4.291659,4.330419,-8.990820e-03
(7PR)89/2,9397,4.271675,4.328896,-1.330641e-02
(7PR)45,9502,4.236394,4.322831,-2.019805e-02
(7PR)91/2,9607,4.217504,4.330577,-2.645731e-02
(7PR)46,9712,4.214826,4.323486,-2.545371e-02
(7PR)93/2,9817,4.242291,4.332649,-2.107574e-02
(7PR)47,9922,4.218993,4.317163,-2.300215e-02
(7PR)95/2,10027,4.239762,4.330031,-2.106745e-02
(7PR)48,10132,4.247612,4.322003,-1.736212e-02
(7PR)97/2,10237,4.241442,4.324218,-1.932819e-02
(7PR)49,10342,4.253144,4.320746,-1.576977e-02
(11PR)9/2,10447,4.239196,4.329378,-2.105033e-02
(7PR)50,10552,4.237775,4.322835,-1.987305e-02
(7PR)101/2,10657,4.240769,4.320045,-1.852102e-02
(7PR)51,10762,4.259501,4.327966,-1.594551e-02
(7PR)103/2,10867,4.241742,4.317909,-1.779708e-02
(7PR)52,10972,4.278062,4.329124,-1.186502e-02
(7PR)105/2,11077,4.259308,4.319338,-1.399550e-02
(7PR)53,11182,4.287412,4.327010,-9.193434e-03
(7PR)107/2,11287,4.246956,4.316661,-1.627979e-02
(7PR)54,11392,4.265792,4.321557,-1.298796e-02
(7PR)109/2,11497,4.260275,4.316360,-1.307871e-02
(11PR)5,11602,4.268969,4.321342,-1.219357e-02
(7PR)111/2,11707,4.275084,4.325064,-1.162319e-02
(7PR)56,11812,4.256862,4.317188,-1.407196e-02
(7PR)113/2,11917,4.263118,4.317891,-1.276631e-02
(7PR)57,12022,4.272104,4.317757,-1.062966e-02
(7PR)115/2,12127,4.308866,4.324790,-3.688847e-03
(7PR)58,12232,4.283485,4.320297,-8.557292e-03
(7PR)117/2,12337,4.277541,4.319692,-9.805749e-03
(7PR)59,12442,4.252501,4.315884,-1.479470e-02
(7PR)119/2,12547,4.269307,4.326754,-1.336606e-02
(7PR)60,12652,4.229678,4.308655,-1.850009e-02
(11PR)11/2,12757,4.255999,4.323094,-1.564188e-02
(7PR)61,12862,4.250313,4.318333,-1.587695e-02
(7PR)123/2,12967,4.253868,4.313315,-1.387801e-02
(7PR)62,13072,4.247115,4.322848,-1.767455e-02
(7PR)125/2,13177,4.257791,4.316524,-1.369992e-02
(7PR)63,13282,4.254579,4.315076,-1.411917e-02
(7PR)127/2,13387,4.248735,4.315002,-1.547657e-02
(7PR)64,13492,4.270003,4.317976,-1.117217e-02
(7PR)129/2,13597,4.260534,4.308259,-1.113946e-02
(7PR)65,13702,4.265808,4.324581,-1.368354e-02
(7PR)131/2,13807,4.251505,4.312934,-1.434551e-02
(11PR)6,13912,4.239574,4.317719,-1.826455e-02
(7PR)133/2,14017,4.248155,4.316957,-1.606608e-02
(7PR)67,14122,4.255497,4.314093,-1.367538e-02
(7PR)135/2,14227,4.241295,4.314601,-1.713638e-02
(7PR)68,14332,4.240589,4.316259,-1.768674e-02
(7PR)137/2,14437,4.260001,4.314401,-1.268897e-02
(7PR)69,14542,4.271872,4.314190,-9.857439e-03
(7PR)139/2,14647,4.262727,4.314671,-1.211195e-02
(7PR)70,14752,4.262341,4.309671,-1.104302e-02
(7PR)141/2,14857,4.266496,4.316107,-1.156103e-02
(7PR)71,14962,4.245022,4.307035,-1.450271e-02
(13PR)/2,15581,4.240657,4.312923,-1.689754e-02
(11PR)7,16737,4.257368,4.310168,-1.232566e-02
(11PR)15/2,17893,4.261071,4.308669,-1.110862e-02
(11PR)8,19048,4.258432,4.306427,-1.120752e-02
(11PR)17/2,20204,4.248940,4.305524,-1.322936e-02
(11PR)9,21359,4.266106,4.303665,-8.765464e-03
(11PR)19/2,22515,4.257996,4.301879,-1.025348e-02
(11PR)10,23670,4.244277,4.300837,-1.323825e-02
(11PR)21/2,24825,4.252913,4.299298,-1.084764e-02
(11PR)11,25981,4.252032,4.298313,-1.082586e-02
(11PR)23/2,27136,4.252294,4.297019,-1.046291e-02
(11PR)12,28291,4.256829,4.295961,-9.150722e-03
(11PR)25/2,29446,4.270416,4.294212,-5.556816e-03
(13PR),30602,4.263971,4.294467,-7.126687e-03
(11PR)27/2,31757,4.254733,4.293011,-8.956259e-03
