START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
11PR14,33382,0.832924,32768,2.640670,32760,11.42315057,32340,9.38904894,32912,4.480247751,3.999487724,33491,0.000000,32340,11.40491982,33494,0.000000,32340,21.02233966
11PR29D2,34303,0.815372,34649,2.640746,33915,11.51954330,33495,9.73679101,34067,4.078821188,4.000258844,34646,0.000000,33495,11.70188049,34649,0.000000,33495,21.29320855
11PR15,35197,0.399250,35803,2.640743,34965,10.42434246,34650,9.38904832,35222,3.745720273,4.000070231,35801,0.000000,34650,11.30598063,35804,0.000000,34650,20.87559462
11PR31D2,35909,0.392206,36947,2.640741,36270,10.12655648,35805,9.71280816,36377,4.023428827,3.999920494,36956,0.000000,35805,11.58406688,36959,0.000000,35805,21.13588348
11PR16,37811,0.376607,38113,2.640739,37050,11.48832843,36960,9.38904775,37533,3.922060127,4.000093161,38111,0.000000,36960,11.21675831,38114,0.000000,36960,20.75452057
11PR33D2,38296,0.744936,39251,2.640737,38745,10.70019379,38115,9.38904734,38688,3.854692935,3.999506736,39266,0.000000,38115,11.17464228,39269,0.000000,38115,20.70231423
11PR17,40072,0.358872,40423,2.640735,39585,11.96840024,39270,10.01498370,39843,3.822710646,4.000226085,40421,0.000000,39270,11.76742168,40424,0.000000,39270,21.28102095
11PR35D2,40649,0.709480,41579,2.640733,41496,10.46927606,41055,9.44269845,40998,4.018836194,4.000133979,41576,0.000000,41055,11.17807400,41579,0.000000,41055,20.64368735
11PR18,42719,1.022669,42727,2.640731,42315,13.39148046,42315,9.53621033,42153,4.626528918,3.999954439,42731,0.000000,42315,11.16375566,42734,0.000000,42315,20.69616255
11PR37D2,43718,0.668698,43889,2.640729,42945,10.51498755,42735,9.65730485,43308,3.685657370,4.000108144,43886,0.000000,42735,11.30567915,43889,0.000000,42735,20.80794408
11PR19,44959,0.654013,45013,2.640728,44940,9.80941530,43890,9.94134311,44463,3.886019733,3.999643341,45041,0.000000,43890,11.55758739,45044,0.000000,43890,21.06126610
13PR3D2,45427,0.648808,46199,2.640726,45045,9.14641446,45045,10.24259557,45618,3.650813392,4.000204255,46196,0.000000,45045,11.82653589,46199,0.000000,45045,21.33524300
11PR20,46738,0.633492,47353,2.640725,47124,10.06862362,46410,9.83289177,46773,3.803050651,3.999983571,47351,0.000000,46410,11.40685877,47354,0.000000,46410,20.89448042
