n,ratio,c_pred,baseline,c_meas,lambda,status
3460197,1.03014782,5.86340269,-0.30773196,6.04017147,0.02970230,EXPECTED
3476772,1.03127597,6.51608135,-0.30683857,6.71987814,0.03079684,EXPECTED
3490656,1.03365832,5.46249582,-0.30609622,5.64635427,0.03310428,EXPECTED
3511437,1.03129922,4.99459280,-0.30499445,5.15091966,0.03081939,EXPECTED
3526011,1.03469747,5.04759216,-0.30422916,5.22273084,0.03410909,EXPECTED
3534024,1.03138506,5.61552266,-0.30381063,5.79176615,0.03090261,EXPECTED
3554742,1.03172214,5.23517042,-0.30273664,5.40124123,0.03122939,EXPECTED
3573549,1.03605124,6.04504977,-0.36212598,6.26298131,0.03541660,EXPECTED
3575487,1.03442307,5.12751049,-0.30167258,5.30401515,0.03384385,EXPECTED
3595959,1.03116664,5.67424283,-0.30063353,5.85108991,0.03069082,EXPECTED
3616257,1.03005935,5.53707782,-0.29961365,5.70351880,0.02961643,EXPECTED
3629739,1.02912860,5.08002861,-0.29894195,5.22800272,0.02871242,EXPECTED
3639654,1.03098276,4.98822640,-0.29845063,5.14277541,0.03051248,EXPECTED
3652161,1.03244265,5.67378682,-0.29783458,5.85785951,0.03192750,EXPECTED
3673974,1.03376733,5.32957447,-0.29676921,5.50953998,0.03320973,EXPECTED
3680937,1.03066130,5.47062812,-0.29643162,5.63836469,0.03020064,EXPECTED
3701253,1.03128573,4.99051701,-0.29545277,5.14664897,0.03080630,EXPECTED
3716931,1.02604285,5.54056684,-0.29470424,5.68485897,0.02570951,EXPECTED
3724716,1.03125594,5.14330466,-0.29433454,5.30406350,0.03077742,EXPECTED
3752457,1.02989876,5.23206789,-0.29302896,5.38850023,0.02946051,EXPECTED
3766317,1.03199103,5.18947967,-0.29238302,5.35549645,0.03148997,EXPECTED
3777474,1.03053687,5.44326157,-0.29186614,5.60948175,0.03007990,EXPECTED
3791892,1.02762456,5.55552610,-0.29120218,5.70899505,0.02724988,EXPECTED
3800946,1.03328438,5.13105726,-0.29078778,5.30184133,0.03274245,EXPECTED
3815742,1.03185968,6.13932612,-0.34813717,6.33492311,0.03136269,EXPECTED
3836781,1.03190020,5.87135920,-0.28916459,6.05865671,0.03140195,EXPECTED
3848916,1.02944563,5.13356191,-0.28862120,5.28472290,0.02902044,EXPECTED
3864684,1.03001049,4.99804821,-0.28791953,5.14804208,0.02956899,EXPECTED
