START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
11PR33,76230,10.07106646,76230,11.15634133,-1.023415e-01,0.547478,-1.982317,EXPECTED
11PR67D2,77805,10.32860248,77805,11.55555778,-1.122495e-01,0.541666,-2.265151,EXPECTED
11PR34,78540,10.70727574,78540,11.82833330,-9.957429e-02,0.540628,-2.073621,EXPECTED
11PR69D2,79695,10.47948280,79695,11.63955184,-1.049896e-01,0.533245,-2.175490,EXPECTED
11PR35,80850,10.00021078,80850,11.16439815,-1.101238e-01,0.526208,-2.212409,EXPECTED
11PR71D2,82005,10.09088684,82005,11.31195224,-1.142272e-01,0.521981,-2.339291,EXPECTED
11PR36,83265,9.97389967,83160,11.16898234,-1.131689e-01,0.516804,-2.312449,EXPECTED
11PR73D2,84315,10.08589905,84630,11.32924939,-1.162495e-01,0.511243,-2.432014,EXPECTED
11PR37,85470,10.19744815,85470,11.46028678,-1.167502e-01,0.505824,-2.496597,EXPECTED
11PR75D2,86625,10.12996226,86625,11.17658348,-9.832324e-02,0.501032,-2.088931,EXPECTED
11PR38,87780,10.51800171,87780,11.76850315,-1.123385e-01,0.499865,-2.501678,EXPECTED
11PR77D2,88935,9.84158481,88935,11.18199383,-1.276880e-01,0.494681,-2.709643,EXPECTED
13PR3,90090,10.93313008,90090,12.09530396,-1.010196e-01,0.489389,-2.374745,EXPECTED
11PR79D2,91245,10.02857562,91245,11.31790786,-1.209477e-01,0.482332,-2.673122,EXPECTED
11PR40,92820,10.43991450,92820,11.66525894,-1.109787e-01,0.478349,-2.561612,EXPECTED
11PR81D2,94185,10.22497797,94185,11.48157841,-1.159103e-01,0.474178,-2.650061,EXPECTED
11PR41,94710,10.30057752,94710,11.45374382,-1.061167e-01,0.469677,-2.455233,EXPECTED
11PR83D2,95865,9.95785438,95865,11.32373187,-1.285391e-01,0.466438,-2.928315,EXPECTED
11PR42,97020,10.02618964,97020,11.20344067,-1.110203e-01,0.462117,-2.547517,EXPECTED
11PR85D2,98175,10.53669246,98175,11.87415016,-1.195001e-01,0.458284,-2.918404,EXPECTED
11PR43,99330,10.24234657,99330,11.45424265,-1.118294e-01,0.454147,-2.668511,EXPECTED
11PR87D2,100485,10.39660957,100485,11.58431169,-1.081720e-01,0.452079,-2.627200,EXPECTED
11PR44,101745,10.08245153,101745,11.38235891,-1.212683e-01,0.446949,-2.908402,EXPECTED
11PR89D2,103740,10.33481299,103740,11.61963760,-1.171785e-01,0.443622,-2.896215,EXPECTED
11PR45,103950,9.91517448,103950,11.22434525,-1.240187e-01,0.440619,-2.971208,EXPECTED
13PR7D2,105105,10.81355577,105105,12.13773711,-1.155189e-01,0.437892,-3.023991,EXPECTED
11PR46,106260,10.58183677,106260,11.70833087,-1.011616e-01,0.435808,-2.584840,EXPECTED
11PR93D2,107415,10.36937596,107415,11.58073166,-1.104858e-01,0.430914,-2.811131,EXPECTED
11PR47,108570,10.10868594,108570,11.46182254,-1.256267e-01,0.427548,-3.164876,EXPECTED
11PR95D2,109725,10.54051807,109725,11.83192750,-1.155749e-01,0.424065,-3.045310,EXPECTED
11PR48,111930,9.96290518,111930,11.32110737,-1.278002e-01,0.420976,-3.226317,EXPECTED
11PR97D2,112035,10.04237463,112035,11.35683839,-1.230065e-01,0.420011,-3.129594,EXPECTED
11PR49,113295,10.04083543,113190,11.25553721,-1.141999e-01,0.415213,-2.925491,EXPECTED
11PR99D2,114345,10.07141952,114345,11.25971224,-1.115294e-01,0.412469,-2.880926,EXPECTED
11PR50,116025,10.45159808,116025,11.73443301,-1.157726e-01,0.409288,-3.134309,EXPECTED
11PR101D2,116655,10.17501289,116655,11.49710252,-1.221601e-01,0.405951,-3.256771,EXPECTED
11PR51,117810,10.60106027,117810,12.05233482,-1.283044e-01,0.403702,-3.594915,EXPECTED
11PR103D2,118965,10.09361928,118965,11.47433935,-1.282097e-01,0.400328,-3.448972,EXPECTED
13PR4,120120,10.74931470,120120,12.27425333,-1.326618e-01,0.399025,-3.821662,EXPECTED
11PR105D2,121275,9.99478556,121275,11.35537516,-1.276277e-01,0.395248,-3.442369,EXPECTED
11PR53,122430,10.19554323,122430,11.54168224,-1.240143e-01,0.392511,-3.429557,EXPECTED
