n,ratio,c_pred,baseline,c_meas,lambda,status
603,0.63503333,9.09002832,3.17548588,5.77247096,-0.45407779,EXPECTED
627,0.65715258,10.02395982,3.16895289,6.58727108,-0.41983905,EXPECTED
642,0.67128649,9.04032168,3.16752520,6.06864583,-0.39855927,EXPECTED
648,0.67077858,8.98426991,3.16642309,6.02645579,-0.39931619,EXPECTED
672,0.68402706,10.14805415,3.16459891,6.94154365,-0.37975780,EXPECTED
684,0.66386031,9.32613209,3.16342998,6.19124892,-0.40968353,EXPECTED
693,0.66862384,10.92507956,3.16279525,7.30476864,-0.40253365,EXPECTED
717,0.66481284,9.00243949,3.16340694,5.98493740,-0.40824971,EXPECTED
729,0.58827392,8.97869143,3.16348143,5.28193004,-0.53056258,EXPECTED
744,0.63491635,9.18107023,3.16525028,5.82921155,-0.45426203,EXPECTED
756,0.65225755,10.14508999,3.16596275,6.61721159,-0.42731577,EXPECTED
777,0.67277935,10.34862304,3.16789182,6.96233985,-0.39633787,EXPECTED
786,0.68662174,9.02468891,3.17005535,6.19654764,-0.37597173,EXPECTED
798,0.66976022,10.55406460,3.17168019,7.06869266,-0.40083551,EXPECTED
816,0.66742439,9.37306559,3.17458476,6.25581258,-0.40432917,EXPECTED
831,0.67288402,9.01191219,3.17835254,6.06397170,-0.39618230,EXPECTED
846,0.68052447,9.12304417,3.18149022,6.20845483,-0.38489149,EXPECTED
858,0.69872386,10.23015319,3.18424599,7.14805214,-0.35849966,EXPECTED
882,0.67915735,10.15923534,3.19117674,6.89971936,-0.38690244,EXPECTED
897,0.67081825,9.83300058,3.19537418,6.59615625,-0.39925704,EXPECTED
903,0.69812460,10.33765145,3.19788090,7.21696880,-0.35935768,EXPECTED
918,0.67920103,9.39773986,3.20245229,6.38295459,-0.38683813,EXPECTED
939,0.64802313,9.03738946,3.20932230,5.85643737,-0.43382889,EXPECTED
948,0.66315107,9.09096970,3.21306769,6.02868626,-0.41075246,EXPECTED
960,0.64203997,12.02705723,4.28977005,7.72185143,-0.44310472,EXPECTED
987,0.66254570,10.34756949,3.22749923,6.85573764,-0.41166575,EXPECTED
990,0.61646386,12.90407518,4.30564020,7.95489597,-0.48375558,EXPECTED
1008,0.63286884,10.20184180,3.23646260,6.45642784,-0.45749207,EXPECTED
1023,0.69341933,9.91566202,3.24274061,6.87571174,-0.36612037,EXPECTED
1044,0.61645540,9.26661746,3.25234907,5.71245637,-0.48376930,EXPECTED
1053,0.65239991,9.58392483,3.25638478,6.25255173,-0.42709754,EXPECTED
1071,0.66628780,10.68960885,3.26467834,7.12235596,-0.40603357,EXPECTED
1092,0.68943368,10.86880422,3.27508734,7.49331967,-0.37188477,EXPECTED
1107,0.66266812,9.23282875,3.28246340,6.11830131,-0.41148098,EXPECTED
1113,0.65791429,10.38406875,3.28546624,6.83182722,-0.41868061,EXPECTED
1131,0.65784022,9.85271806,3.29496204,6.48151419,-0.41879321,EXPECTED
1146,0.62365379,9.12992883,3.30278892,5.69391469,-0.47215989,EXPECTED
1176,0.66466938,10.27577283,3.31920747,6.82999158,-0.40846553,EXPECTED
1272,0.66913039,9.12393103,3.21646833,6.10509954,-0.40177633,EXPECTED
1452,0.69396552,9.39786763,2.96746948,6.52179605,-0.36533301,EXPECTED
1482,0.72989323,9.61507298,2.92976747,7.01797671,-0.31485701,EXPECTED
1679,0.73893101,4.88004051,1.80867987,3.60601326,-0.30255072,EXPECTED
1781,0.72534520,4.93676655,1.76110721,3.58085993,-0.32110760,EXPECTED
