n,ratio,c_pred,baseline,c_meas,lambda,status
89530134,1.00347575,5.67465438,-0.03376321,5.69437805,0.00346972,EXPECTED
89812221,1.00311440,5.77808352,-0.03369084,5.79607876,0.00310956,EXPECTED
89932944,1.00336476,6.04649026,-0.03365999,6.06683524,0.00335911,EXPECTED
90249363,1.00312773,5.73642264,-0.03357951,5.75436460,0.00312284,EXPECTED
90530823,1.00344953,5.62469628,-0.03350835,5.64409884,0.00344359,EXPECTED
90799569,1.00330183,6.58727770,-0.04012893,6.60902779,0.00329639,EXPECTED
90991623,1.00339900,5.50762419,-0.03339271,5.52634461,0.00339324,EXPECTED
91274979,1.00299178,5.59610410,-0.03332213,5.61284642,0.00298731,EXPECTED
91449378,1.00311319,5.47912896,-0.03327889,5.49618656,0.00310836,EXPECTED
91739289,1.00325645,5.46104130,-0.03320735,5.47882489,0.00325115,EXPECTED
91921161,1.00308227,5.52672307,-0.03316267,5.54375793,0.00307753,EXPECTED
92232048,1.00325597,5.57756513,-0.03308668,5.59572551,0.00325068,EXPECTED
92434746,1.00317828,6.47433805,-0.03303739,6.49491530,0.00317324,EXPECTED
92836014,1.00292742,6.16592224,-0.03294038,6.18397251,0.00292315,EXPECTED
93145176,1.00324365,5.82152370,-0.03286616,5.84040671,0.00323840,EXPECTED
93320151,1.00318053,5.45556968,-0.03282435,5.47292130,0.00317549,EXPECTED
93525129,1.00327355,5.58947558,-0.03277556,5.60777300,0.00326820,EXPECTED
93846981,1.00318310,5.45562134,-0.03269934,5.47298713,0.00317804,EXPECTED
94033341,1.00317340,6.03863354,-0.03265542,6.05779655,0.00316838,EXPECTED
94383189,1.00300765,5.98397474,-0.03257341,6.00197242,0.00300313,EXPECTED
94590282,1.00301454,5.61784999,-0.03252512,5.63478520,0.00301000,EXPECTED
94804851,1.00309501,5.97903974,-0.03247529,5.99754491,0.00309023,EXPECTED
95079249,1.00295120,6.16615959,-0.03241187,6.18435717,0.00294686,EXPECTED
95275359,1.00299911,5.45576181,-0.03236675,5.47212423,0.00299462,EXPECTED
95655804,1.00287993,6.89406692,-0.03227970,6.91392137,0.00287579,EXPECTED
95924217,1.00262121,6.16609604,-0.03221866,6.18225867,0.00261778,EXPECTED
96102696,1.00276632,5.45583463,-0.03217824,5.47092721,0.00276250,EXPECTED
96451149,1.00313484,5.93935633,-0.03209973,5.95797525,0.00312993,EXPECTED
96659859,1.00315032,5.78993432,-0.03205295,5.80817446,0.00314537,EXPECTED
96985398,1.00313322,5.45591283,-0.03198036,5.47300740,0.00312832,EXPECTED
97243026,1.00302581,6.16625210,-0.03192323,6.18491001,0.00302124,EXPECTED
97318548,1.00306632,5.91741243,-0.03190653,5.93555711,0.00306163,EXPECTED
97752672,1.00287185,5.64573233,-0.03181101,5.66194603,0.00286773,EXPECTED
97873122,1.00295448,5.51909817,-0.03178464,5.53540421,0.00295012,EXPECTED
98196729,1.00288857,5.74853243,-0.03171410,5.76513744,0.00288440,EXPECTED
98419128,1.00290929,5.57804989,-0.03166587,5.59427806,0.00290507,EXPECTED
98719716,1.00288615,5.59163157,-0.03160099,5.60776984,0.00288199,EXPECTED
98869086,1.00294532,5.54111168,-0.03156889,5.55743204,0.00294099,EXPECTED
99265086,1.00267084,5.68571950,-0.03148420,5.70090516,0.00266728,EXPECTED
99474633,1.00280885,6.16972532,-0.03143964,6.18705517,0.00280491,EXPECTED
99578958,1.00293358,5.54053931,-0.03141751,5.55679291,0.00292928,EXPECTED
99911082,1.00287742,5.83401982,-0.03134737,5.85080675,0.00287329,EXPECTED
100295418,1.00243708,5.45887975,-0.03126672,5.47218345,0.00243411,EXPECTED
100391619,1.00311027,5.88190652,-0.03124662,5.90020085,0.00310544,EXPECTED
100622583,1.00316683,5.45621805,-0.03119852,5.47349698,0.00316183,EXPECTED
101045739,1.00264551,6.10086941,-0.03111090,6.11700933,0.00264202,EXPECTED
101288961,1.00272142,5.51304130,-0.03106084,5.52804459,0.00271772,EXPECTED
101454396,1.00283330,5.45628351,-0.03102692,5.47174279,0.00282929,EXPECTED
101778036,1.00243379,5.73698855,-0.03096084,5.75095119,0.00243083,EXPECTED
101864907,1.00259580,6.04243844,-0.03094317,6.05812338,0.00259243,EXPECTED
102202293,1.00277628,5.65957525,-0.03087481,5.67528783,0.00277244,EXPECTED
102405936,1.00292346,5.93715188,-0.03083374,5.95450890,0.00291919,EXPECTED
102785439,1.00276277,5.46073796,-0.03075761,5.47582473,0.00275896,EXPECTED
103117464,1.00284122,5.80551242,-0.03069142,5.82200718,0.00283719,EXPECTED
103175736,1.00293996,5.77328934,-0.03067984,5.79026256,0.00293564,EXPECTED
103503633,1.00258875,5.82224334,-0.03061493,5.83731566,0.00258540,EXPECTED
103879173,1.00292862,5.45646441,-0.03054104,5.47244434,0.00292434,EXPECTED
103992321,1.00265928,5.64568409,-0.03051887,5.66069752,0.00265575,EXPECTED
104191701,1.00270083,5.65470121,-0.03047992,5.66997357,0.00269719,EXPECTED
104491668,1.00264470,5.71780565,-0.03042157,5.73292755,0.00264121,EXPECTED
104811771,1.00271071,6.04754708,-0.03035963,6.06394023,0.00270704,EXPECTED
105062436,1.00252386,5.75402061,-0.03031138,5.76854293,0.00252068,EXPECTED
105398352,1.00281220,5.45657907,-0.03024704,5.47192406,0.00280825,EXPECTED
105592863,1.00277508,5.46130500,-0.03020996,5.47646058,0.00277124,EXPECTED
105784269,1.00272955,5.55839127,-0.03017359,5.57356318,0.00272583,EXPECTED
106109649,1.00287168,5.75010749,-0.03011203,5.76661995,0.00286756,EXPECTED
106399173,1.00294833,5.93091077,-0.03005755,5.94839706,0.00294399,EXPECTED
106675266,1.00229059,5.45665843,-0.03000585,5.46915738,0.00228797,EXPECTED
106748916,1.00269991,6.16692571,-0.02999210,6.18357586,0.00269627,EXPECTED
106995684,1.00284204,5.46558454,-0.02994616,5.48111797,0.00283801,EXPECTED
107249838,1.00244387,5.82247457,-0.02989904,5.83670393,0.00244089,EXPECTED
107709594,1.00243123,5.77946974,-0.02981432,5.79352094,0.00242828,EXPECTED
107824506,1.00283141,6.74508826,-0.02979324,6.76418638,0.00282741,EXPECTED
108001854,1.00282601,5.45674564,-0.02976080,5.47216644,0.00282202,EXPECTED
108427581,1.00231022,5.84161103,-0.02968332,5.85510647,0.00230756,EXPECTED
108545901,1.00283230,6.54770264,-0.02966189,6.56624771,0.00282830,EXPECTED
108907296,1.00277430,5.66014730,-0.02959668,5.67585027,0.00277046,EXPECTED
109028034,1.00272016,5.45681033,-0.02957499,5.47165374,0.00271647,EXPECTED
109275429,1.00277354,5.45682492,-0.02953067,5.47195965,0.00276970,EXPECTED
109519593,1.00274181,6.05128649,-0.02948710,6.06787795,0.00273806,EXPECTED
109872459,1.00259123,5.77959295,-0.02942446,5.79456919,0.00258788,EXPECTED
110148219,1.00273454,6.17902045,-0.02937576,6.19591721,0.00273081,EXPECTED
110515248,1.00277712,5.98454503,-0.02931129,6.00116482,0.00277327,EXPECTED
110549526,1.00256687,5.52465790,-0.02930529,5.53883900,0.00256359,EXPECTED
110926836,1.00236161,5.82270073,-0.02923945,5.83645171,0.00235883,EXPECTED
111226266,1.00265802,5.77999463,-0.02918750,5.79535799,0.00265450,EXPECTED
111326676,1.00267096,5.87087697,-0.02917013,5.88655783,0.00266740,EXPECTED
